source,target,Character 1,Character 2,type,weight,startPage,category
6,5,Alyona Golosovsky,Sophia Golosovsky,Directed,1,3,Exchange
5,6,Sophia Golosovsky,Alyona Golosovsky,Directed,1,3,Exchange
6,32,Alyona Golosovsky,Marina Alexandrovna,Directed,1,4,Knows
6,5,Alyona Golosovsky,Sophia Golosovsky,Directed,1,4,Exchange
32,6,Marina Alexandrovna,Alyona Golosovsky,Directed,1,4,Knows
32,5,Marina Alexandrovna,Sophia Golosovsky,Directed,1,4,Knows
5,6,Sophia Golosovsky,Alyona Golosovsky,Directed,1,4,Exchange
5,32,Sophia Golosovsky,Marina Alexandrovna,Directed,1,4,Knows
6,58,Alyona Golosovsky,"""the townspeople"" of past Zavoyko",Directed,1,5,Knows of
6,5,Alyona Golosovsky,Sophia Golosovsky,Directed,1,5,Exchange
6,31,Alyona Golosovsky,Yegor Gusakov,Directed,1,5,Knows of
5,58,Sophia Golosovsky,"""the townspeople"" of past Zavoyko",Directed,1,5,Knows of
5,6,Sophia Golosovsky,Alyona Golosovsky,Directed,1,5,Exchange
5,31,Sophia Golosovsky,Yegor Gusakov,Directed,1,5,Knows of
31,6,Yegor Gusakov,Alyona Golosovsky,Directed,1,5,Knows of
31,5,Yegor Gusakov,Sophia Golosovsky,Directed,1,5,Knows of
6,58,Alyona Golosovsky,"""the townspeople"" of past Zavoyko",Directed,1,6,Knows of
6,5,Alyona Golosovsky,Sophia Golosovsky,Directed,1,6,Exchange
5,58,Sophia Golosovsky,"""the townspeople"" of past Zavoyko",Directed,1,6,Knows of
5,6,Sophia Golosovsky,Alyona Golosovsky,Directed,1,6,Exchange
6,105,Alyona Golosovsky,"""people ... in Australia""",Directed,1,7,Knows of
6,104,Alyona Golosovsky,"""people ... in Hawaii""",Directed,1,7,Knows of
6,58,Alyona Golosovsky,"""the townspeople"" of past Zavoyko",Directed,1,7,Knows of
6,5,Alyona Golosovsky,Sophia Golosovsky,Directed,1,7,Exchange
5,105,Sophia Golosovsky,"""people ... in Australia""",Directed,1,7,Knows of
5,104,Sophia Golosovsky,"""people ... in Hawaii""",Directed,1,7,Knows of
5,58,Sophia Golosovsky,"""the townspeople"" of past Zavoyko",Directed,1,7,Knows of
5,6,Sophia Golosovsky,Alyona Golosovsky,Directed,1,7,Exchange
6,58,Alyona Golosovsky,"""the townspeople"" of past Zavoyko",Directed,1,8,Knows of
6,5,Alyona Golosovsky,Sophia Golosovsky,Directed,1,8,Exchange
5,58,Sophia Golosovsky,"""the townspeople"" of past Zavoyko",Directed,1,8,Knows of
5,6,Sophia Golosovsky,Alyona Golosovsky,Directed,1,8,Exchange
6,51,Alyona Golosovsky,Lenin,Directed,1,9,Knows of
6,32,Alyona Golosovsky,Marina Alexandrovna,Directed,1,9,Knows
