id,Name
45,"""a couple"" (22)"
124,"""a foreigner"" (52)"
119,"""a mother"" (50)"
62,"""a short haired woman"" (12)"
50,"""a vendor"" (27)"
129,"""all the children"" (0f Russia) (52)"
49,"""an old lady"" (27)"
59,"""an older boy in a fitted cap"" (11)"
97,"""children wandering"" (46)"
61,"""cruise-ship tourists"" (12)"
69,"""customs officers"" (36)"
120,"""daughter"" (50)"
106,"""drivers"" (13)"
80,"""female colleagues"" (37)"
40,"""girl they knew"" (18)"
103,"""her peers"" (49)"
52,"""high school boys on their bikes"" (27)"
114,"""late communters"" (27)"
60,"""local teenagers"" (12)"
79,"""male coleagues"" (37)"
68,"""news reporter"" (24)"
118,"""old men"" (50)"
110,"""old women"" (21)"
108,"""owners who had money now"" (19)"
107,"""owners who once had money"" (19)"
98,"""parents neglecting their duties"" (46)"
105,"""people ... in Australia"" (7)"
104,"""people ... in Hawaii"" (7)"
87,"""people at a neighbouring campsite"" (40)"
109,"""Russian [bus] riders"" (21)"
127,"""salmon poachers"" (52)"
35,"""someone's girlfriend"" (18)"
130,"""Soviet military"" (52)"
95,"""tabloid reporter"" (41)"
74,"""Tajik"" ethnic group"
121,"""the admitting  nurse"" (50)"
99,"""the girl at the desk"" (48)"
44,"""the nurse giving her an injection"" (20)"
102,"""the principal"" (49)"
122,"""the sick people"" (50)"
58,"""the townspeople"" (6) of past Zavoyko"
117,"""the whole family"" (49)"
89,"""the women in the school office"" (47)"
111,"""tourist group from Tokyo"" (18)"
126,"""Uzbek"" ethnic group"
125,"""vagrants"" (52)"
86,"""yet another woman"" (39)"
0,"[NULL]"
71,"[NULL]"
96,"a bear (44-45)"
92,"Aliens"
11,"Alla Innokentevna"
6,"Alyona Golosovsky"
27,"Anfisa"
72,"boring colleague/supervisor (36/37)"
8,"Chegga/Sergei Adukanov"
82,"Chukchi ethnic group (38)"
112,"civilian search party"
37,"Classmate 1 in picture (18)"
38,"Classmate 2 in picture (19)"
42,"Classmate 3 (20)"
85,"Communists"
53,"crane operators (28)"
70,"criminals (generally)"
13,"Denis"
25,"Diana"
90,"Dr. Popkov"
101,"Golosovskaya girls' father (name?) (48)"
43,"grocery-store cashier (20)"
34,"history teacher"
94,"Jack London"
67,"Kamchatka police"
65,"Katya's ""girlfriends"" (34, 36)"
78,"Katya's brothers"
77,"Katya's father"
76,"Katya's mother"
24,"Katya/Ekaterina"
17,"Kolya/Nikolai Danilovich"
81,"Koreans (38)"
7,"Ksyusha/Ksenia Adukanov"
28,"Lada"
51,"Lenin"
19,"Lev"
54,"Lieutenant Ryakhovsky"
131,"Lieutenant Ryakhovsky's supervisors"
15,"Lilia"
32,"Marina Alexandrovna"
23,"Max/Maxim"
63,"Maylish (Oksana's dog)"
41,"men (generally)"
47,"migrants (generally)"
14,"Mila/Ludmila"
93,"Minister of Defense"
10,"Nadia/Nadezhda"
12,"Natasha/Natalia"
46,"Native peoples of Kamchatka"
22,"Oksana"
66,"Oksana's ex-husband (35)"
33,"Olya's Mother (name??)"
29,"Olya/Olga"
73,"pregnant colleague (36)"
83,"Putin"
16,"Revmira"
9,"Ruslan"
128,"Russians (generally??)"
20,"Sasha/Alexandra"
5,"Sophia Golosovsky"
1,"Test 1"
2,"Test 2"
4,"Test 4"
84,"The Communists"
113,"the Golosovska girls' teachers"
56,"the kidnappER"
57,"the kidnappING"
75,"The Nalychevo group (37)"
64,"tourists (generally)"
91,"Travis Walton"
30,"Valentina Nikolaevna"
100,"Valentina's ""colleague"" (48)"
123,"Valentina's father (53)"
115,"Valentina's grandmother (49)"
48,"Valentina's Husband (name?)"
116,"Valentina's mother (49)"
88,"volunteers for the search parties"
31,"Yegor Gusakov"
26,"Yevgeny Pavlovich Kulik"
21,"Yulka/Yulia"
18,"Zoya"
