source,target,Character 1,Character 2,type,weight,startPage,category,Narrator
7,8,Alabaster,Antimony,Directed,1,4,Exchange,[NULL]
7,9,Alabaster,"""group of young women""",Directed,1,4,Exchange,[NULL]
9,9,"""group of young women""","""group of young women""",Directed,1,4,Exchange,[NULL]
8,7,Antimony,Alabaster,Directed,1,4,Exchange,[NULL]
9,7,"""group of young women""",Alabaster,Directed,1,4,Exchange,[NULL]
7,8,Alabaster,Antimony,Directed,1,5,Exchange,[NULL]
8,7,Antimony,Alabaster,Directed,1,5,Exchange,[NULL]
8,7,Antimony,Alabaster,Directed,1,6,Exchange,[NULL]
7,8,Alabaster,Antimony,Directed,1,6,Exchange,[NULL]
12,13,Tirimo's scouts,Rask,Directed,1,11,Exchange,[NULL]
13,12,Rask,Tirimo's scouts,Directed,1,11,Exchange,[NULL]
2,15,Essun,Lerna,Directed,1,17,Exchange,Hoa
15,2,Lerna,Essun,Directed,1,17,Exchange,Hoa
15,2,Lerna,Essun,Directed,1,18,Exchange,Hoa
16,15,Tirimo's citizens,Lerna,Directed,1,18,Exchange,Hoa
2,15,Essun,Lerna,Directed,1,18,Exchange,Hoa
16,2,Tirimo's citizens,Essun,Directed,1,18,Exchange,Hoa
15,16,Lerna,Tirimo's citizens,Directed,1,18,Exchange,Hoa
15,2,Lerna,Essun,Directed,1,19,Exchange,Hoa
2,15,Essun,Lerna,Directed,1,19,Exchange,Hoa
2,15,Essun,Lerna,Directed,1,20,Exchange,Hoa
15,2,Lerna,Essun,Directed,1,20,Exchange,Hoa
15,2,Lerna,Essun,Directed,1,21,Exchange,Hoa
2,15,Essun,Lerna,Directed,1,21,Exchange,Hoa
2,15,Essun,Lerna,Directed,1,22,Exchange,Hoa
15,2,Lerna,Essun,Directed,1,22,Exchange,Hoa
2,15,Essun,Lerna,Directed,1,23,Exchange,Hoa
15,2,Lerna,Essun,Directed,1,23,Exchange,Hoa
2,2,Essun,Essun,Directed,1,24,Exchange,Hoa
15,2,Lerna,Essun,Directed,1,24,Exchange,Hoa
2,15,Essun,Lerna,Directed,1,24,Exchange,Hoa
25,26,Damaya's mother,Schaffa,Directed,1,25,Exchange,[NULL]
26,25,Schaffa,Damaya's mother,Directed,1,25,Exchange,[NULL]
25,23,Damaya's mother,Damaya,Directed,1,26,Exchange,[NULL]
25,26,Damaya's mother,Schaffa,Directed,1,26,Exchange,[NULL]
26,25,Schaffa,Damaya's mother,Directed,1,26,Exchange,[NULL]
23,25,Damaya,Damaya's mother,Directed,1,26,Exchange,[NULL]
26,25,Schaffa,Damaya's mother,Directed,1,27,Exchange,[NULL]
25,26,Damaya's mother,Schaffa,Directed,1,27,Exchange,[NULL]
28,23,Chaga,Damaya,Directed,1,28,Exchange,[NULL]
23,28,Damaya,Chaga,Directed,1,28,Exchange,[NULL]
25,23,Damaya's mother,Damaya,Directed,1,28,Exchange,[NULL]
23,26,Damaya,Schaffa,Directed,1,28,Exchange,[NULL]
26,23,Schaffa,Damaya,Directed,1,28,Exchange,[NULL]
