source,target,Character 1,Character 2,type,weight,startPage,category
7,8,Alabaster,Antimony,Directed,1,4,Exchange
7,9,Alabaster,"""group of young women""",Directed,1,4,Exchange
8,7,Antimony,Alabaster,Directed,1,4,Exchange
9,7,"""group of young women""",Alabaster,Directed,1,4,Exchange
9,9,"""group of young women""","""group of young women""",Directed,1,4,Exchange
7,8,Alabaster,Antimony,Directed,1,5,Exchange
8,7,Antimony,Alabaster,Directed,1,5,Exchange
7,8,Alabaster,Antimony,Directed,1,6,Exchange
8,7,Antimony,Alabaster,Directed,1,6,Exchange
13,12,Rask,Tirimo's scouts,Directed,1,11,Exchange
12,13,Tirimo's scouts,Rask,Directed,1,11,Exchange
15,2,Lerna,Essun,Directed,1,17,Exchange
2,15,Essun,Lerna,Directed,1,17,Exchange
2,15,Essun,Lerna,Directed,1,18,Exchange
16,15,Tirimo's citizens,Lerna,Directed,1,18,Exchange
15,2,Lerna,Essun,Directed,1,18,Exchange
16,2,Tirimo's citizens,Essun,Directed,1,18,Exchange
15,16,Lerna,Tirimo's citizens,Directed,1,18,Exchange
15,2,Lerna,Essun,Directed,1,19,Exchange
2,15,Essun,Lerna,Directed,1,19,Exchange
15,2,Lerna,Essun,Directed,1,20,Exchange
2,15,Essun,Lerna,Directed,1,20,Exchange
15,2,Lerna,Essun,Directed,1,21,Exchange
2,15,Essun,Lerna,Directed,1,21,Exchange
15,2,Lerna,Essun,Directed,1,22,Exchange
2,15,Essun,Lerna,Directed,1,22,Exchange
2,15,Essun,Lerna,Directed,1,23,Exchange
15,2,Lerna,Essun,Directed,1,23,Exchange
15,2,Lerna,Essun,Directed,1,24,Exchange
2,2,Essun,Essun,Directed,1,24,Exchange
2,15,Essun,Lerna,Directed,1,24,Exchange
26,25,Schaffa,Damaya's mother,Directed,1,25,Exchange
25,26,Damaya's mother,Schaffa,Directed,1,25,Exchange
25,23,Damaya's mother,Damaya,Directed,1,26,Exchange
23,25,Damaya,Damaya's mother,Directed,1,26,Exchange
25,26,Damaya's mother,Schaffa,Directed,1,26,Exchange
26,25,Schaffa,Damaya's mother,Directed,1,26,Exchange
26,25,Schaffa,Damaya's mother,Directed,1,27,Exchange
25,26,Damaya's mother,Schaffa,Directed,1,27,Exchange
23,26,Damaya,Schaffa,Directed,1,28,Exchange
26,25,Schaffa,Damaya's mother,Directed,1,28,Exchange
28,23,Chaga,Damaya,Directed,1,28,Exchange
25,26,Damaya's mother,Schaffa,Directed,1,28,Exchange
23,28,Damaya,Chaga,Directed,1,28,Exchange
25,23,Damaya's mother,Damaya,Directed,1,28,Exchange
26,23,Schaffa,Damaya,Directed,1,28,Exchange
23,25,Damaya,Damaya's mother,Directed,1,28,Exchange
23,26,Damaya,Schaffa,Directed,1,29,Exchange
26,23,Schaffa,Damaya,Directed,1,29,Exchange
26,25,Schaffa,Damaya's mother,Directed,1,29,Exchange
