source,target,Character 1,Character 2,type,weight,startPage,category
3,2,Uche,Essun,Directed,1,1,Knows
2,3,Essun,Uche,Directed,1,1,Knows
5,6,The Emperor,The Emperor's daughter,Directed,1,3,Knows
5,267,The Emperor,"""leaders of the empire""",Directed,1,3,Knows
6,5,The Emperor's daughter,The Emperor,Directed,1,3,Knows
267,6,"""leaders of the empire""",The Emperor's daughter,Directed,1,3,Knows
6,4,The Emperor's daughter,The Fulcrum,Directed,1,3,Knows
5,4,The Emperor,The Fulcrum,Directed,1,3,Knows
4,5,The Fulcrum,The Emperor,Directed,1,3,Knows
4,6,The Fulcrum,The Emperor's daughter,Directed,1,3,Knows
267,5,"""leaders of the empire""",The Emperor,Directed,1,3,Knows
6,267,The Emperor's daughter,"""leaders of the empire""",Directed,1,3,Knows
7,8,Alabaster,Antimony,Directed,1,4,Exchange
7,9,Alabaster,"""group of young women""",Directed,1,4,Exchange
8,7,Antimony,Alabaster,Directed,1,4,Exchange
9,9,"""group of young women""","""group of young women""",Directed,1,4,Exchange
9,7,"""group of young women""",Alabaster,Directed,1,4,Exchange
14,7,Yumenescenes,Alabaster,Directed,1,4,Knows
7,14,Alabaster,Yumenescenes,Directed,1,4,Knows
7,8,Alabaster,Antimony,Directed,1,5,Exchange
8,7,Antimony,Alabaster,Directed,1,5,Exchange
7,14,Alabaster,Yumenescenes,Directed,1,6,Knows
7,8,Alabaster,Antimony,Directed,1,6,Exchange
4,7,The Fulcrum,Alabaster,Directed,1,6,Knows
7,4,Alabaster,The Fulcrum,Directed,1,6,Knows
14,7,Yumenescenes,Alabaster,Directed,1,6,Knows
8,7,Antimony,Alabaster,Directed,1,6,Exchange
14,7,Yumenescenes,Alabaster,Directed,1,7,Knows
7,14,Alabaster,Yumenescenes,Directed,1,7,Knows
1,123,Hoa,Father Earth,Directed,1,8,Knows
2,3,Essun,Uche,Directed,1,9,Knows
3,2,Uche,Essun,Directed,1,9,Knows
10,3,Nassun,Uche,Directed,1,10,Knows
11,3,Jija,Uche,Directed,1,10,Knows
2,3,Essun,Uche,Directed,1,10,Knows
3,11,Uche,Jija,Directed,1,10,Knows
3,10,Uche,Nassun,Directed,1,10,Knows
10,2,Nassun,Essun,Directed,1,10,Knows
3,2,Uche,Essun,Directed,1,10,Knows
2,10,Essun,Nassun,Directed,1,10,Knows
13,12,Rask,Tirimo's scouts,Directed,1,11,Exchange
12,12,Tirimo's scouts,Tirimo's scouts,Directed,1,11,Knows
12,13,Tirimo's scouts,Rask,Directed,1,11,Exchange
12,12,Tirimo's scouts,Tirimo's scouts,Directed,1,12,Knows
19,2,Tirimo's baker,Essun,Directed,1,15,Knows
16,2,Tirimo's citizens,Essun,Directed,1,15,Knows
17,2,Tirimo's children,Essun,Directed,1,15,Knows
18,2,Tirimo's butcher,Essun,Directed,1,15,Knows
1,15,Hoa,Lerna,Directed,1,15,Knows of
11,2,Jija,Essun,Directed,1,15,Knows
2,15,Essun,Lerna,Directed,1,15,Knows
1,16,Hoa,Tirimo's citizens,Directed,1,15,Knows of
2,11,Essun,Jija,Directed,1,15,Knows
1,18,Hoa,Tirimo's butcher,Directed,1,15,Knows of
10,2,Nassun,Essun,Directed,1,15,Knows
1,11,Hoa,Jija,Directed,1,15,Knows of
2,19,Essun,Tirimo's baker,Directed,1,15,Knows
2,10,Essun,Nassun,Directed,1,15,Knows
19,11,Tirimo's baker,Jija,Directed,1,15,Knows
2,18,Essun,Tirimo's butcher,Directed,1,15,Knows
1,17,Hoa,Tirimo's children,Directed,1,15,Knows of
1,2,Hoa,Essun,Directed,1,15,Knows of
1,19,Hoa,Tirimo's baker,Directed,1,15,Knows of
1,3,Hoa,Uche,Directed,1,15,Knows of
10,3,Nassun,Uche,Directed,1,15,Knows
2,17,Essun,Tirimo's children,Directed,1,15,Knows
15,2,Lerna,Essun,Directed,1,15,Knows
2,16,Essun,Tirimo's citizens,Directed,1,15,Knows
11,19,Jija,Tirimo's baker,Directed,1,15,Knows
3,2,Uche,Essun,Directed,1,15,Knows
1,10,Hoa,Nassun,Directed,1,15,Knows of
3,10,Uche,Nassun,Directed,1,15,Knows
2,3,Essun,Uche,Directed,1,15,Knows
1,2,Hoa,Essun,Directed,1,16,Knows of
1,10,Hoa,Nassun,Directed,1,16,Knows of
10,2,Nassun,Essun,Directed,1,16,Knows
3,10,Uche,Nassun,Directed,1,16,Knows
15,2,Lerna,Essun,Directed,1,16,Knows
2,3,Essun,Uche,Directed,1,16,Knows
3,2,Uche,Essun,Directed,1,16,Knows
2,15,Essun,Lerna,Directed,1,16,Knows
11,2,Jija,Essun,Directed,1,16,Knows
10,3,Nassun,Uche,Directed,1,16,Knows
1,3,Hoa,Uche,Directed,1,16,Knows of
1,11,Hoa,Jija,Directed,1,16,Knows of
2,10,Essun,Nassun,Directed,1,16,Knows
1,15,Hoa,Lerna,Directed,1,16,Knows of
2,11,Essun,Jija,Directed,1,16,Knows
2,20,Essun,Makenba,Directed,1,17,Knows
1,20,Hoa,Makenba,Directed,1,17,Knows of
20,2,Makenba,Essun,Directed,1,17,Knows
2,3,Essun,Uche,Directed,1,17,Knows
3,2,Uche,Essun,Directed,1,17,Knows
