id,Name
237,"""a few people out and about"" (399)"
75,"""archeomests"""
56,"""audience"" (on the young junior)"
99,"""boy"" (missing an arm)"
110,"""boy"" (red-haired girl's relative)"
111,"""boy"" (tiny Equatorial)"
96,"""boy"" (with no penis)"
76,"""casual travellers"""
89,"""child"" (in the Season's End)"
118,"""clerk"" (with Asael and Heresmith)"
87,"""cooks"" (in the Fulcrum)"
52,"""fellow juniors"" (in the Fulcrum)"
58,"""first few women"" (Alabaster was with)"
126,"""forest cats and other animals"" (233)"
116,"""geomests"""
100,"""girl"" (old burn scars)"
114,"""girl"" (pushed Damaya in the shower)"
109,"""girl"" (red-haired eastern Coaster)"
95,"""girl"" (with sharp teeth)"
101,"""grit"" (broken hand)"
9,"""group of young women"""
53,"""handful of grits"" (in the Fulcrum)"
88,"""head cook"" (in the Fulcrum)"
93,"""instructors"" (in the Fulcrum)"
72,"""mailpost-riders"""
63,"""man"" (at the roadhouse)"
71,"""merchant caravanners"""
77,"""militia units"""
61,"""old man"" (at the roadhouse)"
124,"""old masters at uni"" (232)"
251,"""ones who can't make the steps"" (419)"
129,"""other people"" (234)"
60,"""people"" (at the roadhouse)"
86,"""people"" (loading a ship)"
68,"""people"" (on the road)"
73,"""quartent patrol"""
84,"""servant"" (in Allia)"
236,"""several dozen people"" (399)"
234,"""specialists in other areas"" (392)"
62,"""two women"" (at the roadhouse)"
69,"""woman"" (on the road)"
120,"""woman"" (with Heresmith)"
55,"""young junior"" (singing in the Fulcrum)"
79,"""young man"" (in Allia)"
0,"[NULL]"
229,"a clalsu crew woman (385)"
263,"a dead Meovite"
231,"a Fulcrum senior (387)"
182,"a woman at the Fulcrum (299)"
131,"a young, uncertain man (235)"
134,"a younger Sanzed woman (in the group of five) (235"
155,"Adolescents/Children (in Allia)"
181,"adult orogenes (at the Fulcrum) (298)"
7,"Alabaster"
159,"Alabaster's children"
207,"alchemists"
78,"Allia's citizens"
121,"Allia's citizens"
51,"Allia's quartent governor"
151,"Allia's residents at the inn"
136,"an anonymous orogene (237)"
244,"Anafumeth (Sanzed Emperor)"
228,"ancient orogenes (380)"
169,"Antarctic-looking woman (266)"
8,"Antimony"
172,"Antimony (Stone Eater)"
245,"archeomest who Alabaster had affair with"
85,"Asael Leadership Allia"
145,"astronomests"
226,"attack ship members (376)"
242,"Bandits (404)"
184,"Binof"
186,"Binof's father"
185,"Binof's mother"
189,"Binof's nurses"
190,"Binof's Tutors"
141,"Biomests"
152,"Breeders"
64,"Brevard's citizens"
104,"Brevard's lorists"
158,"bunch of bureaucrats"
125,"cannibals"
225,"Cargo vessel crew (375/76)"
108,"Carnelian"
28,"Chaga"
142,"Charlatans"
203,"child #1 in Ykka's story (337)"
204,"child #2 in Ykka's story (337)"
30,"Children (in Damaya's creche)"
206,"children playing (339)"
192,"citizens in Binof's story (317)"
219,"Clalsu crew"
112,"Cleaner (Jasper bought liquor from)"
94,"Cleaners (in the Fulcrum)"
220,"Coaster men (357)"
211,"comm that controlled the Geode in the prior season"
212,"commless band that took over Geode"
222,"Corundum"
106,"Crack"
143,"Cranks"
23,"Damaya"
31,"Damaya's cousin"
27,"Damaya's father"
25,"Damaya's mother"
160,"dead child (in Mehi)"
258,"Deelashet"
115,"Dibars' citizens"
147,"doctors"
81,"Drover (in Allia)"
261,"Ecella"
163,"Edki"
130,"Equatorials"
22,"Eran"
122,"Erlsset"
2,"Essun"
47,"Father (in Tirimo)"
123,"Father Earth"
50,"Feldspar"
59,"Feldspar's children"
98,"First Old Sanze Emperor"
102,"Fulcrum orogenes"
162,"gaggle of old women (255)"
105,"Galena"
188,"Galena's chatty companion (310)"
82,"Gate crew (in Allia)"
119,"Geneer Licensure"
208,"Geneers"
140,"Geomests"
171,"Grit Instructor for Geomestry (277)"
92,"Grits (in the Fulcrum)"
164,"Guardian Leshet"
174,"Guardian who attacked Hessionite (289)"
194,"Guardian who collects Timay's body (327)"
54,"Guardians (at the Fulcrum)"
216,"Guardians east of Yumenes (346)"
257,"Guardians who attack Meov"
187,"Guards/City Militia (308)"
177,"Harlas"
253,"Hemoo"
117,"Heresmith Leadership Allia"
173,"Hessionite"
