source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
263,83,"""[Kitty's] director""",Kitty Jackson,Directed,1,170,Knows
259,85,"""a banjo""",Alice,Directed,1,44,Exchange
259,67,"""a banjo""",Bennie Salazar,Directed,1,44,Exchange
259,86,"""a banjo""",Jocelyn,Directed,1,44,Exchange
259,87,"""a banjo""",Rhea,Directed,1,44,Exchange
259,84,"""a banjo""",Scotty Hausmann,Directed,1,44,Exchange
448,84,"""a blond gal""",Scotty Hausmann,Directed,1,97,Exchange
448,517,"""a blond gal""",well-dressed individuals,Directed,1,97,Knows
288,139,"""a girl"" (Rob shares a strong joint with)",Robert Freeman Jr.,Directed,1,202,Exchange
251,67,"""a gray cat""",Bennie Salazar,Directed,1,32,Exchange
251,67,"""a gray cat""",Bennie Salazar,Directed,1,33,Exchange
257,85,"""a sax""",Alice,Directed,1,44,Exchange
257,67,"""a sax""",Bennie Salazar,Directed,1,44,Exchange
257,86,"""a sax""",Jocelyn,Directed,1,44,Exchange
257,87,"""a sax""",Rhea,Directed,1,44,Exchange
257,84,"""a sax""",Scotty Hausmann,Directed,1,44,Exchange
258,85,"""a tuba""",Alice,Directed,1,44,Exchange
258,67,"""a tuba""",Bennie Salazar,Directed,1,44,Exchange
258,86,"""a tuba""",Jocelyn,Directed,1,44,Exchange
258,87,"""a tuba""",Rhea,Directed,1,44,Exchange
258,84,"""a tuba""",Scotty Hausmann,Directed,1,44,Exchange
108,88,"""audience of twenty-five hundred""","""jazz pianist""",Directed,1,23,Exchange
108,67,"""audience of twenty-five hundred""",Bennie Salazar,Directed,1,23,Exchange
374,71,"""audience"" (at Scotty's concert)",Alex,Directed,1,335,Knows
374,71,"""audience"" (at Scotty's concert)",Alex,Directed,1,336,Knows
374,84,"""audience"" (at Scotty's concert)",Scotty Hausmann,Directed,1,335,Exchange
374,84,"""audience"" (at Scotty's concert)",Scotty Hausmann,Directed,1,336,Exchange
282,66,"""baby crying"" (in Naples)",Sasha,Directed,1,194,Exchange
210,66,"""bandy-legged old woman""",Sasha,Directed,1,230,Knows
210,141,"""bandy-legged old woman""",Ted Hollander,Directed,1,228,Exchange
210,141,"""bandy-legged old woman""",Ted Hollander,Directed,1,229,Exchange
210,141,"""bandy-legged old woman""",Ted Hollander,Directed,1,230,Exchange
401,385,"""child in the shadows""",Charlie,Directed,1,60,Knows
401,402,"""child in the shadows""",Samburu warrior w/ scars,Directed,1,60,Knows
401,400,"""child in the shadows""",Samburu warriors,Directed,1,60,Knows
103,260,"""cloistered nuns""",God,Directed,1,20,Knows
103,80,"""cloistered nuns""",Mother Superior,Directed,1,20,Knows
103,80,"""cloistered nuns""",Mother Superior,Directed,1,21,Knows
529,71,"""concert-goers""",Alex,Directed,1,330,Knows of
296,66,"""doorman"" (in Naples)",Sasha,Directed,1,224,Knows
296,141,"""doorman"" (in Naples)",Ted Hollander,Directed,1,224,Knows
294,66,"""driver"" (in Naples)",Sasha,Directed,1,221,Exchange
294,141,"""driver"" (in Naples)",Ted Hollander,Directed,1,221,Knows
224,322,"""girl with the sick heart""","""parents"" (of the girl with the sick heart)",Directed,1,248,Knows
224,213,"""girl with the sick heart""",Drew Blake,Directed,1,248,Knows
224,213,"""girl with the sick heart""",Drew Blake,Directed,1,292,Knows
104,67,"""girls from the office""",Bennie Salazar,Directed,1,20,Knows
345,71,"""guy"" (who snatched Rebecca's purse)",Alex,Directed,1,316,Knows
345,71,"""guy"" (who snatched Rebecca's purse)",Alex,Directed,1,325,Knows
345,331,"""guy"" (who snatched Rebecca's purse)",Rebecca (Alex's wife),Directed,1,316,Knows
345,331,"""guy"" (who snatched Rebecca's purse)",Rebecca (Alex's wife),Directed,1,325,Knows
299,180,"""hotel clerk"" (in Naples)","Alfred ""Alf"" Hollander",Directed,1,227,Exchange
299,141,"""hotel clerk"" (in Naples)",Ted Hollander,Directed,1,227,Exchange
281,66,"""hungry kids"" (in Naples)",Sasha,Directed,1,194,Exchange
486,83,"""iconic actor""",Kitty Jackson,Directed,1,144,Knows
88,108,"""jazz pianist""","""audience of twenty-five hundred""",Directed,1,23,Exchange
88,67,"""jazz pianist""",Bennie Salazar,Directed,1,23,Exchange
292,141,"""kid in a green T-shirt"" (in Naples)",Ted Hollander,Directed,1,215,Knows
316,140,"""kids"" (on Lincoln's team)",Alison Blake,Directed,1,238,Exchange
316,211,"""kids"" (on Lincoln's team)",Lincoln Blake,Directed,1,238,Exchange
511,87,"""last year's Pitters""",Rhea,Directed,1,41,Knows of
92,93,"""little girl"" (scarf victim)","""little girl's"" mother",Directed,1,14,Knows
92,93,"""little girl"" (scarf victim)","""little girl's"" mother",Directed,1,15,Knows
92,66,"""little girl"" (scarf victim)",Sasha,Directed,1,4,Knows
92,66,"""little girl"" (scarf victim)",Sasha,Directed,1,14,Knows of
93,92,"""little girl's"" mother","""little girl"" (scarf victim)",Directed,1,14,Knows
93,92,"""little girl's"" mother","""little girl"" (scarf victim)",Directed,1,15,Knows
93,66,"""little girl's"" mother",Sasha,Directed,1,14,Knows of
156,152,"""male memoirist""",Janet Green,Directed,1,175,Knows
297,141,"""officer"" (in Naples)",Ted Hollander,Directed,1,227,Exchange
322,224,"""parents"" (of the girl with the sick heart)","""girl with the sick heart""",Directed,1,248,Knows
322,213,"""parents"" (of the girl with the sick heart)",Drew Blake,Directed,1,248,Knows
261,138,"""people"" (at the restaurant)",Jules Jones,Directed,1,168,Knows
261,138,"""people"" (at the restaurant)",Jules Jones,Directed,1,169,Knows
261,83,"""people"" (at the restaurant)",Kitty Jackson,Directed,1,168,Knows
261,83,"""people"" (at the restaurant)",Kitty Jackson,Directed,1,169,Knows
375,84,"""roadies"" (at Scotty's concert)",Scotty Hausmann,Directed,1,335,Knows
333,71,"""secretary"" (to Bennie's executives)",Alex,Directed,1,312,Exchange
333,67,"""secretary"" (to Bennie's executives)",Bennie Salazar,Directed,1,312,Knows
333,332,"""secretary"" (to Bennie's executives)",Bennie's executives,Directed,1,312,Knows
