source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
259,85,"""a banjo""",Alice,Directed,1,44,Exchange
259,67,"""a banjo""",Bennie Salazar,Directed,1,44,Exchange
259,86,"""a banjo""",Jocelyn,Directed,1,44,Exchange
259,87,"""a banjo""",Rhea,Directed,1,44,Exchange
259,84,"""a banjo""",Scotty Hausmann,Directed,1,44,Exchange
448,84,"""a blond gal""",Scotty Hausmann,Directed,1,97,Exchange
288,139,"""a girl"" (Rob shares a strong joint with)",Robert Freeman Jr.,Directed,1,202,Exchange
251,67,"""a gray cat""",Bennie Salazar,Directed,1,32,Exchange
251,67,"""a gray cat""",Bennie Salazar,Directed,1,33,Exchange
257,85,"""a sax""",Alice,Directed,1,44,Exchange
257,67,"""a sax""",Bennie Salazar,Directed,1,44,Exchange
257,86,"""a sax""",Jocelyn,Directed,1,44,Exchange
257,87,"""a sax""",Rhea,Directed,1,44,Exchange
257,84,"""a sax""",Scotty Hausmann,Directed,1,44,Exchange
258,85,"""a tuba""",Alice,Directed,1,44,Exchange
258,67,"""a tuba""",Bennie Salazar,Directed,1,44,Exchange
258,86,"""a tuba""",Jocelyn,Directed,1,44,Exchange
258,87,"""a tuba""",Rhea,Directed,1,44,Exchange
258,84,"""a tuba""",Scotty Hausmann,Directed,1,44,Exchange
108,88,"""audience of twenty-five hundred""","""jazz pianist""",Directed,1,23,Exchange
108,67,"""audience of twenty-five hundred""",Bennie Salazar,Directed,1,23,Exchange
374,84,"""audience"" (at Scotty's concert)",Scotty Hausmann,Directed,1,335,Exchange
374,84,"""audience"" (at Scotty's concert)",Scotty Hausmann,Directed,1,336,Exchange
282,66,"""baby crying"" (in Naples)",Sasha,Directed,1,194,Exchange
210,141,"""bandy-legged old woman""",Ted Hollander,Directed,1,228,Exchange
210,141,"""bandy-legged old woman""",Ted Hollander,Directed,1,229,Exchange
210,141,"""bandy-legged old woman""",Ted Hollander,Directed,1,230,Exchange
294,66,"""driver"" (in Naples)",Sasha,Directed,1,221,Exchange
299,180,"""hotel clerk"" (in Naples)","Alfred ""Alf"" Hollander",Directed,1,227,Exchange
299,141,"""hotel clerk"" (in Naples)",Ted Hollander,Directed,1,227,Exchange
281,66,"""hungry kids"" (in Naples)",Sasha,Directed,1,194,Exchange
88,108,"""jazz pianist""","""audience of twenty-five hundred""",Directed,1,23,Exchange
88,67,"""jazz pianist""",Bennie Salazar,Directed,1,23,Exchange
316,140,"""kids"" (on Lincoln's team)",Alison Blake,Directed,1,238,Exchange
316,211,"""kids"" (on Lincoln's team)",Lincoln Blake,Directed,1,238,Exchange
297,141,"""officer"" (in Naples)",Ted Hollander,Directed,1,227,Exchange
333,71,"""secretary"" (to Bennie's executives)",Alex,Directed,1,312,Exchange
255,74,"""security"" (on the phone)",Lassimo Hotel Concierge,Directed,1,10,Exchange
239,67,"""the cholos""",Bennie Salazar,Directed,1,42,Exchange
72,66,"""the plumber""",Sasha,Directed,1,7,Exchange
72,66,"""the plumber""",Sasha,Directed,1,8,Exchange
254,74,"""the police""",Lassimo Hotel Concierge,Directed,1,10,Exchange
68,71,"""the woman"" (wallet victim)",Alex,Directed,1,9,Exchange
68,71,"""the woman"" (wallet victim)",Alex,Directed,1,10,Exchange
68,74,"""the woman"" (wallet victim)",Lassimo Hotel Concierge,Directed,1,9,Exchange
68,66,"""the woman"" (wallet victim)",Sasha,Directed,1,9,Exchange
68,66,"""the woman"" (wallet victim)",Sasha,Directed,1,10,Exchange
68,66,"""the woman"" (wallet victim)",Sasha,Directed,1,11,Exchange
68,66,"""the woman"" (wallet victim)",Sasha,Directed,1,12,Exchange
68,66,"""the woman"" (wallet victim)",Sasha,Directed,1,13,Exchange
116,67,"""two colleagues""",Bennie Salazar,Directed,1,30,Exchange
404,385,Albert,Charlie,Directed,1,61,Exchange
404,385,Albert,Charlie,Directed,1,67,Exchange
404,415,Albert,Chronos,Directed,1,69,Exchange
404,408,Albert,Cora (Lou's travel agent),Directed,1,68,Exchange
404,413,Albert,Kikuyu drivers,Directed,1,65,Exchange
404,397,Albert,Mindy,Directed,1,67,Exchange
404,397,Albert,Mindy,Directed,1,68,Exchange
404,397,Albert,Mindy,Directed,1,69,Exchange
404,397,Albert,Mindy,Directed,1,74,Exchange
404,386,Albert,Rolph,Directed,1,67,Exchange
404,386,Albert,Rolph,Directed,1,73,Exchange
404,386,Albert,Rolph,Directed,1,74,Exchange
71,333,Alex,"""secretary"" (to Bennie's executives)",Directed,1,312,Exchange
71,68,Alex,"""the woman"" (wallet victim)",Directed,1,9,Exchange
71,68,Alex,"""the woman"" (wallet victim)",Directed,1,10,Exchange
71,328,Alex,Ava Salazar,Directed,1,311,Exchange
71,67,Alex,Bennie Salazar,Directed,1,310,Exchange
71,67,Alex,Bennie Salazar,Directed,1,311,Exchange
71,67,Alex,Bennie Salazar,Directed,1,312,Exchange
71,67,Alex,Bennie Salazar,Directed,1,313,Exchange
71,67,Alex,Bennie Salazar,Directed,1,314,Exchange
71,67,Alex,Bennie Salazar,Directed,1,315,Exchange
71,67,Alex,Bennie Salazar,Directed,1,326,Exchange
71,67,Alex,Bennie Salazar,Directed,1,331,Exchange
71,67,Alex,Bennie Salazar,Directed,1,332,Exchange
71,67,Alex,Bennie Salazar,Directed,1,334,Exchange
71,67,Alex,Bennie Salazar,Directed,1,335,Exchange
71,67,Alex,Bennie Salazar,Directed,1,336,Exchange
71,67,Alex,Bennie Salazar,Directed,1,337,Exchange
71,67,Alex,Bennie Salazar,Directed,1,338,Exchange
71,67,Alex,Bennie Salazar,Directed,1,339,Exchange
71,67,Alex,Bennie Salazar,Directed,1,340,Exchange
71,329,Alex,Cara-Ann (Alex's daughter),Directed,1,311,Exchange
71,329,Alex,Cara-Ann (Alex's daughter),Directed,1,314,Exchange
71,329,Alex,Cara-Ann (Alex's daughter),Directed,1,321,Exchange
71,329,Alex,Cara-Ann (Alex's daughter),Directed,1,322,Exchange
71,329,Alex,Cara-Ann (Alex's daughter),Directed,1,323,Exchange
71,329,Alex,Cara-Ann (Alex's daughter),Directed,1,324,Exchange
71,329,Alex,Cara-Ann (Alex's daughter),Directed,1,327,Exchange
71,329,Alex,Cara-Ann (Alex's daughter),Directed,1,328,Exchange
71,338,Alex,"First ""conversational strand""",Directed,1,315,Exchange
71,74,Alex,Lassimo Hotel Concierge,Directed,1,10,Exchange
71,346,Alex,Lulu Peale,Directed,1,317,Exchange
71,346,Alex,Lulu Peale,Directed,1,318,Exchange
71,346,Alex,Lulu Peale,Directed,1,319,Exchange
71,346,Alex,Lulu Peale,Directed,1,320,Exchange
71,346,Alex,Lulu Peale,Directed,1,321,Exchange
71,346,Alex,Lulu Peale,Directed,1,322,Exchange
71,346,Alex,Lulu Peale,Directed,1,324,Exchange
71,346,Alex,Lulu Peale,Directed,1,326,Exchange
71,346,Alex,Lulu Peale,Directed,1,327,Exchange
71,346,Alex,Lulu Peale,Directed,1,331,Exchange
71,346,Alex,Lulu Peale,Directed,1,334,Exchange
71,330,Alex,Lupa Salazar,Directed,1,312,Exchange
71,371,Alex,Natasha (Zeus's Russian girlfriend),Directed,1,329,Exchange
71,331,Alex,Rebecca (Alex's wife),Directed,1,312,Exchange
71,331,Alex,Rebecca (Alex's wife),Directed,1,315,Exchange
71,331,Alex,Rebecca (Alex's wife),Directed,1,322,Exchange
71,331,Alex,Rebecca (Alex's wife),Directed,1,323,Exchange
71,331,Alex,Rebecca (Alex's wife),Directed,1,324,Exchange
71,331,Alex,Rebecca (Alex's wife),Directed,1,325,Exchange
71,331,Alex,Rebecca (Alex's wife),Directed,1,328,Exchange
71,331,Alex,Rebecca (Alex's wife),Directed,1,329,Exchange
71,331,Alex,Rebecca (Alex's wife),Directed,1,330,Exchange
71,331,Alex,Rebecca (Alex's wife),Directed,1,331,Exchange
71,331,Alex,Rebecca (Alex's wife),Directed,1,336,Exchange
71,331,Alex,Rebecca (Alex's wife),Directed,1,337,Exchange
71,66,Alex,Sasha,Directed,1,5,Exchange
71,66,Alex,Sasha,Directed,1,6,Exchange
71,66,Alex,Sasha,Directed,1,10,Exchange
71,66,Alex,Sasha,Directed,1,11,Exchange
71,66,Alex,Sasha,Directed,1,12,Exchange
