source,target,Char 1 Name,Char 2 Name,startPage,type,weight
66,68,Sasha,"""the woman"" (wallet victim)",3,Undirected,1
68,69,"""the woman"" (wallet victim)",Coz,4,Undirected,1
66,68,Sasha,"""the woman"" (wallet victim)",4,Undirected,1
67,68,Bennie Salazar,"""the woman"" (wallet victim)",4,Undirected,1
66,70,Sasha,Bennie's lawyer,4,Undirected,1
66,67,Sasha,Bennie Salazar,4,Undirected,1
67,70,Bennie Salazar,Bennie's lawyer,4,Undirected,1
68,70,"""the woman"" (wallet victim)",Bennie's lawyer,4,Undirected,1
70,92,Bennie's lawyer,"""little girl"" (scarf victim)",4,Undirected,1
66,92,Sasha,"""little girl"" (scarf victim)",4,Undirected,1
69,70,Coz,Bennie's lawyer,4,Undirected,1
67,92,Bennie Salazar,"""little girl"" (scarf victim)",4,Undirected,1
68,92,"""the woman"" (wallet victim)","""little girl"" (scarf victim)",4,Undirected,1
66,69,Sasha,Coz,4,Undirected,1
69,92,Coz,"""little girl"" (scarf victim)",4,Undirected,1
67,69,Bennie Salazar,Coz,4,Undirected,1
68,69,"""the woman"" (wallet victim)",Coz,5,Undirected,1
66,68,Sasha,"""the woman"" (wallet victim)",5,Undirected,1
67,68,Bennie Salazar,"""the woman"" (wallet victim)",5,Undirected,1
66,71,Sasha,Alex,5,Undirected,1
71,90,Alex,"""waiters"" (at the Lassimo Hotel)",5,Undirected,1
66,90,Sasha,"""waiters"" (at the Lassimo Hotel)",5,Undirected,1
67,71,Bennie Salazar,Alex,5,Undirected,1
68,71,"""the woman"" (wallet victim)",Alex,5,Undirected,1
67,90,Bennie Salazar,"""waiters"" (at the Lassimo Hotel)",5,Undirected,1
68,90,"""the woman"" (wallet victim)","""waiters"" (at the Lassimo Hotel)",5,Undirected,1
69,71,Coz,Alex,5,Undirected,1
66,67,Sasha,Bennie Salazar,5,Undirected,1
69,90,Coz,"""waiters"" (at the Lassimo Hotel)",5,Undirected,1
66,69,Sasha,Coz,5,Undirected,1
67,69,Bennie Salazar,Coz,5,Undirected,1
