source,target,Character 1,Character 2,type,weight,startPage,category,Narrator
69,66,Coz,Sasha,Directed,1,4,Exchange,[NULL]
66,69,Sasha,Coz,Directed,1,4,Exchange,[NULL]
71,66,Alex,Sasha,Directed,1,5,Exchange,[NULL]
66,71,Sasha,Alex,Directed,1,5,Exchange,[NULL]
66,69,Sasha,Coz,Directed,1,5,Exchange,[NULL]
69,66,Coz,Sasha,Directed,1,5,Exchange,[NULL]
69,66,Coz,Sasha,Directed,1,6,Exchange,[NULL]
71,66,Alex,Sasha,Directed,1,6,Exchange,[NULL]
66,69,Sasha,Coz,Directed,1,6,Exchange,[NULL]
66,71,Sasha,Alex,Directed,1,6,Exchange,[NULL]
66,72,Sasha,"""the plumber""",Directed,1,7,Exchange,[NULL]
69,66,Coz,Sasha,Directed,1,7,Exchange,[NULL]
66,69,Sasha,Coz,Directed,1,7,Exchange,[NULL]
72,66,"""the plumber""",Sasha,Directed,1,7,Exchange,[NULL]
66,72,Sasha,"""the plumber""",Directed,1,8,Exchange,[NULL]
69,66,Coz,Sasha,Directed,1,8,Exchange,[NULL]
66,69,Sasha,Coz,Directed,1,8,Exchange,[NULL]
72,66,"""the plumber""",Sasha,Directed,1,8,Exchange,[NULL]
68,71,"""the woman"" (wallet victim)",Alex,Directed,1,9,Exchange,[NULL]
66,68,Sasha,"""the woman"" (wallet victim)",Directed,1,9,Exchange,[NULL]
71,68,Alex,"""the woman"" (wallet victim)",Directed,1,9,Exchange,[NULL]
69,66,Coz,Sasha,Directed,1,9,Exchange,[NULL]
68,74,"""the woman"" (wallet victim)",Lassimo Hotel Concierge,Directed,1,9,Exchange,[NULL]
74,68,Lassimo Hotel Concierge,"""the woman"" (wallet victim)",Directed,1,9,Exchange,[NULL]
68,66,"""the woman"" (wallet victim)",Sasha,Directed,1,9,Exchange,[NULL]
66,69,Sasha,Coz,Directed,1,9,Exchange,[NULL]
74,254,Lassimo Hotel Concierge,"""the police""",Directed,1,10,Exchange,[NULL]
74,255,Lassimo Hotel Concierge,"""security"" (on the phone)",Directed,1,10,Exchange,[NULL]
74,71,Lassimo Hotel Concierge,Alex,Directed,1,10,Exchange,[NULL]
255,74,"""security"" (on the phone)",Lassimo Hotel Concierge,Directed,1,10,Exchange,[NULL]
66,71,Sasha,Alex,Directed,1,10,Exchange,[NULL]
66,68,Sasha,"""the woman"" (wallet victim)",Directed,1,10,Exchange,[NULL]
71,68,Alex,"""the woman"" (wallet victim)",Directed,1,10,Exchange,[NULL]
71,74,Alex,Lassimo Hotel Concierge,Directed,1,10,Exchange,[NULL]
68,66,"""the woman"" (wallet victim)",Sasha,Directed,1,10,Exchange,[NULL]
68,71,"""the woman"" (wallet victim)",Alex,Directed,1,10,Exchange,[NULL]
254,74,"""the police""",Lassimo Hotel Concierge,Directed,1,10,Exchange,[NULL]
71,66,Alex,Sasha,Directed,1,10,Exchange,[NULL]
71,66,Alex,Sasha,Directed,1,11,Exchange,[NULL]
66,68,Sasha,"""the woman"" (wallet victim)",Directed,1,11,Exchange,[NULL]
68,66,"""the woman"" (wallet victim)",Sasha,Directed,1,11,Exchange,[NULL]
66,71,Sasha,Alex,Directed,1,11,Exchange,[NULL]
68,66,"""the woman"" (wallet victim)",Sasha,Directed,1,12,Exchange,[NULL]
66,71,Sasha,Alex,Directed,1,12,Exchange,[NULL]
