id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
187,"Knows of","Sasha","""the woman"" (wallet victim)","0","1 Found Objects","3","3"
188,"Exchange","Sasha","Coz","1","1 Found Objects","4","9"
189,"Exchange","Sasha","Alex","1","1 Found Objects","5","6"
190,"Exchange","Sasha","""the plumber""","1","1 Found Objects","7","8"
191,"Exchange","""the woman"" (wallet victim)","Sasha","1","1 Found Objects","9","10"
192,"Exchange","""the woman"" (wallet victim)","Alex","1","1 Found Objects","9","10"
193,"Exchange","""the woman"" (wallet victim)","Lassimo Hotel Concierge","1","1 Found Objects","9","9"
194,"Exchange","Alex","Lassimo Hotel Concierge","1","1 Found Objects","10","10"
195,"Exchange","Alex","Sasha","1","1 Found Objects","10","18"
196,"Knows","Lassimo Hotel Concierge","""two security guys"" (Lassimo Hotel)","1","1 Found Objects","10","11"
197,"Exchange","Sasha","""the woman"" (wallet victim)","1","1 Found Objects","11","13"
198,"Knows of","Alex","Robert Freeman Jr.","1","1 Found Objects","14","14"
199,"Knows of","Sasha","""little girl"" (scarf victim)","1","1 Found Objects","14","14"
200,"Knows of","Sasha","""little girl's"" mother","1","1 Found Objects","14","14"
201,"Exchange","Sasha","Coz","1","1 Found Objects","15","16"
202,"Knows of","Coz","Alex","0","1 Found Objects","15","18"
203,"Knows of","Coz","""the woman"" (wallet victim)","0","1 Found Objects","4","4"
204,"Knows of","Coz","""the plumber""","0","1 Found Objects","7","8"
205,"Knows of","Coz","Andy Grady (Sasha's father)","0","1 Found Objects","8","8"
206,"Knows of","Alex","""the plumber""","0","1 Found Objects","16","16"
207,"Knows","Sasha","Lizzie","1","1 Found Objects","16","18"
208,"Knows of","Sasha","girl in braces","0","1 Found Objects","17","17"
209,"Knows of","Sasha","boy one in picture","0","1 Found Objects","17","17"
210,"Knows of","Sasha","boy two in picture","0","1 Found Objects","17","17"
211,"Knows","Alex","girl in braces","1","1 Found Objects","17","17"
212,"Knows","Alex","boy one in picture","1","1 Found Objects","17","17"
213,"Knows","Alex","boy two in picture","1","1 Found Objects","17","17"
214,"Exchange","Coz","Sasha","1","1 Found Objects","18","18"
215,"Exchange","Bennie's senior executive","Bennie Salazar","1","2 The Gold Cure","19","19"
216,"Knows","Bennie's senior executive","Stop/Go sisters","1","2 The Gold Cure","19","19"
217,"Knows","Bennie Salazar","Stop/Go sisters","1","2 The Gold Cure","19","21"
218,"Knows of","Bennie Salazar","Cyndi Lauper","0","2 The Gold Cure","19","19"
219,"Knows of","Bennie Salazar","Chrissie Hynde","0","2 The Gold Cure","19","19"
220,"Exchange","Collette","Bennie Salazar","1","2 The Gold Cure","19","21"
221,"Knows","Collette","Stop/Go sisters","1","2 The Gold Cure","19","19"
222,"Knows of","Collette","Olivia (Louisa's daughter)","0","2 The Gold Cure","19","19"
223,"Knows of","Bennie Salazar","Olivia (Louisa's daughter)","1","2 The Gold Cure","19","19"
227,"Knows of","Bennie Salazar","Stop/Go Producer 1","1","2 The Gold Cure","20","20"
228,"Knows of","Bennie Salazar","Stop/Go Producer 2","1","2 The Gold Cure","20","20"
229,"Knows of","Bennie Salazar","Stop/Go Producer 3","1","2 The Gold Cure","20","20"
230,"Knows of","Bennie Salazar","Stop/Go's manager (their father)","1","2 The Gold Cure","20","20"
231,"Knows","Collette","Stop/Go's manager (their father)","1","2 The Gold Cure","20","20"
232,"Knows of","Bennie Salazar","""cloistered nuns""","0","2 The Gold Cure","20","21"
233,"Exchange","Bennie Salazar","Mother Superior","1","2 The Gold Cure","20","21"
234,"Knows","Bennie Salazar","""girls from the office""","1","2 The Gold Cure","20","20"
235,"Knows","Sasha","Bennie Salazar","1","2 The Gold Cure","21","22"
236,"Knows","Bennie Salazar","Stephanie","1","2 The Gold Cure","21","21"
237,"Knows","Bennie Salazar","Christopher Salazar","1","2 The Gold Cure","21","22"
238,"Knows","Bennie Salazar","Kitty Jackson","1","2 The Gold Cure","22","22"
239,"Knows of","Bennie Salazar","The Sleepers (band)","0","2 The Gold Cure","22","22"
240,"Knows of","Bennie Salazar","The Dead Kennedys (band)","0","2 The Gold Cure","22","22"
241,"Knows","Bennie Salazar","Scotty Hausmann","1","2 The Gold Cure","23","23"
242,"Knows","Bennie Salazar","Alice","1","2 The Gold Cure","23","23"
243,"Knows","Bennie Salazar","Jocelyn","1","2 The Gold Cure","23","23"
244,"Knows","Bennie Salazar","Rhea","1","2 The Gold Cure","23","23"
245,"Knows of","Bennie Salazar","Jello Biafra","0","2 The Gold Cure","23","23"
246,"Exchange","Bennie Salazar","""jazz pianist""","1","2 The Gold Cure","23","23"
247,"Exchange","Bennie Salazar","""audience of twenty-five hundred""","1","2 The Gold Cure","23","23"
248,"Exchange","Bennie Salazar","Stephanie","1","2 The Gold Cure","23","23"
249,"Exchange","Bennie Salazar","Christopher Salazar","1","2 The Gold Cure","24","26"
250,"Knows","Bennie Salazar","Dr. Beet","1","2 The Gold Cure","24","24"
251,"Knows","Christopher Salazar","Dr. Beet","1","2 The Gold Cure","24","24"
252,"Knows","Stephanie","Bennie Salazar","1","2 The Gold Cure","24","24"
253,"Knows","Stephanie","Christopher Salazar","1","2 The Gold Cure","24","24"
254,"Knows of","Dr. Beet","Stephanie","1","2 The Gold Cure","24","24"
255,"Knows of","Christopher Salazar","Stop/Go sisters","0","2 The Gold Cure","26","26"
256,"Knows of","Bennie Salazar","Pearl Jam","0","2 The Gold Cure","27","27"
257,"Knows of","Christopher Salazar","Pearl Jam","0","2 The Gold Cure","27","27"
258,"Exchange","Sasha","Christopher Salazar","1","2 The Gold Cure","27","27"
259,"Exchange","Bennie Salazar","Sasha","1","2 The Gold Cure","27","29"
260,"Knows of","Bennie Salazar","Sasha's boyfriends","0","2 The Gold Cure","28","28"
261,"Knows","Sasha","Sasha's boyfriends","1","2 The Gold Cure","28","28"
262,"Knows","Bennie Salazar","The Conduits (band)","0","2 The Gold Cure","28","28"
263,"Exchange","Sasha","The Conduits (band)","0","2 The Gold Cure","28","28"
264,"Knows","Rhea","Jocelyn","1","3 Ask Me If I Care","39","41"
265,"Knows","Alice","Jocelyn","1","3 Ask Me If I Care","39","40"
266,"Knows","Rhea","Alice","1","3 Ask Me If I Care","39","39"
267,"Knows","Rhea","Scotty Hausmann","1","3 Ask Me If I Care","39","39"
268,"Knows","Rhea","Alice's first sister","0","3 Ask Me If I Care","40","40"
269,"Knows","Jocelyn","Alice's first sister","0","3 Ask Me If I Care","40","40"
270,"Knows of","Scotty Hausmann","Stranglers (band)","0","3 Ask Me If I Care","39","39"
271,"Knows of","Rhea","Stranglers (band)","0","3 Ask Me If I Care","39","39"
272,"Knows of","Alice","Stranglers (band)","0","3 Ask Me If I Care","39","39"
273,"Knows of","Jocelyn","Stranglers (band)","0","3 Ask Me If I Care","39","39"
274,"Knows of","Bennie Salazar","Stranglers (band)","0","3 Ask Me If I Care","39","39"
275,"Knows of","Rhea","Nuns (band)","0","3 Ask Me If I Care","39","39"
276,"Knows of","Scotty Hausmann","Nuns (band)","0","3 Ask Me If I Care","39","39"
277,"Knows of","Jocelyn","Nuns (band)","0","3 Ask Me If I Care","39","39"
278,"Knows of","Alice","Nuns (band)","0","3 Ask Me If I Care","39","39"
279,"Knows of","Bennie Salazar","Nuns (band)","0","3 Ask Me If I Care","39","39"
280,"Knows of","Rhea","Negative Trend (band)","0","3 Ask Me If I Care","39","39"
281,"Knows of","Scotty Hausmann","Negative Trend (band)","0","3 Ask Me If I Care","39","39"
282,"Knows of","Jocelyn","Negative Trend (band)","0","3 Ask Me If I Care","39","39"
283,"Knows of","Alice","Negative Trend (band)","0","3 Ask Me If I Care","39","39"
284,"Knows of","Bennie Salazar","Negative Trend (band)","0","3 Ask Me If I Care","39","39"
285,"Exchange","Scotty Hausmann","Alice","1","3 Ask Me If I Care","39","39"
287,"Knows","Scotty Hausmann","Alice's first sister","0","3 Ask Me If I Care","40","40"
288,"Knows","Bennie Salazar","Alice's first sister","0","3 Ask Me If I Care","40","40"
289,"Knows","Alice","Alice's little sisters","1","3 Ask Me If I Care","39","40"
290,"Knows","Rhea","Bennie Salazar","1","3 Ask Me If I Care","39","42"
291,"Knows","Alice","Bennie Salazar","1","3 Ask Me If I Care","39","40"
292,"Knows","Scotty Hausmann","Jocelyn","1","3 Ask Me If I Care","39","40"
293,"Knows","Scotty Hausmann","Bennie Salazar","1","3 Ask Me If I Care","39","40"
294,"Knows","Jocelyn","Bennie Salazar","1","3 Ask Me If I Care","39","40"
295,"Exchange","Scotty Hausmann","the entire J.V. soccer team","1","3 Ask Me If I Care","41","41"
296,"Exchange","Bennie Salazar","""the cholos""","1","3 Ask Me If I Care","42","42"
297,"Exchange","Rhea","Jocelyn","1","3 Ask Me If I Care","42","42"
298,"Knows of","Rhea","Scotty Hausmann's mother","1","3 Ask Me If I Care","42","42"
