id,Name
12,""
0,"[NULL]"
10,"Albus Dumbledore"
49,"Argus Filtch"
85,"Aunt Marge"
70,"Bald man in a purple coat"
44,"Bane"
80,"Bird Experts"
35,"Bird Watchers"
93,"Boa Constrictor"
28,"cat"
58,"Dedalus Diggle"
71,"Dennis"
17,"Draco Malfoy"
4,"Dudley Dursley"
45,"Firenze"
33,"five different people"
22,"Fred Weasley"
30,"Fuffy"
74,"George Weasley"
23,"Ginny Weasley"
73,"Gordon"
21,"Goyle"
1,"Harry Potter"
67,"Harry's Headmistress"
54,"Hedwig"
9,"Hermione Granger"
75,"Hogwarts Students"
92,"Ice Cream Lady"
26,"James Potter"
37,"Jim McGuffin"
42,"Lee Jordan"
25,"Lily Potter"
59,"Madam Pomfrey"
72,"Malcolm"
32,"man in emerald green cloak"
68,"Man with violet top hat"
24,"Molly Weasley"
91,"Motorcyclists"
83,"Mr Paws"
77,"Mrs Next Door"
78,"Mrs Next Door's Daughter"
65,"Mrs. Figg"
52,"Mrs. Norris"
27,"Neighbours (of the Dursleys)"
20,"Neville Longbottom"
13,"Nicolas Flamel"
55,"Norbert"
36,"Owls"
51,"Peeves"
29,"People in cloaks"
60,"People in the Wizarding World"
62,"People Voldemort has killed"
18,"Percy Weasley"
14,"Perenelle Flamel"
5,"Petunia Dursley"
66,"Piers Polkiss"
87,"Piers Polkiss' Mother"
39,"Professor Binns"
31,"Professor Flitwick"
19,"Professor McGonagall"
56,"Professor Sprout"
7,"Quirrel"
94,"Reptile House Keeper"
15,"Ronald Weasley"
64,"Rubeus Hagrid"
8,"Severus Snape"
63,"Sirius Black"
82,"Snowy"
40,"Students in Professor Binns class"
79,"Ted (News Reader)"
53,"The Bloody Baron"
90,"the council (24)"
46,"The Fat Lady"
43,"The Golden Trio"
57,"The Muggles"
41,"The Weasley Twins"
81,"Tibbies"
34,"Tiny old man"
50,"Trevor"
84,"Tufty"
6,"Vernon Dursley"
76,"Vernon Dursley's Secretary"
89,"Vernon's coworkers"
38,"Viewers"
11,"Voldemort"
69,"Woman dressed in all green"
86,"Yvonne"
95,"Zoo Director"
