character_id,character_name,character_novel_id_fk
0,_CHOOSE A CHARACTER,0
5,E Leo,5
6,E Bruno,5
7,E Chinese Takeout Boy,5
8,E Athletes Foot Clerk,5
12,R Leo Gursky,7
13,R Alma Singer,7
14,E Alma Singer,5
15,R Bird,7
16,E Bird,5
17,R Zvi Litvinoff,7
18,E Zvi Litvinoff,5
19,R Bruno,7
20,R Chinese delivery boy,7
21,R Athlete's Foot clerk,7
22,R Woman (answered Leo about modelling),7
23,R Mrs. Fried,7
24,R Leo's second cousin,7
25,R Leo's second cousin's wife,7
26,R Doctor (married to Leo's second cousin's wif,7
27,R Bruno's wife,7
28,R Doctor (pumped Bruno's stomach),7
29,R Kipnis the butcher,7
30,R Grodzenski the tailor,7
31,R Fishl Shapiro,7
32,R Beyla Asch,7
33,R Alma Mereminski,7
34,R Josef Gursky,7
35,R Leo's mother,7
36,R Kid (Who smells shit?),7
37,R Man (kicked a dog),7
38,R Leo's father,7
39,R Alma Mereminski's father,7
40,R Someone (heard they were killing Jews in Poland),7
41,R Mordecai Moritz,7
42,R Alma Mereminski's midwife,7
43,R Isaac Moritz,7
44,E Woman (Art Teacher),5
45,E Mrs. Fried,5
46,E Leo's Second Cousin,5
47,E Leo's Second Cousin's Wife,5
48,E Doctor who pumped Bruno’s stomach,5
49,E Bruno's Wife,5
50,E Kipnis the Butcher,5
51,E Grodzenski the Tailor,5
52,E Fishl Shapiro,5
53,E Beyla Asch,5
54,E Alma Mereminski/Moritz,5
55,E Leo’s mother,5
56,E Leo’s younger brother (Joseph?),5
57,E Man kicking a dog,5
58,E Leo’s father,5
59,E Alma’s Father,5
60,E Isaac Moritz,5
61,E Mordecai Moritz,5
62,E Bernard Moritz,5
63,E Someone who heard they were killing Jews in Pola,5
64,E Alma's Midwife,5
65,E The Doctor who married  Leo's second cousin's wi,5
66,E Grocer,5
67,E Children in the playground across the street,5
68,E Leo's aunt(s),5
69,E Art Students (Drawing Class),5
70,E Man who is locked out of his house,5
71,E Limousine Driver,5
72,E Wedding Party,5
73,E Woman in line to meet Isaac,5
74,E Security Guard,5
75,E The Queen,5
76,R Art teacher,7
77,R Man (locked out of his house),7
78,R Limousine driver,7
79,R Woman (in line at the book signing),7
80,R The Queen,7
81,R Charlotte Singer,7
82,R David Singer,7
83,R Emanuel Ringelblum,7
84,R Emanuel Feuermann,7
85,R Isaac Emmanuilovich Babel,7
86,R Charlotte's Uncle Chaim,7
87,R Mr. Goldstein,7
88,R God,7
89,R Photographer (met Charlotte on the train),7
90,R Charlotte Singer's mother,7
91,R Charlotte's tutor,7
92,R Nehemia,7
93,R Bodleian Library clerk,7
94,R Bernard Moritz,7
95,R Art students,7
96,R Leo's aunt(s),7
97,R Security guard (at the book signing),7
98,R Misha Shklovsky,7
99,R Old man (sits in garbage),7
100,R Uncle Julian,7
101,R Aunt Frances,7
102,R Hardware store employee,7
103,R Alberto Giacometti,7
104,R Lyle,7
105,R Henry Lavender,7
106,R Dr. Frank Tucci,7
107,R Herman Cooper,7
108,R Sharon Newman,7
109,R Tenzing Norgay,7
110,R Sir Edmund Hillary,7
111,R Antoine de Saint-Exupery,7
112,R German fighter (shot down Saint-Ex),7
113,R Daniel Eldridge,7
114,R Secretary (Eldridge's office),7
115,R Misha's cousin,7
116,R Nicanor Parra,7
117,R Jacob Marcus,7
118,R Eve,7
119,R John Travolta,7
120,E Kid who yells Who smells shit?,5
121,E Angel,5
122,E God,5
123,E Mr. Grossmark,5
124,E Man under the bridge,5
125,R Rosa Litvinoff,7
126,R Rosa's friend(s),7
127,R Rosa's parent(s),7
128,R Garcia Sturmer,7
129,R Boy(s) (at the university),7
130,R Rosa's father,7
131,R Boris,7
132,R Miriam Litvinoff,7
133,R Nazi officer (shot Miriam),7
134,R Editor(s) (receiving The History of Love),7
135,R Department store manager,7
136,R Young couple (rowing),7
137,R Young girl (young couple),7
138,R Policemen (talking to Rosa),7
139,R Someone (passing Zvi on the street),7
140,R Postman (in Santiago),7
141,R Publisher (returning The History of Love),7
142,R Bookstore owner (in Buenos Aires),7
143,R Minor actress,7
144,R Best-selling author,7
145,R Jorge Luis Borges,7
146,R Cervantes,7
147,R Goethe,7
148,R Shakespeare,7
149,R Visitor(s) (of Borges),7
150,R Maria Kodama,7
151,E Charlotte Singer,5
152,E Emanuel Ringelblum,5
153,E Emanuel Feuermann,5
154,E Isaac Babel,5
155,E Charlotte's Uncle Chaim,5
156,E David Singer,5
157,E Mr. Goldstein,5
158,E Blind Photographer,5
159,E Tutor (at Oxford),5
160,E Nehemia,5
161,E Library Clerk (at Oxford),5
162,E Charlotte's Mother,5
163,E Charlotte's Father,5
164,E Misha Shklovsky,5
165,E Old Man,5
166,E Uncle Julian,5
167,E Aunt Frances,5
168,E Alberto Giacometti,5
169,R Dudu Fisher,7
170,R Girl (with blue hair),7
171,R Boy (in a soccer uniform),7
172,R Boy's mother (soccer uniform),7
173,R Man (finishing his newspaper),7
174,R Phillip Roth,7
175,R Leon Wieseltier,7
176,R Morton Levy,7
177,R Starbucks employee (eyebrow ring),7
178,R Starbucks employee (painted nails),7
179,R Giant shvartzer,7
180,R Perfume ladies,7
181,R Tailor (with a tape measure),7
182,"R Women (with soft, white skin)",7
183,R Leo's grandfather,7
184,R Leo's great grandfather,7
185,R Woman (on the bus),7
186,R Man (in an orange jacket),7
187,R Robert,7
188,R Woman (next to the man in the bow tie),7
189,R Mr. Simchik,7
190,R Nurse (for Alma Mereminski),7
191,R Jackie Mason,7
192,R Young woman (in the limousine),7
193,R Two others (in the limousine),7
194,R Bernard's nephew,7
195,R Alma Mereminski's sister,7
196,R David's brother,7
197,R Nurse (for David Singer),7
198,R Old man (beside David Singer),7
199,R Tatiana,7
200,R The Czar,7
201,R David Singer's grandparents,7
202,R Grandma Sasha,7
203,R Zeyde,7
204,R Grandpa Simon,7
205,R Bubbe,7
206,R Women (heavy Russians),7
207,R Rabbi (in Jerusalem),7
208,R Misha's grandfather,7
209,R Misha's grandmother,7
210,R Svetlana Shkolvsky,7
211,R Lev,7
212,R Old man (at Misha's Bar Mitzvah),7
213,R Misha's father,7
214,R Kid (The Moshiach),7
215,R Jacob Marcus' gardener,7
216,R Jacob Marcus' neighbour's child,7
217,R Jacob Marcus' friend,7
218,R Jacob Marcus' brother,7
219,R Greg Feldman,7
220,R Misha's mother,7
221,E Lyle (English Editor),5
222,E Henry Lavender,5
223,E Frank Tucci,5
224,E Herman Cooper,5
225,E Sharon Newman,5
226,E Tenzing Norgay,5
227,E Sir Edmund Hillary,5
228,E Antoine de Saint-Exupery,5
229,E Daniel Eldridge,5
230,E Eldridge's Secretary,5
231,E Misha's Cousin (Lev's Sister),5
232,E Charlotte's Publisher,5
233,E Jacob Marcus,5
234,E Nicanor Parra,5
235,E Rosa,5
236,E Gracia Strumer,5
237,E Rosa's Father,5
238,E Boris (Zvi's nephew),5
239,E Miriam (Zvi's sister),5
240,E Boris' Children,5
241,E Girl (who unbuttoned her shirt behind the reeds ,5
242,E Editor (who met with the Litvinoffs),5
243,E Postman (who brings Litvinoff a package),5
244,E Publisher (of Litvinoff's The History of Love),5
245,E First Bookstore Owner (In Buenos Aires),5
246,E Jorge Luis Borges,5
247,E Borges' Visitors,5
248,E Maria Kodama,5
249,E Cervantes,5
250,E Goethe,5
251,E Shakespeare,5
252,E Second Bookstore Owner (In Buenos Aires),5
253,E Man reading the newspaper (in Starbucks),5
254,E Girl with Blue Hair (in Starbucks),5
255,E Little Boy in a Soccer Uniform (in Starbucks),5
256,E Mother of the Boy in the Soccer Uniform (in Star,5
257,E Dudu Fisher,5
258,E Philip Roth,5
259,E Leon Wieseltier,5
260,E Morton Levy,5
261,E Starbucks Employee (with a ring in his nose),5
262,E Starbucks Employee (with painted nails),5
263,E Giant schvartzer (Suit Salesman),5
264,E Tailor (at Bloomingdale's),5
265,E Leo's Grandfather,5
266,E Leo's Great Grandfather,5
267,E Woman (on the bus),5
268,E Man in an Orange Jacket and Snakeskin Pants,5
269,E Man in a Yellow Bow Tie and a White Jacket,5
270,E Woman (at Isaac's Funeral),5
271,E Mr. Simchik,5
272,E Nurse (at the hospital with Alma M),5
273,E Jackie Mason,5
274,E Robert ( Isaac's editor),5
275,E Antonio Alberto de Biedma,5
276,R Angel (lives on Ludlow Street),7
277,R Mr. Grossmark,7
278,R Man (under the bridge),7
279,R Ignacio da Silva,7
281,R Antonio Alberto de Biedma,7
282,R Woman (to whom Jacob has just made love),7
283,R Marx,7
284,R Malevich,7
285,R Hitler,7
286,R Zvi's editor,7
287,R Zvi's colleague(s),7
288,R Woman (at the boarding house),7
289,R Franz Kafka,7
290,R Tolstoy,7
291,R Osip Mandelstam,7
292,R Mr. Tong,7
293,R Shlomo Wasserman,7
294,R Duddelsach,7
295,R Rodriguez,7
296,R Feingold,7
297,R Vladimir Horowitz,7
298,R Molly Bloom,7
299,R Girl(s) (shouting),7
300,R Librarian,7
301,"R Frankie, Toothless Girl Wonder",7
302,R Leo's uncle,7
303,R Leo's cousin(s),7
304,R Stalin,7
