narrContainer_id,narrContainer_title,narrContainer_novel_id_fk,narrContainer_level_id_fk,narrContainer_parent_id,narrContainer_startPage,narrContainer_startPhrase,narrContainer_endPage,narrContainer_endPhrase,narrContainer_narrator_id_fk,narrContainer_protagonist_id_fk,narrContainer_narratee_id_fk,narrContainer_embeddedContainerType_id_fk,narrContainer_previouslyPublished_id_fk
0,_CHOOSE CONTAINER,0,0,0,0,,0,,0,0,0,0,2
1,E THE LAST WORDS ON EARTH,5,1,0,3,,34,,6,0,0,0,2
20,R THE LAST WORDS ON EARTH,7,1,0,3,,34,,13,1,1,0,2
21,R MY MOTHER'S SADNESS,7,1,0,35,,64,,16,1,1,0,2
22,E MY MOTHER'S SADNESS,5,1,0,35,,64,,12,1,1,0,2
23,E FORGIVE ME,5,1,0,65,,74,,15,1,1,0,2
24,E A JOY FOREVER,5,1,0,75,,92,,6,1,1,0,2
25,E MY FATHER'S TENT,5,1,0,93,,109,,12,1,1,0,2
26,R FORGIVE ME,7,1,0,65,,74,,18,1,1,0,2
27,E THE TROUBLE WITH THINKING,5,1,0,110,,118,,15,1,1,0,2
28,R A JOY FOREVER,7,1,0,75,,92,,13,1,1,0,2
29,E UNTIL THE WRITING HAND HURTS,5,1,0,119,,134,,6,1,1,0,2
30,R MY FATHER'S TENT,7,1,0,93,,109,,16,1,1,0,2
31,E FLOOD,5,1,0,135,,152,,12,1,1,0,2
32,R THE TROUBLE WITH THINKING,7,1,0,110,,118,,18,1,1,0,2
33,E HERE WE ARE TOGETHER,5,1,0,153,,159,,15,1,1,0,2
34,E DIE LAUGHING,5,1,0,160,,169,,6,1,1,0,2
35,R UNTIL THE WRITING HAND HURTS,7,1,0,119,,134,,13,1,1,0,2
36,"E IF NOT, NOT",5,1,0,170,,182,,12,1,1,0,2
37,R FLOOD,7,1,0,135,,152,,16,1,1,0,2
38,E THE LAST PAGE,5,1,0,183,,191,,15,1,1,0,2
39,E MY LIFE UNDERWATER,5,1,0,192,,202,,12,1,1,0,2
40,R HERE WE ARE TOGETHER,7,1,0,153,,159,,18,1,1,0,2
41,E ONE NICE THING,5,1,0,203,,207,,14,1,1,0,2
42,R DIE LAUGHING,7,1,0,160,,169,,13,1,1,0,2
43,E THE LAST TIME I SAW YOU,5,1,0,208,,212,,6,1,1,0,2
44,"R IF NOT, NOT",7,1,0,170,,182,,16,1,1,0,2
45,E WOULD A LAMED VOVNIK DO THIS?,5,1,0,213,,218,,14,1,1,0,2
46,R THE LAST PAGE,7,1,0,183,,191,,18,1,1,0,2
47,R MY LIFE UNDERWATER,7,1,0,192,,202,,16,1,1,0,2
48,E A + L,5,1,0,219,,252,,0,0,0,0,2
49,R ONE NICE THING,7,1,0,203,,207,,17,1,1,0,2
50,R THE LAST TIME I SAW YOU,7,1,0,208,,212,,13,1,1,0,2
51,R WOULD A LAMED VOVNIK DO THIS?,7,1,0,213,,218,,17,1,1,0,2
52,E THE DEATH OF LEOPOLD GURSKY,5,1,0,255,,255,,6,1,1,0,2
53,R A + L,7,1,0,219,,252,,0,0,0,0,2
54,R THE DEATH OF LEOPOLD GURSKY,7,1,0,255,,255,,13,1,1,0,2
