menEx_id,menEx_menOrEx_id_fk,menEx_narrator_id_fk,menEx_narrContainer_id_fk,menEx_startPage,menEx_endPage,menEx_character1_id_fk,menEx_character2_id_fk,menEx_isReciprocal_id_fk
0,0,0,0,0,0,0,0,0
2,2,6,1,3,3,5,7,0
3,2,6,1,3,3,5,7,0
4,2,6,1,4,4,5,8,0
5,2,13,95,3,3,12,20,0
6,2,13,95,4,4,12,21,0
7,2,13,95,4,4,12,22,0
8,2,13,95,4,4,12,19,0
9,2,13,95,5,5,12,19,0
10,2,13,95,7,7,12,28,0
11,2,13,95,6,6,12,19,0
12,2,13,95,6,6,12,15,0
13,2,13,95,7,7,12,19,0
14,2,13,95,8,8,12,33,0
15,2,13,95,8,8,12,35,0
16,2,13,95,9,9,12,19,0
17,2,13,95,10,10,12,36,0
18,2,13,95,11,11,12,33,0
19,2,13,95,12,12,12,33,0
20,2,13,95,12,12,12,24,0
21,2,13,95,13,13,33,40,0
22,2,13,95,13,13,33,41,0
23,2,13,95,13,13,41,42,0
24,2,13,95,13,13,12,33,0
25,2,6,1,3,3,5,7,0
26,2,6,1,4,4,5,8,0
27,2,6,1,4,4,5,44,0
28,2,6,1,4,4,5,6,0
29,2,6,1,5,5,5,6,0
30,2,6,1,6,6,5,6,0
31,2,6,1,7,7,5,6,0
32,2,6,1,8,8,5,54,0
33,2,6,1,8,8,5,55,0
34,2,6,1,9,9,5,6,0
35,2,6,1,11,11,5,54,0
36,2,6,1,12,12,5,46,0
37,2,6,1,13,13,5,54,0
38,2,6,1,13,13,61,64,0
39,2,6,1,13,13,54,63,0
40,2,6,1,13,13,54,61,0
41,2,6,1,5,5,6,66,0
42,2,6,458,15,16,5,14,0
43,2,6,458,16,16,5,44,0
44,2,6,458,17,17,44,5,0
45,2,6,458,18,18,5,44,0
46,2,6,458,20,20,70,5,0
47,2,6,458,21,21,71,5,0
48,2,6,458,22,22,5,71,0
49,2,6,458,22,22,5,70,0
50,2,6,458,23,23,5,70,0
51,2,6,458,23,23,5,6,0
52,2,6,458,25,25,60,5,0
53,2,6,458,25,26,5,70,0
54,2,13,98,15,15,12,13,0
55,2,13,98,16,16,12,13,0
56,2,13,98,16,16,12,76,0
57,2,13,98,17,17,12,76,0
58,2,13,98,18,18,12,76,0
59,2,13,98,18,18,12,19,0
60,2,13,98,19,19,12,19,0
61,2,13,98,20,20,12,77,0
62,2,13,98,21,21,12,78,0
63,2,13,98,22,22,12,78,0
64,2,13,98,22,22,12,77,0
65,2,13,98,23,23,12,77,0
66,2,13,98,23,23,12,19,0
67,2,13,98,25,25,12,43,0
68,2,13,98,25,25,12,79,0
69,2,13,98,25,25,12,77,0
70,2,13,98,26,26,12,77,0
71,2,16,101,36,36,13,15,0
72,2,16,103,37,37,87,15,0
73,2,16,105,37,37,81,82,0
74,2,16,105,38,38,81,82,0
