id,Name
2552,"""an officer in Meryton"""
2564,"""freinds in Lambton"""
2540,"""incumbent of the living"""
62,"""Lambton friends"""
2538,"""other young women in the country"""
2555,"""the poor"""
2550,"""two men servants"""
,
2546,Archbishop (PP)
1772,Bennet' Butler
82,Butcher
73,Butler (at Longbourn)
1719,Captain Carter
54,Chamberlayne
2554,Chambermaid
1715,Charlotte Lucas
92,Coachman
1767,Colonel Fitzwilliam
1748,Colonel Forster
59,Colonel Millar
60,Colonel Millar's regiment
2548,Dawson (Lady Catherine' servant)
2561,Denny
903,Elizabeth Bennet
2510,Elizabeth' friends
68,Elizabeth' maid
68,Elizabeth's maid
2527,Families (that Mrs. Bennet claims to dine with)
32,Gardiner children
76,General ---
2528,Gentleman (who wrote poetry about Jane)
64,Gentlemen (at Pemberley)
2509,Gentlemen (at the ball)
52,Harriet Harrington
2532,Hill
80,Housekeeper (at Netherfield)
63,Housekeeper (at Pemberley)
904,Jane Bennet
58,Jane's friends
67,John
2562,John (servant to the Gardiners)
2549,John (The Collins' servant)
907,Kitty Bennet
2508,Ladies (at the ball)
2544,Lady (who superintends Miss Darcy' education)
2535,Lady (who superintends Miss De Bourgh' education)
2545,Lady Anne Darcy
1752,Lady Catherine de Bourgh
86,Lady Catherine de Bourgh's waiting-woman
902,Lady Lucas
37,Lady Metcalfe
22,Lucas brothers
2515,Lucases (who dance with Kitty and Lydia)
905,Lydia Bennet
69,Lydia' friends
69,Lydia's friends
2543,"Man (who was given ""Mr. Wickham' inheritance"")"
1759,Maria Lucas
906,Mary Bennet
46,Milliner (Kitty and Lydia visit)
1713,Miss Bingley
1747,Miss Darcy
33,Miss De Bourgh
33,Miss de Bourgh
2529,Miss Grantley
1758,Miss King
89,Miss King's Grandfather
49,Miss King's uncle
57,Miss Lucas' sisters
38,Miss Pope
2520,Miss Watson
896,Mr. Bennet
896,Mr. Bennet
899,Mr. Bingley
2506,Mr. Bingley' cousin
1714,Mr. Bingley' Father
2507,Mr. Bingley' guests (for the ball)
2524,Mr. Bingley' Housekeeper
2505,Mr. Bingley' other sisters
39,Mr. Bingley's friends
1751,Mr. Collins
40,Mr. Collins' friends
2533,Mr. Collins’ Father
1712,Mr. Darcy
1755,Mr. Darcy' Father
2558,Mr. Darcy' Gardener
2530,Mr. Darcy' Great Uncle
2557,Mr. Darcy' servants
2559,Mr. Darcy' Steward
2556,Mr. Darcy' tenants
29,Mr. Darcy's father
87,Mr. Darcy's friends
44,Mr. Darcy's mother
1754,Mr. Denny
1756,Mr. Gardiner
2551,Mr. Gardiner' servant
79,Mr. Gardiner's friends
75,Mr. Goulding
1710,Mr. Hurst
1745,Mr. Jones
2537,Mr. Jones’ shop boy
900,Mr. Morris
1718,Mr. Philips
2512,Mr. Robinson
78,Mr. Stone
1750,Mr. Wickham
2539,Mr. Wickham' Father
77,Mr. Wickham's creditors
42,Mr. Wickham's father
43,Mr. Wickham's mother
1770,Mrs. Annesley
897,Mrs. Bennet
2516,Mrs. Bennet' Father
1749,Mrs. Forster
1757,Mrs. Gardiner
2560,"Mrs. Gardiner' ""former acuaintance"""
61,Mrs. Gardiner's aquaintance
1771,Mrs. Hill
1711,Mrs. Hurst
1765,Mrs. Jenkinson
36,Mrs. Jenkinson's four nieces
898,Mrs. Long
2504,Mrs. Long' nieces
84,Mrs. Long's nieces
81,Mrs. Nicholls
1717,Mrs. Philips
2542,Mrs. Philips’ neighbours
1769,Mrs. Reynolds
1768,Mrs. Younge
88,Neighbours (in Meryton)
2531,Nicholls
2547,Officer (who dances with Elizabeth)
2553,Officer (who walks the Bennets back to Longbourn)
2523,Officer' wife (whose house Kitty and Lydia go to)
28,Officers (at Meryton)
2518,Officers (living in Meryton)
2514,Officers (who dance with Kitty and Lydia)
53,Pen Harrington
2525,Physician (from town)
56,Pratt
2511,Previous Owner of  the Netherfield Property
2519,Red-coat Officer (that Mrs. Bennet liked)
2536,Richard
71,Sally
85,Sarah
47,Sentinel (observed by Kitty and Lydia)
83,Servant (at Longbourn)
2522,Servant (from Netherfield)
2521,Servant (to the Bennets)
66,Servants (at Pemberley)
2534,Sir Lewis de Bourgh
901,Sir William
19,Sir William Lucas
90,The Miss Webbs
91,The Miss Webbs' Father
2526,Two Elegant Ladies (who wait on Miss Bingley)
48,Waiter (at the inn)
1716,Young Lucas
