source,target,Character 1,Character 2,type,weight,startPage,category
73.0,903.0,Butler (at Longbourn),Elizabeth Bennet,Directed,1,285,Exchange
73.0,904.0,Butler (at Longbourn),Jane Bennet,Directed,1,285,Exchange
54.0,907.0,Chamberlayne,Kitty Bennet,Directed,1,213,Exchange
54.0,905.0,Chamberlayne,Lydia Bennet,Directed,1,213,Exchange
1715.0,903.0,Charlotte Lucas,Elizabeth Bennet,Directed,1,143,Exchange
1715.0,903.0,Charlotte Lucas,Elizabeth Bennet,Directed,1,144,Exchange
1715.0,903.0,Charlotte Lucas,Elizabeth Bennet,Directed,1,153,Exchange
1715.0,903.0,Charlotte Lucas,Elizabeth Bennet,Directed,1,154,Exchange
1715.0,903.0,Charlotte Lucas,Elizabeth Bennet,Directed,1,155,Exchange
1715.0,903.0,Charlotte Lucas,Elizabeth Bennet,Directed,1,156,Exchange
1715.0,903.0,Charlotte Lucas,Elizabeth Bennet,Directed,1,175,Exchange
1715.0,903.0,Charlotte Lucas,Elizabeth Bennet,Directed,1,176,Exchange
1715.0,1752.0,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,158,Exchange
1715.0,1752.0,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,159,Exchange
1715.0,1752.0,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,160,Exchange
1715.0,1752.0,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,161,Exchange
1715.0,1752.0,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,162,Exchange
1715.0,1752.0,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,163,Exchange
1715.0,1752.0,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,340,Exchange
1715.0,1759.0,Charlotte Lucas,Maria Lucas,Directed,1,154,Exchange
1715.0,1759.0,Charlotte Lucas,Maria Lucas,Directed,1,156,Exchange
1715.0,33.0,Charlotte Lucas,Miss de Bourgh,Directed,1,156,Exchange
1715.0,1751.0,Charlotte Lucas,Mr. Collins,Directed,1,155,Exchange
1715.0,1751.0,Charlotte Lucas,Mr. Collins,Directed,1,162,Exchange
1715.0,1751.0,Charlotte Lucas,Mr. Collins,Directed,1,183,Exchange
1715.0,1751.0,Charlotte Lucas,Mr. Collins,Directed,1,281,Exchange
1715.0,1712.0,Charlotte Lucas,Mr. Darcy,Directed,1,175,Exchange
1715.0,1712.0,Charlotte Lucas,Mr. Darcy,Directed,1,176,Exchange
1715.0,897.0,Charlotte Lucas,Mrs. Bennet,Directed,1,143,Exchange
1715.0,1765.0,Charlotte Lucas,Mrs. Jenkinson,Directed,1,156,Exchange
1715.0,19.0,Charlotte Lucas,Sir William Lucas,Directed,1,162,Exchange
1767.0,903.0,Colonel Fitzwilliam,Elizabeth Bennet,Directed,1,178,Exchange
1767.0,903.0,Colonel Fitzwilliam,Elizabeth Bennet,Directed,1,179,Exchange
1767.0,903.0,Colonel Fitzwilliam,Elizabeth Bennet,Directed,1,180,Exchange
1767.0,903.0,Colonel Fitzwilliam,Elizabeth Bennet,Directed,1,181,Exchange
1767.0,903.0,Colonel Fitzwilliam,Elizabeth Bennet,Directed,1,182,Exchange
1767.0,903.0,Colonel Fitzwilliam,Elizabeth Bennet,Directed,1,200,Exchange
1748.0,2561.0,Colonel Forster,Denny,Directed,1,275,Exchange
1748.0,904.0,Colonel Forster,Jane Bennet,Directed,1,260,Exchange
1748.0,904.0,Colonel Forster,Jane Bennet,Directed,1,261,Exchange
1748.0,904.0,Colonel Forster,Jane Bennet,Directed,1,262,Exchange
1748.0,904.0,Colonel Forster,Jane Bennet,Directed,1,275,Exchange
1748.0,904.0,Colonel Forster,Jane Bennet,Directed,1,276,Exchange
1748.0,907.0,Colonel Forster,Kitty Bennet,Directed,1,213,Exchange
1748.0,905.0,Colonel Forster,Lydia Bennet,Directed,1,213,Exchange
1748.0,1756.0,Colonel Forster,Mr. Gardiner,Directed,1,280,Exchange
1748.0,1756.0,Colonel Forster,Mr. Gardiner,Directed,1,282,Exchange
1748.0,1756.0,Colonel Forster,Mr. Gardiner,Directed,1,296,Exchange
2561.0,1748.0,Denny,Colonel Forster,Directed,1,275,Exchange
903.0,73.0,Elizabeth Bennet,Butler (at Longbourn),Directed,1,285,Exchange
903.0,1715.0,Elizabeth Bennet,Charlotte Lucas,Directed,1,143,Exchange
903.0,1715.0,Elizabeth Bennet,Charlotte Lucas,Directed,1,144,Exchange
903.0,1715.0,Elizabeth Bennet,Charlotte Lucas,Directed,1,153,Exchange
903.0,1715.0,Elizabeth Bennet,Charlotte Lucas,Directed,1,154,Exchange
903.0,1715.0,Elizabeth Bennet,Charlotte Lucas,Directed,1,155,Exchange
903.0,1715.0,Elizabeth Bennet,Charlotte Lucas,Directed,1,156,Exchange
903.0,1715.0,Elizabeth Bennet,Charlotte Lucas,Directed,1,175,Exchange
903.0,1715.0,Elizabeth Bennet,Charlotte Lucas,Directed,1,176,Exchange
903.0,1767.0,Elizabeth Bennet,Colonel Fitzwilliam,Directed,1,178,Exchange
903.0,1767.0,Elizabeth Bennet,Colonel Fitzwilliam,Directed,1,179,Exchange
903.0,1767.0,Elizabeth Bennet,Colonel Fitzwilliam,Directed,1,180,Exchange
903.0,1767.0,Elizabeth Bennet,Colonel Fitzwilliam,Directed,1,181,Exchange
903.0,1767.0,Elizabeth Bennet,Colonel Fitzwilliam,Directed,1,182,Exchange
903.0,1767.0,Elizabeth Bennet,Colonel Fitzwilliam,Directed,1,200,Exchange
903.0,903.0,Elizabeth Bennet,Elizabeth Bennet,Directed,1,231,Exchange
903.0,903.0,Elizabeth Bennet,Elizabeth Bennet,Directed,1,318,Exchange
903.0,903.0,Elizabeth Bennet,Elizabeth Bennet,Directed,1,319,Exchange
903.0,903.0,Elizabeth Bennet,Elizabeth Bennet,Directed,1,320,Exchange
903.0,903.0,Elizabeth Bennet,Elizabeth Bennet,Directed,1,322,Exchange
903.0,903.0,Elizabeth Bennet,Elizabeth Bennet,Directed,1,328,Exchange
903.0,903.0,Elizabeth Bennet,Elizabeth Bennet,Directed,1,334,Exchange
903.0,903.0,Elizabeth Bennet,Elizabeth Bennet,Directed,1,341,Exchange
903.0,63.0,Elizabeth Bennet,Housekeeper (at Pemberley),Directed,1,310,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,131,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,132,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,133,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,134,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,135,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,144,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,145,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,146,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,150,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,173,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,178,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,216,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,217,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,218,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,260,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,261,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,263,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,264,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,266,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,267,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,272,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,275,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,276,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,277,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,278,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,286,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,287,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,288,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,289,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,315,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,320,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,330,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,331,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,341,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,352,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,353,Exchange
903.0,904.0,Elizabeth Bennet,Jane Bennet,Directed,1,354,Exchange
903.0,67.0,Elizabeth Bennet,John,Directed,1,263,Exchange
903.0,907.0,Elizabeth Bennet,Kitty Bennet,Directed,1,211,Exchange
903.0,907.0,Elizabeth Bennet,Kitty Bennet,Directed,1,212,Exchange
903.0,907.0,Elizabeth Bennet,Kitty Bennet,Directed,1,213,Exchange
903.0,907.0,Elizabeth Bennet,Kitty Bennet,Directed,1,221,Exchange
903.0,907.0,Elizabeth Bennet,Kitty Bennet,Directed,1,222,Exchange
903.0,907.0,Elizabeth Bennet,Kitty Bennet,Directed,1,341,Exchange
903.0,1752.0,Elizabeth Bennet,Lady Catherine de Bourgh,Directed,1,158,Exchange
903.0,1752.0,Elizabeth Bennet,Lady Catherine de Bourgh,Directed,1,159,Exchange
903.0,1752.0,Elizabeth Bennet,Lady Catherine de Bourgh,Directed,1,160,Exchange
903.0,1752.0,Elizabeth Bennet,Lady Catherine de Bourgh,Directed,1,161,Exchange
903.0,1752.0,Elizabeth Bennet,Lady Catherine de Bourgh,Directed,1,162,Exchange
903.0,1752.0,Elizabeth Bennet,Lady Catherine de Bourgh,Directed,1,332,Exchange
903.0,1752.0,Elizabeth Bennet,Lady Catherine de Bourgh,Directed,1,333,Exchange
903.0,1752.0,Elizabeth Bennet,Lady Catherine de Bourgh,Directed,1,334,Exchange
903.0,1752.0,Elizabeth Bennet,Lady Catherine de Bourgh,Directed,1,335,Exchange
903.0,1752.0,Elizabeth Bennet,Lady Catherine de Bourgh,Directed,1,336,Exchange
903.0,1752.0,Elizabeth Bennet,Lady Catherine de Bourgh,Directed,1,337,Exchange
903.0,1752.0,Elizabeth Bennet,Lady Catherine de Bourgh,Directed,1,338,Exchange
903.0,1752.0,Elizabeth Bennet,Lady Catherine de Bourgh,Directed,1,339,Exchange
903.0,1752.0,Elizabeth Bennet,Lady Catherine de Bourgh,Directed,1,347,Exchange
903.0,905.0,Elizabeth Bennet,Lydia Bennet,Directed,1,211,Exchange
903.0,905.0,Elizabeth Bennet,Lydia Bennet,Directed,1,212,Exchange
903.0,905.0,Elizabeth Bennet,Lydia Bennet,Directed,1,213,Exchange
903.0,905.0,Elizabeth Bennet,Lydia Bennet,Directed,1,221,Exchange
903.0,905.0,Elizabeth Bennet,Lydia Bennet,Directed,1,222,Exchange
903.0,905.0,Elizabeth Bennet,Lydia Bennet,Directed,1,227,Exchange
903.0,905.0,Elizabeth Bennet,Lydia Bennet,Directed,1,298,Exchange
903.0,905.0,Elizabeth Bennet,Lydia Bennet,Directed,1,299,Exchange
903.0,905.0,Elizabeth Bennet,Lydia Bennet,Directed,1,300,Exchange
903.0,905.0,Elizabeth Bennet,Lydia Bennet,Directed,1,301,Exchange
903.0,905.0,Elizabeth Bennet,Lydia Bennet,Directed,1,302,Exchange
903.0,905.0,Elizabeth Bennet,Lydia Bennet,Directed,1,303,Exchange
903.0,905.0,Elizabeth Bennet,Lydia Bennet,Directed,1,365,Exchange
903.0,1759.0,Elizabeth Bennet,Maria Lucas,Directed,1,150,Exchange
903.0,1759.0,Elizabeth Bennet,Maria Lucas,Directed,1,156,Exchange
903.0,1759.0,Elizabeth Bennet,Maria Lucas,Directed,1,210,Exchange
903.0,906.0,Elizabeth Bennet,Mary Bennet,Directed,1,274,Exchange
903.0,906.0,Elizabeth Bennet,Mary Bennet,Directed,1,275,Exchange
903.0,906.0,Elizabeth Bennet,Mary Bennet,Directed,1,341,Exchange
903.0,1713.0,Elizabeth Bennet,Miss Bingley,Directed,1,255,Exchange
903.0,1713.0,Elizabeth Bennet,Miss Bingley,Directed,1,256,Exchange
903.0,1713.0,Elizabeth Bennet,Miss Bingley,Directed,1,257,Exchange
903.0,1713.0,Elizabeth Bennet,Miss Bingley,Directed,1,258,Exchange
903.0,1747.0,Elizabeth Bennet,Miss Darcy,Directed,1,248,Exchange
903.0,1747.0,Elizabeth Bennet,Miss Darcy,Directed,1,249,Exchange
903.0,1747.0,Elizabeth Bennet,Miss Darcy,Directed,1,255,Exchange
903.0,1747.0,Elizabeth Bennet,Miss Darcy,Directed,1,256,Exchange
903.0,1747.0,Elizabeth Bennet,Miss Darcy,Directed,1,257,Exchange
903.0,896.0,Elizabeth Bennet,Mr. Bennet,Directed,1,135,Exchange
903.0,896.0,Elizabeth Bennet,Mr. Bennet,Directed,1,149,Exchange
903.0,896.0,Elizabeth Bennet,Mr. Bennet,Directed,1,213,Exchange
903.0,896.0,Elizabeth Bennet,Mr. Bennet,Directed,1,222,Exchange
903.0,896.0,Elizabeth Bennet,Mr. Bennet,Directed,1,223,Exchange
903.0,896.0,Elizabeth Bennet,Mr. Bennet,Directed,1,224,Exchange
903.0,896.0,Elizabeth Bennet,Mr. Bennet,Directed,1,284,Exchange
903.0,896.0,Elizabeth Bennet,Mr. Bennet,Directed,1,286,Exchange
903.0,896.0,Elizabeth Bennet,Mr. Bennet,Directed,1,287,Exchange
903.0,896.0,Elizabeth Bennet,Mr. Bennet,Directed,1,288,Exchange
903.0,896.0,Elizabeth Bennet,Mr. Bennet,Directed,1,289,Exchange
903.0,896.0,Elizabeth Bennet,Mr. Bennet,Directed,1,341,Exchange
903.0,896.0,Elizabeth Bennet,Mr. Bennet,Directed,1,342,Exchange
903.0,896.0,Elizabeth Bennet,Mr. Bennet,Directed,1,343,Exchange
903.0,896.0,Elizabeth Bennet,Mr. Bennet,Directed,1,344,Exchange
903.0,896.0,Elizabeth Bennet,Mr. Bennet,Directed,1,355,Exchange
903.0,896.0,Elizabeth Bennet,Mr. Bennet,Directed,1,356,Exchange
903.0,896.0,Elizabeth Bennet,Mr. Bennet,Directed,1,357,Exchange
903.0,896.0,Elizabeth Bennet,Mr. Bennet,Directed,1,358,Exchange
903.0,899.0,Elizabeth Bennet,Mr. Bingley,Directed,1,249,Exchange
903.0,899.0,Elizabeth Bennet,Mr. Bingley,Directed,1,250,Exchange
903.0,899.0,Elizabeth Bennet,Mr. Bingley,Directed,1,251,Exchange
903.0,899.0,Elizabeth Bennet,Mr. Bingley,Directed,1,318,Exchange
903.0,899.0,Elizabeth Bennet,Mr. Bingley,Directed,1,319,Exchange
903.0,899.0,Elizabeth Bennet,Mr. Bingley,Directed,1,328,Exchange
903.0,899.0,Elizabeth Bennet,Mr. Bingley,Directed,1,330,Exchange
903.0,899.0,Elizabeth Bennet,Mr. Bingley,Directed,1,345,Exchange
903.0,1751.0,Elizabeth Bennet,Mr. Collins,Directed,1,137,Exchange
903.0,1751.0,Elizabeth Bennet,Mr. Collins,Directed,1,153,Exchange
903.0,1751.0,Elizabeth Bennet,Mr. Collins,Directed,1,154,Exchange
903.0,1751.0,Elizabeth Bennet,Mr. Collins,Directed,1,155,Exchange
903.0,1751.0,Elizabeth Bennet,Mr. Collins,Directed,1,157,Exchange
903.0,1751.0,Elizabeth Bennet,Mr. Collins,Directed,1,158,Exchange
903.0,1751.0,Elizabeth Bennet,Mr. Collins,Directed,1,159,Exchange
903.0,1751.0,Elizabeth Bennet,Mr. Collins,Directed,1,163,Exchange
903.0,1751.0,Elizabeth Bennet,Mr. Collins,Directed,1,183,Exchange
903.0,1751.0,Elizabeth Bennet,Mr. Collins,Directed,1,208,Exchange
903.0,1751.0,Elizabeth Bennet,Mr. Collins,Directed,1,209,Exchange
903.0,1751.0,Elizabeth Bennet,Mr. Collins,Directed,1,210,Exchange
903.0,1712.0,Elizabeth Bennet,Mr. Darcy,Directed,1,173,Exchange
903.0,1712.0,Elizabeth Bennet,Mr. Darcy,Directed,1,174,Exchange
903.0,1712.0,Elizabeth Bennet,Mr. Darcy,Directed,1,175,Exchange
903.0,1712.0,Elizabeth Bennet,Mr. Darcy,Directed,1,178,Exchange
