source,target,type,weight,startPage,category,Character 1,Character 2
897.0,896.0,directed,1,5,Exchange,,
896.0,897.0,directed,1,5,Exchange,,
898.0,897.0,directed,1,5,Exchange,,
899.0,900.0,directed,1,5,Exchange,,
897.0,898.0,directed,1,5,Exchange,,
900.0,899.0,directed,1,5,Exchange,,
897.0,896.0,directed,1,6,Exchange,,
896.0,897.0,directed,1,6,Exchange,,
896.0,897.0,directed,1,7,Exchange,,
897.0,896.0,directed,1,7,Exchange,,
896.0,897.0,directed,1,8,Exchange,,
907.0,896.0,directed,1,8,Exchange,,
897.0,896.0,directed,1,8,Exchange,,
903.0,896.0,directed,1,8,Exchange,,
907.0,897.0,directed,1,8,Exchange,,
903.0,897.0,directed,1,8,Exchange,,
896.0,899.0,directed,1,8,Exchange,,
897.0,903.0,directed,1,8,Exchange,,
899.0,896.0,directed,1,8,Exchange,,
896.0,903.0,directed,1,8,Exchange,,
897.0,907.0,directed,1,8,Exchange,,
896.0,907.0,directed,1,8,Exchange,,
903.0,897.0,directed,1,9,Exchange,,
896.0,897.0,directed,1,9,Exchange,,
897.0,903.0,directed,1,9,Exchange,,
896.0,906.0,directed,1,9,Exchange,,
897.0,896.0,directed,1,9,Exchange,,
897.0,903.0,directed,1,10,Exchange,,
897.0,907.0,directed,1,10,Exchange,,
897.0,906.0,directed,1,10,Exchange,,
897.0,904.0,directed,1,10,Exchange,,
905.0,897.0,directed,1,10,Exchange,,
897.0,905.0,directed,1,10,Exchange,,
896.0,907.0,directed,1,10,Exchange,,
903.0,896.0,directed,1,11,Exchange,,
904.0,896.0,directed,1,11,Exchange,,
905.0,896.0,directed,1,11,Exchange,,
906.0,896.0,directed,1,11,Exchange,,
907.0,896.0,directed,1,11,Exchange,,
897.0,896.0,directed,1,11,Exchange,,
897.0,902.0,directed,1,11,Exchange,,
901.0,899.0,directed,1,11,Exchange,,
902.0,897.0,directed,1,11,Exchange,,
896.0,897.0,directed,1,11,Exchange,,
899.0,901.0,directed,1,11,Exchange,,
896.0,899.0,directed,1,11,Exchange,,
899.0,896.0,directed,1,11,Exchange,,
902.0,897.0,directed,1,12,Exchange,,
897.0,902.0,directed,1,12,Exchange,,
1712.0,1713.0,directed,1,13,Exchange,,
1712.0,1711.0,directed,1,13,Exchange,,
1712.0,903.0,directed,1,13,Exchange,,
899.0,1712.0,directed,1,13,Exchange,,
1713.0,1712.0,directed,1,13,Exchange,,
903.0,1712.0,directed,1,13,Exchange,,
1712.0,899.0,directed,1,13,Exchange,,
1711.0,1712.0,directed,1,13,Exchange,,
899.0,904.0,directed,1,14,Exchange,,
899.0,1715.0,directed,1,14,Exchange,,
899.0,1758.0,directed,1,14,Exchange,,
1715.0,899.0,directed,1,14,Exchange,,
1758.0,899.0,directed,1,14,Exchange,,
1712.0,899.0,directed,1,14,Exchange,,
899.0,1712.0,directed,1,14,Exchange,,
903.0,2510.0,directed,1,14,Exchange,,
896.0,897.0,directed,1,14,Exchange,,
904.0,899.0,directed,1,14,Exchange,,
897.0,896.0,directed,1,14,Exchange,,
904.0,899.0,directed,1,15,Exchange,,
1759.0,899.0,directed,1,15,Exchange,,
896.0,897.0,directed,1,15,Exchange,,
897.0,896.0,directed,1,15,Exchange,,
903.0,899.0,directed,1,15,Exchange,,
899.0,903.0,directed,1,15,Exchange,,
899.0,904.0,directed,1,15,Exchange,,
899.0,1759.0,directed,1,15,Exchange,,
904.0,899.0,directed,1,16,Exchange,,
904.0,903.0,directed,1,16,Exchange,,
903.0,904.0,directed,1,16,Exchange,,
899.0,904.0,directed,1,16,Exchange,,
904.0,903.0,directed,1,17,Exchange,,
903.0,904.0,directed,1,17,Exchange,,
2511.0,899.0,directed,1,18,Exchange,,
899.0,2511.0,directed,1,18,Exchange,,
1715.0,897.0,directed,1,19,Exchange,,
897.0,1715.0,directed,1,19,Exchange,,
1715.0,897.0,directed,1,20,Exchange,,
904.0,897.0,directed,1,20,Exchange,,
898.0,897.0,directed,1,20,Exchange,,
897.0,898.0,directed,1,20,Exchange,,
1712.0,898.0,directed,1,20,Exchange,,
2512.0,899.0,directed,1,20,Exchange,,
1715.0,903.0,directed,1,20,Exchange,,
897.0,904.0,directed,1,20,Exchange,,
1713.0,904.0,directed,1,20,Exchange,,
898.0,1712.0,directed,1,20,Exchange,,
904.0,1713.0,directed,1,20,Exchange,,
897.0,1715.0,directed,1,20,Exchange,,
899.0,2512.0,directed,1,20,Exchange,,
