source,target,Character 1,Character 2,type,weight,startPage,category
1713,904,Miss Bingley,Jane Bennet,Directed,1,131,Exchange
903,904,Elizabeth Bennet,Jane Bennet,Directed,1,131,Exchange
904,903,Jane Bennet,Elizabeth Bennet,Directed,1,131,Exchange
904,903,Jane Bennet,Elizabeth Bennet,Directed,1,132,Exchange
903,904,Elizabeth Bennet,Jane Bennet,Directed,1,132,Exchange
903,904,Elizabeth Bennet,Jane Bennet,Directed,1,133,Exchange
904,903,Jane Bennet,Elizabeth Bennet,Directed,1,133,Exchange
904,903,Jane Bennet,Elizabeth Bennet,Directed,1,134,Exchange
903,904,Elizabeth Bennet,Jane Bennet,Directed,1,134,Exchange
904,903,Jane Bennet,Elizabeth Bennet,Directed,1,135,Exchange
903,896,Elizabeth Bennet,Mr. Bennet,Directed,1,135,Exchange
896,903,Mr. Bennet,Elizabeth Bennet,Directed,1,135,Exchange
903,897,Elizabeth Bennet,Mrs. Bennet,Directed,1,135,Exchange
897,903,Mrs. Bennet,Elizabeth Bennet,Directed,1,135,Exchange
903,904,Elizabeth Bennet,Jane Bennet,Directed,1,135,Exchange
903,1751,Elizabeth Bennet,Mr. Collins,Directed,1,137,Exchange
1751,907,Mr. Collins,Kitty Bennet,Directed,1,137,Exchange
1751,904,Mr. Collins,Jane Bennet,Directed,1,137,Exchange
907,1751,Kitty Bennet,Mr. Collins,Directed,1,137,Exchange
1751,896,Mr. Collins,Mr. Bennet,Directed,1,137,Exchange
896,1751,Mr. Bennet,Mr. Collins,Directed,1,137,Exchange
904,1751,Jane Bennet,Mr. Collins,Directed,1,137,Exchange
1751,906,Mr. Collins,Mary Bennet,Directed,1,137,Exchange
1751,905,Mr. Collins,Lydia Bennet,Directed,1,137,Exchange
906,1751,Mary Bennet,Mr. Collins,Directed,1,137,Exchange
905,1751,Lydia Bennet,Mr. Collins,Directed,1,137,Exchange
1751,903,Mr. Collins,Elizabeth Bennet,Directed,1,137,Exchange
1757,897,Mrs. Gardiner,Mrs. Bennet,Directed,1,138,Exchange
897,1757,Mrs. Bennet,Mrs. Gardiner,Directed,1,138,Exchange
1757,903,Mrs. Gardiner,Elizabeth Bennet,Directed,1,138,Exchange
903,1757,Elizabeth Bennet,Mrs. Gardiner,Directed,1,138,Exchange
903,1757,Elizabeth Bennet,Mrs. Gardiner,Directed,1,139,Exchange
1757,903,Mrs. Gardiner,Elizabeth Bennet,Directed,1,139,Exchange
1757,1750,Mrs. Gardiner,Mr. Wickham,Directed,1,140,Exchange
1750,1757,Mr. Wickham,Mrs. Gardiner,Directed,1,140,Exchange
1757,903,Mrs. Gardiner,Elizabeth Bennet,Directed,1,140,Exchange
903,1757,Elizabeth Bennet,Mrs. Gardiner,Directed,1,140,Exchange
1757,903,Mrs. Gardiner,Elizabeth Bennet,Directed,1,142,Exchange
903,1757,Elizabeth Bennet,Mrs. Gardiner,Directed,1,142,Exchange
897,1715,Mrs. Bennet,Charlotte Lucas,Directed,1,143,Exchange
1751,897,Mr. Collins,Mrs. Bennet,Directed,1,143,Exchange
903,1715,Elizabeth Bennet,Charlotte Lucas,Directed,1,143,Exchange
