source,target,startPage,Character 1,Character 2,type,weight,category
899.0,900.0,5,,,,,
898.0,900.0,5,,,,,
897.0,900.0,5,,,,,
897.0,898.0,5,,,,,
897.0,899.0,5,,,,,
896.0,900.0,5,,,,,
896.0,897.0,5,,,,,
899.0,898.0,5,,,,,
896.0,898.0,5,,,,,
896.0,899.0,5,,,,,
899.0,906.0,6,,,,,
899.0,907.0,6,,,,,
903.0,904.0,6,,,,,
903.0,905.0,6,,,,,
903.0,901.0,6,,,,,
903.0,902.0,6,,,,,
897.0,906.0,6,,,,,
897.0,907.0,6,,,,,
899.0,903.0,6,,,,,
899.0,901.0,6,,,,,
899.0,902.0,6,,,,,
899.0,904.0,6,,,,,
903.0,906.0,6,,,,,
902.0,906.0,6,,,,,
901.0,902.0,6,,,,,
901.0,904.0,6,,,,,
897.0,902.0,6,,,,,
897.0,901.0,6,,,,,
897.0,903.0,6,,,,,
897.0,899.0,6,,,,,
896.0,907.0,6,,,,,
896.0,906.0,6,,,,,
902.0,907.0,6,,,,,
904.0,905.0,6,,,,,
904.0,906.0,6,,,,,
904.0,907.0,6,,,,,
905.0,906.0,6,,,,,
905.0,907.0,6,,,,,
906.0,907.0,6,,,,,
897.0,905.0,6,,,,,
896.0,905.0,6,,,,,
897.0,904.0,6,,,,,
896.0,902.0,6,,,,,
896.0,904.0,6,,,,,
896.0,903.0,6,,,,,
896.0,899.0,6,,,,,
896.0,897.0,6,,,,,
896.0,901.0,6,,,,,
901.0,907.0,6,,,,,
902.0,904.0,6,,,,,
901.0,905.0,6,,,,,
901.0,906.0,6,,,,,
902.0,905.0,6,,,,,
903.0,907.0,6,,,,,
899.0,905.0,6,,,,,
896.0,897.0,7,,,,,
896.0,903.0,7,,,,,
896.0,904.0,7,,,,,
896.0,905.0,7,,,,,
896.0,906.0,7,,,,,
896.0,907.0,7,,,,,
897.0,903.0,7,,,,,
904.0,907.0,7,,,,,
904.0,906.0,7,,,,,
897.0,904.0,7,,,,,
903.0,907.0,7,,,,,
904.0,905.0,7,,,,,
903.0,905.0,7,,,,,
903.0,904.0,7,,,,,
897.0,907.0,7,,,,,
897.0,906.0,7,,,,,
