source,target,Character 1,Character 2,type,weight,startPage,category
73,11,Butler (at Longbourn),Elizabeth Bennet,Directed,1,285,Exchange
73,10,Butler (at Longbourn),Jane Bennet,Directed,1,285,Exchange
54,14,Chamberlayne,Kitty Bennet,Directed,1,213,Exchange
54,13,Chamberlayne,Lydia Bennet,Directed,1,213,Exchange
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,143,Exchange
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,144,Exchange
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,153,Exchange
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,154,Exchange
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,155,Exchange
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,156,Exchange
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,175,Exchange
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,176,Exchange
16,30,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,158,Exchange
16,30,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,159,Exchange
16,30,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,160,Exchange
16,30,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,161,Exchange
16,30,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,162,Exchange
16,30,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,163,Exchange
16,30,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,340,Exchange
16,20,Charlotte Lucas,Maria Lucas,Directed,1,154,Exchange
16,20,Charlotte Lucas,Maria Lucas,Directed,1,156,Exchange
16,33,Charlotte Lucas,Miss de Bourgh,Directed,1,156,Exchange
16,17,Charlotte Lucas,Mr. Collins,Directed,1,155,Exchange
16,17,Charlotte Lucas,Mr. Collins,Directed,1,162,Exchange
16,17,Charlotte Lucas,Mr. Collins,Directed,1,183,Exchange
16,17,Charlotte Lucas,Mr. Collins,Directed,1,281,Exchange
16,5,Charlotte Lucas,Mr. Darcy,Directed,1,175,Exchange
16,5,Charlotte Lucas,Mr. Darcy,Directed,1,176,Exchange
16,9,Charlotte Lucas,Mrs. Bennet,Directed,1,143,Exchange
16,34,Charlotte Lucas,Mrs. Jenkinson,Directed,1,156,Exchange
16,19,Charlotte Lucas,Sir William Lucas,Directed,1,162,Exchange
41,11,Colonel Fitzwilliam,Elizabeth Bennet,Directed,1,178,Exchange
41,11,Colonel Fitzwilliam,Elizabeth Bennet,Directed,1,179,Exchange
41,11,Colonel Fitzwilliam,Elizabeth Bennet,Directed,1,180,Exchange
41,11,Colonel Fitzwilliam,Elizabeth Bennet,Directed,1,181,Exchange
41,11,Colonel Fitzwilliam,Elizabeth Bennet,Directed,1,182,Exchange
41,11,Colonel Fitzwilliam,Elizabeth Bennet,Directed,1,200,Exchange
50,55,Colonel Forster,Denny,Directed,1,275,Exchange
50,10,Colonel Forster,Jane Bennet,Directed,1,260,Exchange
