source,target,Char 1 Name,Char 2 Name,startPage,type,weight
4,9,Mr. Bingley,Mrs. Bennet,131,Undirected,1
3,13,Miss Bingley,Lydia Bennet,131,Undirected,1
5,10,Mr. Darcy,Jane Bennet,131,Undirected,1
8,9,Mr. Bennet,Mrs. Bennet,131,Undirected,1
11,14,Elizabeth Bennet,Kitty Bennet,131,Undirected,1
6,11,Mrs. Hurst,Elizabeth Bennet,131,Undirected,1
7,10,Mr. Hurst,Jane Bennet,131,Undirected,1
3,6,Miss Bingley,Mrs. Hurst,131,Undirected,1
3,15,Miss Bingley,Miss Darcy,131,Undirected,1
5,12,Mr. Darcy,Mary Bennet,131,Undirected,1
8,11,Mr. Bennet,Elizabeth Bennet,131,Undirected,1
14,15,Kitty Bennet,Miss Darcy,131,Undirected,1
9,10,Mrs. Bennet,Jane Bennet,131,Undirected,1
6,13,Mrs. Hurst,Lydia Bennet,131,Undirected,1
7,12,Mr. Hurst,Mary Bennet,131,Undirected,1
3,8,Miss Bingley,Mr. Bennet,131,Undirected,1
5,14,Mr. Darcy,Kitty Bennet,131,Undirected,1
9,12,Mrs. Bennet,Mary Bennet,131,Undirected,1
7,14,Mr. Hurst,Kitty Bennet,131,Undirected,1
12,13,Mary Bennet,Lydia Bennet,131,Undirected,1
3,10,Miss Bingley,Jane Bennet,131,Undirected,1
5,7,Mr. Darcy,Mr. Hurst,131,Undirected,1
9,14,Mrs. Bennet,Kitty Bennet,131,Undirected,1
10,15,Jane Bennet,Miss Darcy,131,Undirected,1
13,14,Lydia Bennet,Kitty Bennet,131,Undirected,1
12,15,Mary Bennet,Miss Darcy,131,Undirected,1
3,12,Miss Bingley,Mary Bennet,131,Undirected,1
5,9,Mr. Darcy,Mrs. Bennet,131,Undirected,1
4,11,Mr. Bingley,Elizabeth Bennet,131,Undirected,1
7,9,Mr. Hurst,Mrs. Bennet,131,Undirected,1
3,5,Miss Bingley,Mr. Darcy,131,Undirected,1
3,14,Miss Bingley,Kitty Bennet,131,Undirected,1
5,11,Mr. Darcy,Elizabeth Bennet,131,Undirected,1
4,13,Mr. Bingley,Lydia Bennet,131,Undirected,1
8,13,Mr. Bennet,Lydia Bennet,131,Undirected,1
7,11,Mr. Hurst,Elizabeth Bennet,131,Undirected,1
6,15,Mrs. Hurst,Miss Darcy,131,Undirected,1
3,7,Miss Bingley,Mr. Hurst,131,Undirected,1
4,6,Mr. Bingley,Mrs. Hurst,131,Undirected,1
5,13,Mr. Darcy,Lydia Bennet,131,Undirected,1
4,15,Mr. Bingley,Miss Darcy,131,Undirected,1
8,15,Mr. Bennet,Miss Darcy,131,Undirected,1
10,12,Jane Bennet,Mary Bennet,131,Undirected,1
6,8,Mrs. Hurst,Mr. Bennet,131,Undirected,1
3,9,Miss Bingley,Mrs. Bennet,131,Undirected,1
5,6,Mr. Darcy,Mrs. Hurst,131,Undirected,1
4,8,Mr. Bingley,Mr. Bennet,131,Undirected,1
10,14,Jane Bennet,Kitty Bennet,131,Undirected,1
11,13,Elizabeth Bennet,Lydia Bennet,131,Undirected,1
