source,target,Character 1,Character 2,type,weight,startPage,category
62,11,"""Lambton friends""",Elizabeth Bennet,Directed,1,248,Knows
62,5,"""Lambton friends""",Mr. Darcy,Directed,1,252,Knows
62,24,"""Lambton friends""",Mr. Gardiner,Directed,1,248,Knows
62,24,"""Lambton friends""",Mr. Gardiner,Directed,1,252,Knows
62,25,"""Lambton friends""",Mrs. Gardiner,Directed,1,248,Knows
62,25,"""Lambton friends""",Mrs. Gardiner,Directed,1,252,Knows
82,81,Butcher,Mrs. Nicholls,Directed,1,313,Knows
82,26,Butcher,Mrs. Philips,Directed,1,313,Knows
73,11,Butler (at Longbourn),Elizabeth Bennet,Directed,1,285,Exchange
73,10,Butler (at Longbourn),Jane Bennet,Directed,1,285,Exchange
73,8,Butler (at Longbourn),Mr. Bennet,Directed,1,285,Knows
54,14,Chamberlayne,Kitty Bennet,Directed,1,213,Exchange
54,13,Chamberlayne,Lydia Bennet,Directed,1,213,Exchange
16,41,Charlotte Lucas,Colonel Fitzwilliam,Directed,1,177,Knows
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,133,Knows
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,143,Exchange
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,144,Exchange
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,146,Knows
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,147,Knows
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,149,Knows
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,153,Exchange
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,154,Exchange
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,155,Exchange
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,156,Exchange
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,160,Knows
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,174,Knows
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,175,Exchange
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,176,Exchange
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,177,Knows
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,178,Knows
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,182,Knows
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,183,Knows
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,202,Knows
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,208,Knows
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,209,Knows
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,220,Knows
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,333,Knows
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,340,Knows
16,11,Charlotte Lucas,Elizabeth Bennet,Directed,1,362,Knows
16,10,Charlotte Lucas,Jane Bennet,Directed,1,133,Knows
16,10,Charlotte Lucas,Jane Bennet,Directed,1,146,Knows
16,10,Charlotte Lucas,Jane Bennet,Directed,1,362,Knows
16,14,Charlotte Lucas,Kitty Bennet,Directed,1,362,Knows
16,30,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,144,Knows
16,30,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,155,Knows
16,30,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,158,Exchange
16,30,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,159,Exchange
16,30,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,160,Exchange
16,30,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,161,Exchange
16,30,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,162,Exchange
16,30,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,163,Exchange
16,30,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,209,Knows
16,30,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,220,Knows
16,30,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,333,Knows
16,30,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,340,Exchange
16,30,Charlotte Lucas,Lady Catherine de Bourgh,Directed,1,362,Knows
16,18,Charlotte Lucas,Lady Lucas,Directed,1,133,Knows
16,18,Charlotte Lucas,Lady Lucas,Directed,1,140,Knows
16,18,Charlotte Lucas,Lady Lucas,Directed,1,143,Knows
16,18,Charlotte Lucas,Lady Lucas,Directed,1,174,Knows
16,18,Charlotte Lucas,Lady Lucas,Directed,1,214,Knows
16,22,Charlotte Lucas,Lucas brothers,Directed,1,133,Knows
16,22,Charlotte Lucas,Lucas brothers,Directed,1,140,Knows
16,22,Charlotte Lucas,Lucas brothers,Directed,1,143,Knows
16,22,Charlotte Lucas,Lucas brothers,Directed,1,174,Knows
16,13,Charlotte Lucas,Lydia Bennet,Directed,1,281,Knows
16,13,Charlotte Lucas,Lydia Bennet,Directed,1,300,Knows
16,20,Charlotte Lucas,Maria Lucas,Directed,1,133,Knows
16,20,Charlotte Lucas,Maria Lucas,Directed,1,143,Knows
16,20,Charlotte Lucas,Maria Lucas,Directed,1,144,Knows
16,20,Charlotte Lucas,Maria Lucas,Directed,1,154,Exchange
16,20,Charlotte Lucas,Maria Lucas,Directed,1,155,Knows
16,20,Charlotte Lucas,Maria Lucas,Directed,1,156,Exchange
16,20,Charlotte Lucas,Maria Lucas,Directed,1,173,Knows
16,20,Charlotte Lucas,Maria Lucas,Directed,1,174,Knows
16,20,Charlotte Lucas,Maria Lucas,Directed,1,175,Knows
16,12,Charlotte Lucas,Mary Bennet,Directed,1,362,Knows
16,57,Charlotte Lucas,Miss Lucas' sisters,Directed,1,214,Knows
16,33,Charlotte Lucas,Miss de Bourgh,Directed,1,156,Exchange
16,8,Charlotte Lucas,Mr. Bennet,Directed,1,342,Knows
16,8,Charlotte Lucas,Mr. Bennet,Directed,1,343,Knows
16,8,Charlotte Lucas,Mr. Bennet,Directed,1,362,Knows
16,17,Charlotte Lucas,Mr. Collins,Directed,1,133,Knows
16,17,Charlotte Lucas,Mr. Collins,Directed,1,137,Knows
16,17,Charlotte Lucas,Mr. Collins,Directed,1,143,Knows
16,17,Charlotte Lucas,Mr. Collins,Directed,1,144,Knows
16,17,Charlotte Lucas,Mr. Collins,Directed,1,153,Knows
16,17,Charlotte Lucas,Mr. Collins,Directed,1,154,Knows
16,17,Charlotte Lucas,Mr. Collins,Directed,1,155,Exchange
16,17,Charlotte Lucas,Mr. Collins,Directed,1,157,Knows
16,17,Charlotte Lucas,Mr. Collins,Directed,1,162,Exchange
16,17,Charlotte Lucas,Mr. Collins,Directed,1,173,Knows
16,17,Charlotte Lucas,Mr. Collins,Directed,1,174,Knows
16,17,Charlotte Lucas,Mr. Collins,Directed,1,175,Knows
16,17,Charlotte Lucas,Mr. Collins,Directed,1,176,Knows
16,17,Charlotte Lucas,Mr. Collins,Directed,1,178,Knows
16,17,Charlotte Lucas,Mr. Collins,Directed,1,183,Exchange
16,17,Charlotte Lucas,Mr. Collins,Directed,1,208,Knows
