Original id,New id,Name/Label
896,8,Mr. Bennet
897,9,Mrs. Bennet
898,74,Mrs. Long
899,4,Mr. Bingley
902,18,Lady Lucas
903,11,Elizabeth Bennet
904,10,Jane Bennet
905,13,Lydia Bennet
906,12,Mary Bennet
907,14,Kitty Bennet
1710,7,Mr. Hurst
1711,6,Mrs. Hurst
1712,5,Mr. Darcy
1713,3,Miss Bingley
1715,16,Charlotte Lucas
1758,31,Miss King
1759,20,Maria Lucas
1716,21,Young Lucas
1748,50,Colonel Forster
1717,26,Mrs. Philips
1718,27,Mr. Philips
1756,24,Mr. Gardiner
1747,15,Miss Darcy
1757,25,Mrs. Gardiner
1751,17,Mr. Collins
1752,30,Lady Catherine de Bourgh
2534,35,Sir Lewis de Bourgh
1750,23,Mr. Wickham
1765,34,Mrs. Jenkinson
1767,41,Colonel Fitzwilliam
1768,45,Mrs. Younge
896,8,Mr. Bennet
1749,51,Mrs. Forster
1770,65,Mrs. Annesley
2561,55,Denny
1771,70,Mrs. Hill
