id,Name
0,"[NULL]"
16,"Charlotte Lucas"
11,"Elizabeth Bennet"
10,"Jane Bennet"
14,"Kitty Bennet"
30,"Lady Catherine de Bourgh"
18,"Lady Lucas"
22,"Lucas brothers"
13,"Lydia Bennet"
20,"Maria Lucas"
12,"Mary Bennet"
3,"Miss Bingley"
15,"Miss Darcy"
8,"Mr. Bennet"
4,"Mr. Bingley"
17,"Mr. Collins"
5,"Mr. Darcy"
29,"Mr. Darcy's Father"
24,"Mr. Gardiner"
7,"Mr. Hurst"
27,"Mr. Philips"
23,"Mr. Wickham"
9,"Mrs. Bennet"
25,"Mrs. Gardiner"
6,"Mrs. Hurst"
26,"Mrs. Philips"
28,"Officers (living in Meryton)"
19,"Sir William Lucas"
21,"Young Lucas"
