source,target,Character 1,Character 2,type,weight,startPage,category,Narrator
8,6,Warren Wolde,Doctor Cordelia Lochren,Directed,1,1,Exchange,[NULL]
6,8,Doctor Cordelia Lochren,Warren Wolde,Directed,1,1,Exchange,[NULL]
14,11,Evelina's Ancestors,French Settlers,Directed,1,5,Exchange,Evelina Harp
9,13,Severine Milk,Severine Milk's Parishioners,Directed,1,5,Exchange,Evelina Harp
11,14,French Settlers,Evelina's Ancestors,Directed,1,5,Exchange,Evelina Harp
13,9,Severine Milk's Parishioners,Severine Milk,Directed,1,5,Exchange,Evelina Harp
3,15,Evelina Harp,Seraph Milk (Mooshum),Directed,1,6,Exchange,Evelina Harp
17,15,Joseph Harp,Seraph Milk (Mooshum),Directed,1,6,Exchange,Evelina Harp
15,17,Seraph Milk (Mooshum),Joseph Harp,Directed,1,6,Exchange,Evelina Harp
15,3,Seraph Milk (Mooshum),Evelina Harp,Directed,1,6,Exchange,Evelina Harp
17,15,Joseph Harp,Seraph Milk (Mooshum),Directed,1,7,Exchange,Evelina Harp
16,15,Clemence Harp,Seraph Milk (Mooshum),Directed,1,7,Exchange,Evelina Harp
13,9,Severine Milk's Parishioners,Severine Milk,Directed,1,7,Exchange,Evelina Harp
15,17,Seraph Milk (Mooshum),Joseph Harp,Directed,1,7,Exchange,Evelina Harp
9,13,Severine Milk,Severine Milk's Parishioners,Directed,1,7,Exchange,Evelina Harp
15,3,Seraph Milk (Mooshum),Evelina Harp,Directed,1,7,Exchange,Evelina Harp
15,16,Seraph Milk (Mooshum),Clemence Harp,Directed,1,7,Exchange,Evelina Harp
3,15,Evelina Harp,Seraph Milk (Mooshum),Directed,1,7,Exchange,Evelina Harp
17,15,Joseph Harp,Seraph Milk (Mooshum),Directed,1,8,Exchange,Evelina Harp
15,17,Seraph Milk (Mooshum),Joseph Harp,Directed,1,8,Exchange,Evelina Harp
3,15,Evelina Harp,Seraph Milk (Mooshum),Directed,1,8,Exchange,Evelina Harp
15,3,Seraph Milk (Mooshum),Evelina Harp,Directed,1,8,Exchange,Evelina Harp
22,19,"""[Y]oung man on a passenger train""",Geraldine Milk,Directed,1,9,Exchange,Evelina Harp
15,3,Seraph Milk (Mooshum),Evelina Harp,Directed,1,9,Exchange,Evelina Harp
26,27,John Wildstrand,Neve Harp,Directed,1,9,Exchange,Evelina Harp
26,28,John Wildstrand,Maggie Peace,Directed,1,9,Exchange,Evelina Harp
23,20,"""[S]mall town stripper""",Uncle Whitey,Directed,1,9,Exchange,Evelina Harp
17,15,Joseph Harp,Seraph Milk (Mooshum),Directed,1,9,Exchange,Evelina Harp
21,20,"""Haskell Indian Princess""",Uncle Whitey,Directed,1,9,Exchange,Evelina Harp
28,26,Maggie Peace,John Wildstrand,Directed,1,9,Exchange,Evelina Harp
19,22,Geraldine Milk,"""[Y]oung man on a passenger train""",Directed,1,9,Exchange,Evelina Harp
3,15,Evelina Harp,Seraph Milk (Mooshum),Directed,1,9,Exchange,Evelina Harp
20,21,Uncle Whitey,"""Haskell Indian Princess""",Directed,1,9,Exchange,Evelina Harp
20,23,Uncle Whitey,"""[S]mall town stripper""",Directed,1,9,Exchange,Evelina Harp
15,17,Seraph Milk (Mooshum),Joseph Harp,Directed,1,9,Exchange,Evelina Harp
27,26,Neve Harp,John Wildstrand,Directed,1,9,Exchange,Evelina Harp
31,32,Corwin Peace,Other Children (in school with Evelina),Directed,1,10,Exchange,Evelina Harp
31,3,Corwin Peace,Evelina Harp,Directed,1,10,Exchange,Evelina Harp
32,3,Other Children (in school with Evelina),Evelina Harp,Directed,1,10,Exchange,Evelina Harp
3,31,Evelina Harp,Corwin Peace,Directed,1,10,Exchange,Evelina Harp
3,32,Evelina Harp,Other Children (in school with Evelina),Directed,1,10,Exchange,Evelina Harp
16,3,Clemence Harp,Evelina Harp,Directed,1,10,Exchange,Evelina Harp
32,31,Other Children (in school with Evelina),Corwin Peace,Directed,1,10,Exchange,Evelina Harp
35,34,Junesse's Aunt,Junesse Malaterre,Directed,1,11,Exchange,Evelina Harp
34,35,Junesse Malaterre,Junesse's Aunt,Directed,1,11,Exchange,Evelina Harp
3,15,Evelina Harp,Seraph Milk (Mooshum),Directed,1,11,Exchange,Evelina Harp
15,3,Seraph Milk (Mooshum),Evelina Harp,Directed,1,11,Exchange,Evelina Harp
15,3,Seraph Milk (Mooshum),Evelina Harp,Directed,1,12,Exchange,Evelina Harp
3,15,Evelina Harp,Seraph Milk (Mooshum),Directed,1,12,Exchange,Evelina Harp
15,17,Seraph Milk (Mooshum),Joseph Harp,Directed,1,12,Exchange,Evelina Harp
15,3,Seraph Milk (Mooshum),Evelina Harp,Directed,1,13,Exchange,Evelina Harp
3,32,Evelina Harp,Other Children (in school with Evelina),Directed,1,13,Exchange,Evelina Harp
38,3,Off-Reservation Dentist,Evelina Harp,Directed,1,13,Exchange,Evelina Harp
3,38,Evelina Harp,Off-Reservation Dentist,Directed,1,13,Exchange,Evelina Harp
3,31,Evelina Harp,Corwin Peace,Directed,1,13,Exchange,Evelina Harp
31,3,Corwin Peace,Evelina Harp,Directed,1,13,Exchange,Evelina Harp
3,15,Evelina Harp,Seraph Milk (Mooshum),Directed,1,13,Exchange,Evelina Harp
32,3,Other Children (in school with Evelina),Evelina Harp,Directed,1,13,Exchange,Evelina Harp
31,3,Corwin Peace,Evelina Harp,Directed,1,14,Exchange,Evelina Harp
3,31,Evelina Harp,Corwin Peace,Directed,1,14,Exchange,Evelina Harp
39,3,Beryl Hoop,Evelina Harp,Directed,1,14,Exchange,Evelina Harp
3,31,Evelina Harp,Corwin Peace,Directed,1,15,Exchange,Evelina Harp
3,16,Evelina Harp,Clemence Harp,Directed,1,15,Exchange,Evelina Harp
16,3,Clemence Harp,Evelina Harp,Directed,1,15,Exchange,Evelina Harp
31,3,Corwin Peace,Evelina Harp,Directed,1,15,Exchange,Evelina Harp
42,15,"""Mustache"" Maude Black",Seraph Milk (Mooshum),Directed,1,16,Exchange,Evelina Harp
42,34,"""Mustache"" Maude Black",Junesse Malaterre,Directed,1,16,Exchange,Evelina Harp
15,42,Seraph Milk (Mooshum),"""Mustache"" Maude Black",Directed,1,16,Exchange,Evelina Harp
3,15,Evelina Harp,Seraph Milk (Mooshum),Directed,1,16,Exchange,Evelina Harp
15,3,Seraph Milk (Mooshum),Evelina Harp,Directed,1,16,Exchange,Evelina Harp
34,42,Junesse Malaterre,"""Mustache"" Maude Black",Directed,1,16,Exchange,Evelina Harp
34,15,Junesse Malaterre,Seraph Milk (Mooshum),Directed,1,17,Exchange,Evelina Harp
42,72,"""Mustache"" Maude Black",Neighbours (of Maude Black),Directed,1,17,Exchange,Evelina Harp
15,3,Seraph Milk (Mooshum),Evelina Harp,Directed,1,17,Exchange,Evelina Harp
15,42,Seraph Milk (Mooshum),"""Mustache"" Maude Black",Directed,1,17,Exchange,Evelina Harp
42,15,"""Mustache"" Maude Black",Seraph Milk (Mooshum),Directed,1,17,Exchange,Evelina Harp
34,42,Junesse Malaterre,"""Mustache"" Maude Black",Directed,1,17,Exchange,Evelina Harp
72,42,Neighbours (of Maude Black),"""Mustache"" Maude Black",Directed,1,17,Exchange,Evelina Harp
15,34,Seraph Milk (Mooshum),Junesse Malaterre,Directed,1,17,Exchange,Evelina Harp
3,15,Evelina Harp,Seraph Milk (Mooshum),Directed,1,17,Exchange,Evelina Harp
