source,target,Character 1,Character 2,type,weight,startPage,category,Narrator
8,6,Warren Wolde,Doctor Cordelia Lochren,Directed,1,1,Exchange,[NULL]
6,8,Doctor Cordelia Lochren,Warren Wolde,Directed,1,1,Exchange,[NULL]
14,11,Evelina's Ancestors,French Settlers,Directed,1,5,Exchange,Evelina Harp
10,13,German Settlers,Severine Milk's Parishioners,Directed,1,5,Knows of,Evelina Harp
3,12,Evelina Harp,Norwegian Settlers,Directed,1,5,Knows of,Evelina Harp
9,13,Severine Milk,Severine Milk's Parishioners,Directed,1,5,Exchange,Evelina Harp
3,13,Evelina Harp,Severine Milk's Parishioners,Directed,1,5,Knows of,Evelina Harp
3,11,Evelina Harp,French Settlers,Directed,1,5,Knows of,Evelina Harp
11,14,French Settlers,Evelina's Ancestors,Directed,1,5,Exchange,Evelina Harp
13,10,Severine Milk's Parishioners,German Settlers,Directed,1,5,Knows of,Evelina Harp
3,10,Evelina Harp,German Settlers,Directed,1,5,Knows of,Evelina Harp
12,13,Norwegian Settlers,Severine Milk's Parishioners,Directed,1,5,Knows of,Evelina Harp
3,9,Evelina Harp,Severine Milk,Directed,1,5,Knows of,Evelina Harp
13,9,Severine Milk's Parishioners,Severine Milk,Directed,1,5,Exchange,Evelina Harp
13,12,Severine Milk's Parishioners,Norwegian Settlers,Directed,1,5,Knows of,Evelina Harp
3,14,Evelina Harp,Evelina's Ancestors,Directed,1,5,Knows of,Evelina Harp
3,17,Evelina Harp,Joseph Harp,Directed,1,6,Knows,Evelina Harp
15,9,Seraph Milk (Mooshum),Severine Milk,Directed,1,6,Knows,Evelina Harp
15,16,Seraph Milk (Mooshum),Clemence Harp,Directed,1,6,Knows,Evelina Harp
3,16,Evelina Harp,Clemence Harp,Directed,1,6,Knows,Evelina Harp
17,18,Joseph Harp,Edward Harp,Directed,1,6,Knows,Evelina Harp
3,15,Evelina Harp,Seraph Milk (Mooshum),Directed,1,6,Exchange,Evelina Harp
17,15,Joseph Harp,Seraph Milk (Mooshum),Directed,1,6,Exchange,Evelina Harp
9,15,Severine Milk,Seraph Milk (Mooshum),Directed,1,6,Knows,Evelina Harp
16,15,Clemence Harp,Seraph Milk (Mooshum),Directed,1,6,Knows,Evelina Harp
15,17,Seraph Milk (Mooshum),Joseph Harp,Directed,1,6,Exchange,Evelina Harp
18,17,Edward Harp,Joseph Harp,Directed,1,6,Knows,Evelina Harp
16,3,Clemence Harp,Evelina Harp,Directed,1,6,Knows,Evelina Harp
17,3,Joseph Harp,Evelina Harp,Directed,1,6,Knows,Evelina Harp
15,3,Seraph Milk (Mooshum),Evelina Harp,Directed,1,6,Exchange,Evelina Harp
18,3,Edward Harp,Evelina Harp,Directed,1,6,Knows,Evelina Harp
3,9,Evelina Harp,Severine Milk,Directed,1,6,Knows of,Evelina Harp
3,18,Evelina Harp,Edward Harp,Directed,1,6,Knows,Evelina Harp
9,15,Severine Milk,Seraph Milk (Mooshum),Directed,1,7,Knows,Evelina Harp
15,9,Seraph Milk (Mooshum),Severine Milk,Directed,1,7,Knows,Evelina Harp
3,9,Evelina Harp,Severine Milk,Directed,1,7,Knows of,Evelina Harp
3,15,Evelina Harp,Seraph Milk (Mooshum),Directed,1,7,Exchange,Evelina Harp
3,18,Evelina Harp,Edward Harp,Directed,1,7,Knows,Evelina Harp
15,16,Seraph Milk (Mooshum),Clemence Harp,Directed,1,7,Exchange,Evelina Harp
18,17,Edward Harp,Joseph Harp,Directed,1,7,Knows,Evelina Harp
3,16,Evelina Harp,Clemence Harp,Directed,1,7,Knows,Evelina Harp
3,13,Evelina Harp,Severine Milk's Parishioners,Directed,1,7,Knows of,Evelina Harp
18,3,Edward Harp,Evelina Harp,Directed,1,7,Knows,Evelina Harp
15,13,Seraph Milk (Mooshum),Severine Milk's Parishioners,Directed,1,7,Knows,Evelina Harp
17,18,Joseph Harp,Edward Harp,Directed,1,7,Knows,Evelina Harp
15,3,Seraph Milk (Mooshum),Evelina Harp,Directed,1,7,Exchange,Evelina Harp
9,13,Severine Milk,Severine Milk's Parishioners,Directed,1,7,Exchange,Evelina Harp
13,15,Severine Milk's Parishioners,Seraph Milk (Mooshum),Directed,1,7,Knows,Evelina Harp
15,17,Seraph Milk (Mooshum),Joseph Harp,Directed,1,7,Exchange,Evelina Harp
13,9,Severine Milk's Parishioners,Severine Milk,Directed,1,7,Exchange,Evelina Harp
16,15,Clemence Harp,Seraph Milk (Mooshum),Directed,1,7,Exchange,Evelina Harp
16,3,Clemence Harp,Evelina Harp,Directed,1,7,Knows,Evelina Harp
17,3,Joseph Harp,Evelina Harp,Directed,1,7,Knows,Evelina Harp
17,15,Joseph Harp,Seraph Milk (Mooshum),Directed,1,7,Exchange,Evelina Harp
3,17,Evelina Harp,Joseph Harp,Directed,1,7,Knows,Evelina Harp
3,27,Evelina Harp,Neve Harp,Directed,1,8,Knows,Evelina Harp
3,18,Evelina Harp,Edward Harp,Directed,1,8,Knows,Evelina Harp
18,17,Edward Harp,Joseph Harp,Directed,1,8,Knows,Evelina Harp
18,16,Edward Harp,Clemence Harp,Directed,1,8,Knows,Evelina Harp
17,15,Joseph Harp,Seraph Milk (Mooshum),Directed,1,8,Exchange,Evelina Harp
3,16,Evelina Harp,Clemence Harp,Directed,1,8,Knows,Evelina Harp
3,29,Evelina Harp,Octave Harp,Directed,1,8,Knows of,Evelina Harp
3,13,Evelina Harp,Severine Milk's Parishioners,Directed,1,8,Knows of,Evelina Harp
16,18,Clemence Harp,Edward Harp,Directed,1,8,Knows,Evelina Harp
3,19,Evelina Harp,Geraldine Milk,Directed,1,8,Knows,Evelina Harp
15,18,Seraph Milk (Mooshum),Edward Harp,Directed,1,8,Knows,Evelina Harp
13,15,Severine Milk's Parishioners,Seraph Milk (Mooshum),Directed,1,8,Knows,Evelina Harp
3,9,Evelina Harp,Severine Milk,Directed,1,8,Knows of,Evelina Harp
16,3,Clemence Harp,Evelina Harp,Directed,1,8,Knows,Evelina Harp
16,17,Clemence Harp,Joseph Harp,Directed,1,8,Knows,Evelina Harp
17,3,Joseph Harp,Evelina Harp,Directed,1,8,Knows,Evelina Harp
15,17,Seraph Milk (Mooshum),Joseph Harp,Directed,1,8,Exchange,Evelina Harp
15,16,Seraph Milk (Mooshum),Clemence Harp,Directed,1,8,Knows,Evelina Harp
17,18,Joseph Harp,Edward Harp,Directed,1,8,Knows,Evelina Harp
19,3,Geraldine Milk,Evelina Harp,Directed,1,8,Knows,Evelina Harp
9,15,Severine Milk,Seraph Milk (Mooshum),Directed,1,8,Knows,Evelina Harp
20,3,Uncle Whitey,Evelina Harp,Directed,1,8,Knows,Evelina Harp
16,15,Clemence Harp,Seraph Milk (Mooshum),Directed,1,8,Knows,Evelina Harp
3,15,Evelina Harp,Seraph Milk (Mooshum),Directed,1,8,Exchange,Evelina Harp
3,20,Evelina Harp,Uncle Whitey,Directed,1,8,Knows,Evelina Harp
15,3,Seraph Milk (Mooshum),Evelina Harp,Directed,1,8,Exchange,Evelina Harp
15,9,Seraph Milk (Mooshum),Severine Milk,Directed,1,8,Knows,Evelina Harp
18,15,Edward Harp,Seraph Milk (Mooshum),Directed,1,8,Knows,Evelina Harp
17,16,Joseph Harp,Clemence Harp,Directed,1,8,Knows,Evelina Harp
15,13,Seraph Milk (Mooshum),Severine Milk's Parishioners,Directed,1,8,Knows,Evelina Harp
3,17,Evelina Harp,Joseph Harp,Directed,1,8,Knows,Evelina Harp
