source,target,Char 1 Name,Char 2 Name,startPage,type,weight
8,6,Warren Wolde,Doctor Cordelia Lochren,1,Undirected,1
12,13,Norwegian Settlers,Severine Milk's Parishioners,5,Undirected,1
3,10,Evelina Harp,German Settlers,5,Undirected,1
3,13,Evelina Harp,Severine Milk's Parishioners,5,Undirected,1
9,14,Severine Milk,Evelina's Ancestors,5,Undirected,1
9,11,Severine Milk,French Settlers,5,Undirected,1
11,14,French Settlers,Evelina's Ancestors,5,Undirected,1
10,12,German Settlers,Norwegian Settlers,5,Undirected,1
13,14,Severine Milk's Parishioners,Evelina's Ancestors,5,Undirected,1
3,9,Evelina Harp,Severine Milk,5,Undirected,1
3,12,Evelina Harp,Norwegian Settlers,5,Undirected,1
9,10,Severine Milk,German Settlers,5,Undirected,1
10,11,German Settlers,French Settlers,5,Undirected,1
9,13,Severine Milk,Severine Milk's Parishioners,5,Undirected,1
10,14,German Settlers,Evelina's Ancestors,5,Undirected,1
11,13,French Settlers,Severine Milk's Parishioners,5,Undirected,1
12,14,Norwegian Settlers,Evelina's Ancestors,5,Undirected,1
3,11,Evelina Harp,French Settlers,5,Undirected,1
3,14,Evelina Harp,Evelina's Ancestors,5,Undirected,1
9,12,Severine Milk,Norwegian Settlers,5,Undirected,1
10,13,German Settlers,Severine Milk's Parishioners,5,Undirected,1
11,12,French Settlers,Norwegian Settlers,5,Undirected,1
9,16,Severine Milk,Clemence Harp,6,Undirected,1
3,17,Evelina Harp,Joseph Harp,6,Undirected,1
15,17,Seraph Milk (Mooshum),Joseph Harp,6,Undirected,1
17,18,Joseph Harp,Edward Harp,6,Undirected,1
3,16,Evelina Harp,Clemence Harp,6,Undirected,1
9,15,Severine Milk,Seraph Milk (Mooshum),6,Undirected,1
15,18,Seraph Milk (Mooshum),Edward Harp,6,Undirected,1
15,16,Seraph Milk (Mooshum),Clemence Harp,6,Undirected,1
9,18,Severine Milk,Edward Harp,6,Undirected,1
3,9,Evelina Harp,Severine Milk,6,Undirected,1
16,18,Clemence Harp,Edward Harp,6,Undirected,1
3,18,Evelina Harp,Edward Harp,6,Undirected,1
9,17,Severine Milk,Joseph Harp,6,Undirected,1
3,15,Evelina Harp,Seraph Milk (Mooshum),6,Undirected,1
16,17,Clemence Harp,Joseph Harp,6,Undirected,1
3,16,Evelina Harp,Clemence Harp,7,Undirected,1
3,13,Evelina Harp,Severine Milk's Parishioners,7,Undirected,1
9,17,Severine Milk,Joseph Harp,7,Undirected,1
17,18,Joseph Harp,Edward Harp,7,Undirected,1
13,17,Severine Milk's Parishioners,Joseph Harp,7,Undirected,1
15,17,Seraph Milk (Mooshum),Joseph Harp,7,Undirected,1
3,9,Evelina Harp,Severine Milk,7,Undirected,1
3,18,Evelina Harp,Edward Harp,7,Undirected,1
3,15,Evelina Harp,Seraph Milk (Mooshum),7,Undirected,1
9,16,Severine Milk,Clemence Harp,7,Undirected,1
9,13,Severine Milk,Severine Milk's Parishioners,7,Undirected,1
