,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],22,Knows of,Evelina Harp,Severine Milk,0,The Plague of Doves,5,8.0,
1,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],26,Knows of,Evelina Harp,German Settlers,0,The Plague of Doves,5,5.0,
2,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],27,Knows of,Evelina Harp,Norwegian Settlers,0,The Plague of Doves,5,5.0,
3,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],28,Knows of,Evelina Harp,French Settlers,0,The Plague of Doves,5,5.0,
4,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],35,Knows,Evelina Harp,Clemence Harp,1,The Plague of Doves,6,8.0,
5,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],37,Knows,Evelina Harp,Joseph Harp,1,The Plague of Doves,6,9.0,
6,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],43,Knows of,Evelina Harp,Severine Milk's Parishioners,0,The Plague of Doves,5,5.0,
7,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],44,Knows of,Evelina Harp,Severine Milk's Parishioners,0,The Plague of Doves,7,8.0,
8,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],51,Knows,Evelina Harp,Geraldine Milk,1,The Plague of Doves,8,9.0,
9,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],52,Knows of,Evelina Harp,"""[Y]oung man on a passenger train""",0,The Plague of Doves,9,9.0,
10,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],55,Knows,Evelina Harp,Uncle Whitey,1,The Plague of Doves,8,9.0,
11,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],56,Knows of,Evelina Harp,"""Haskell Indian Princess""",0,The Plague of Doves,9,9.0,
12,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],58,Knows of,Evelina Harp,"""[S]mall town stripper""",0,The Plague of Doves,9,9.0,
13,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],63,Knows of,Evelina Harp,John Wildstrand,0,The Plague of Doves,9,9.0,
14,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],64,Knows,Evelina Harp,Neve Harp,0,The Plague of Doves,8,9.0,
15,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],65,Knows of,Evelina Harp,Maggie Peace,0,The Plague of Doves,9,9.0,
16,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],67,Knows of,Evelina Harp,Octave Harp,0,The Plague of Doves,8,9.0,
17,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],68,Knows of,Evelina Harp,Woman (Octave drowned himself over),0,The Plague of Doves,9,9.0,
18,30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],70,Knows,Evelina Harp,Corwin Peace,1,The Million Names,9,9.0,
19,30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],72,Exchange,Evelina Harp,Other Children (in school with Evelina),1,The Million Names,10,10.0,
20,30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],76,Knows,Evelina Harp,Clemence Harp,1,The Million Names,10,10.0,
21,30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],77,Knows,Evelina Harp,Edward Harp,1,The Million Names,10,10.0,
22,30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],80,Knows,Evelina Harp,Clemence Harp,1,The Million Names,11,11.0,
23,30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],82,Exchange,Evelina Harp,Seraph Milk (Mooshum),1,The Million Names,11,11.0,
24,30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],84,Knows of,Evelina Harp,Edward's Students,0,The Million Names,11,11.0,
25,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,85,Knows,Evelina Harp,Junesse Malaterre,1,Apparition,11,11.0,
26,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,88,Knows,Evelina Harp,Junesse Malaterre,1,Apparition,12,12.0,
27,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,89,Knows of,Evelina Harp,French Voyageur,0,Apparition,12,12.0,
28,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,94,Knows,Evelina Harp,Joseph Harp,1,Apparition,12,12.0,
29,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,95,Knows,Evelina Harp,Edward Harp,1,Apparition,12,12.0,
30,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,99,Knows of,Evelina Harp,Junesse's Aunt,0,Apparition,12,12.0,
31,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,100,Knows of,Evelina Harp,Severine Milk,0,Apparition,12,12.0,
32,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,102,Knows of,Evelina Harp,Junesse's six younger cousins,0,Apparition,12,12.0,
33,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,106,Knows,Evelina Harp,Junesse Malaterre,1,Apparition,13,13.0,
34,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],107,Exchange,Evelina Harp,Off-Reservation Dentist,1,The Burning Glare,13,13.0,
35,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],110,Exchange,Evelina Harp,Corwin Peace,1,The Burning Glare,14,14.0,
36,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],112,Knows,Evelina Harp,Other Children (in school with Evelina),1,The Burning Glare,14,14.0,
37,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],113,Knows of,Evelina Harp,Christ,0,The Burning Glare,14,14.0,
38,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],114,Exchange,Evelina Harp,Clemence Harp,1,The Burning Glare,15,15.0,
39,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],115,Knows of,Evelina Harp,Jackie Kennedy,0,The Burning Glare,15,15.0,
40,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],116,Knows of,Evelina Harp,Christ,0,The Burning Glare,15,15.0,
41,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,119,Knows,Evelina Harp,Seraph Milk (Mooshum),1,Mustache Maude,15,15.0,
42,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,120,Knows,Evelina Harp,Junesse Malaterre,1,Mustache Maude,15,15.0,
