source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
238,237,"""Dakota...Town Site Company"" Members",Frank Harp,Directed,1,297,Exchange
21,20,"""Haskell Indian Princess""",Uncle Whitey,Directed,1,9,Exchange
42,34,"""Mustache"" Maude Black",Junesse Malaterre,Directed,1,16,Exchange
42,34,"""Mustache"" Maude Black",Junesse Malaterre,Directed,1,17,Exchange
42,34,"""Mustache"" Maude Black",Junesse Malaterre,Directed,1,18,Exchange
42,73,"""Mustache"" Maude Black",Man (who Ott shot in the leg),Directed,1,18,Exchange
42,72,"""Mustache"" Maude Black",Neighbours (of Maude Black),Directed,1,17,Exchange
42,72,"""Mustache"" Maude Black",Neighbours (of Maude Black),Directed,1,18,Exchange
42,43,"""Mustache"" Maude Black",Ott Black,Directed,1,18,Exchange
42,15,"""Mustache"" Maude Black",Seraph Milk (Mooshum),Directed,1,16,Exchange
42,15,"""Mustache"" Maude Black",Seraph Milk (Mooshum),Directed,1,17,Exchange
42,15,"""Mustache"" Maude Black",Seraph Milk (Mooshum),Directed,1,18,Exchange
83,51,"""[E]ight retired persons""",Billy Peace,Directed,1,149,Exchange
77,5,"""[P]eople"" (praying over Ed's mother)",Marn Wolde,Directed,1,145,Exchange
58,51,"""[S]inging people""",Billy Peace,Directed,1,141,Exchange
58,51,"""[S]inging people""",Billy Peace,Directed,1,142,Exchange
58,51,"""[S]inging people""",Billy Peace,Directed,1,143,Exchange
58,51,"""[S]inging people""",Billy Peace,Directed,1,144,Exchange
58,5,"""[S]inging people""",Marn Wolde,Directed,1,141,Exchange
23,20,"""[S]mall town stripper""",Uncle Whitey,Directed,1,9,Exchange
123,5,"""[W]aitress"" (at the 4-B's)",Marn Wolde,Directed,1,165,Exchange
22,19,"""[Y]oung man on a passenger train""",Geraldine Milk,Directed,1,9,Exchange
311,26,"""doctor"" (Wildstrand took Neve to)",John Wildstrand,Directed,1,127,Exchange
311,27,"""doctor"" (Wildstrand took Neve to)",Neve Harp,Directed,1,127,Exchange
320,31,"""manager"" (of a music store)",Corwin Peace,Directed,1,208,Exchange
318,61,"""nun"" (pg. 204)",Shamengwa Milk,Directed,1,204,Exchange
327,103,"""people"" (at Shamengwa's funeral)",Father Cassidy,Directed,1,212,Exchange
327,4,"""people"" (at Shamengwa's funeral)",Judge Antone Bazil Coutts,Directed,1,210,Exchange
324,31,"""people"" (in the food court)",Corwin Peace,Directed,1,208,Exchange
324,31,"""people"" (in the food court)",Corwin Peace,Directed,1,209,Exchange
321,31,"""people"" (pg. 208)",Corwin Peace,Directed,1,208,Exchange
310,27,"""police"" (with Neve)",Neve Harp,Directed,1,126,Exchange
310,27,"""police"" (with Neve)",Neve Harp,Directed,1,134,Exchange
48,47,Asiginak,Cuthbert Peace,Directed,1,61,Exchange
48,47,Asiginak,Cuthbert Peace,Directed,1,62,Exchange
48,47,Asiginak,Cuthbert Peace,Directed,1,63,Exchange
48,47,Asiginak,Cuthbert Peace,Directed,1,70,Exchange
48,47,Asiginak,Cuthbert Peace,Directed,1,74,Exchange
48,47,Asiginak,Cuthbert Peace,Directed,1,75,Exchange
