id,Label 
116,"""[A] congressional member"""
172,"""[B]lue blood Scots"""
83,"""[E]ight retired persons"""
114,"""[L]awyer"" (Billy hires)"
229,"""[L]ocal boy"" (whose hand was amputated)"
190,"""[L]ocal poets and hippies"" (Evelina lives with)"
110,"""[M]ixed-bloods"""
115,"""[P]eople"" (in Marn's house)"
77,"""[P]eople"" (praying over Ed's mother)"
58,"""[S]inging people"""
23,"""[S]mall town stripper"""
216,"""[T]wo...Vallient boys"" (in Edward's class)"
123,"""[W]aitress"" (at the 4-B's)"
181,"""[W]hite girls"" (Evelina knows)"
22,"""[Y]oung man on a passenger train"""
184,"""AIM-looking boyfriends"""
280,"""citizens of Argus"""
319,"""cop"" (in Corwin's favourite movie)"
238,"""Dakota...Town Site Company"" Members"
311,"""doctor"" (Wildstrand took Neve to)"
309,"""farmer"" (pulled Neve from a ditch)"
352,"""four men"" (deserted B.J.)"
21,"""Haskell Indian Princess"""
183,"""Indian women"" (on campus)"
111,"""Indians"""
350,"""local doctor"" (Ginimoshe assisted)"
320,"""manager"" (of a music store)"
323,"""musician"" (pg. 208)"
42,"""Mustache"" Maude Black"
318,"""nun"" (pg. 204)"
355,"""patients"" (of the local doctor)"
337,"""patron"" (pg. 276)"
327,"""people"" (at Shamengwa's funeral)"
324,"""people"" (in the food court)"
321,"""people"" (pg. 208)"
310,"""police"" (with Neve)"
305,"""robber"" (held John up)"
345,"""roommate"" (of Judge Coutts' Mother)"
171,"""The great chiefs"""
322,"""woman"" (pg. 208)"
283,"""youth"" (of St. Anthony)"
0,[NULL]
24,"Agathe (""Happy"")"
166,Albert Camus
356,Alexander the Great
188,Anaïs Nin
127,Anguish
242,Apollo
186,Arthur Rimbaud
48,Asiginak
243,Athena
144,Aunt (who worked in Canada)
351,B.J. Bolt
146,Babies
101,Baby (who the Milk family lost)
255,Bank Robbers
222,Benjamin Franklin
39,Beryl Hoop
51,Billy Peace
80,Billy Peace's Father
306,Billy Peace's Grandfather
308,Billy Peace's Grandmother
81,Billy Peace's Mother
125,Bliss
179,Bob Dylan
307,Bonnie
268,Brazilian Woman's Son
358,Caius Caesar
336,Candy
233,Card-Playing Groups
170,Charles Berlitz
211,Charlie Chaplin
87,Chief Gall
232,Church Society
16,Clemence Harp
113,Clemence's Doctor
153,Colonel Benton Lungsford
291,Colonel LeVinne P. Poolcaugh
252,Cordelia's First Husband
251,Cordelia's Nurse
246,Cordelia's Older Sister
250,Cordelia's Patients
338,Cordelia's Receptionist
313,Corwin (Billy's best buddy)
31,Corwin Peace
314,Corwin Peace's Girlfriends
325,Corwin's Probation Officer
169,Customers at The 4-B's
267,Customs Officials
47,Cuthbert Peace
271,Dealer in London
124,Deborah
126,Deborah's children
360,Democritas
74,Doctor (who Maude sent for)
6,Doctor Cordelia Lochren
210,Doctors (at the state mental hospital)
285,Dorea Ann Swivel
354,Dorea's Husband
201,Dwight Eisenhower
165,Earl
59,"Ed (""[M]ain preacher"")"
76,Ed's Mother
315,Edward Curtis
18,Edward Harp
33,Edward's Students
249,Electa and Tobek's Parents
151,Electa Hoag
67,Emil Buckendorf
292,Emil Buckendorf's First Brother
293,Emil Buckendorf's Second Brother
294,Emil Buckendorf's Third Brother
160,Enery Mantle
298,English Bill
342,Epictetus
44,Erling Nicolai Rolfsrud
66,Eugene Wildstrand
105,Evelina and Joseph's Friends
107,Evelina and Joseph's Other Cousins
3,Evelina Harp
14,Evelina's Ancestors
139,Evelina's Former Teachers
189,Evelina's friends (in Grand Forks)
108,Evelina's Girlfriends
185,Evelina's Roommate
147,Farm Women
239,Farmers (who shipped their harvests by train)
150,Farmers (who watched the lynching party)
