source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
,,,,,,,
490.0,229.0,Doctor Cordelia Lochren,"""[L]ocal boy"" (whose hand was amputated)",Directed,1.0,295.0,Knows of
,,,,,,,
490.0,233.0,Doctor Cordelia Lochren,Card-Playing Groups,Directed,1.0,295.0,Knows of
490.0,232.0,Doctor Cordelia Lochren,Church Society,Directed,1.0,295.0,Knows of
,,,,,,,
490.0,231.0,Doctor Cordelia Lochren,Hobby Club Members,Directed,1.0,295.0,Knows of
490.0,228.0,Doctor Cordelia Lochren,Priest (in Pluto),Directed,1.0,295.0,Knows of
490.0,230.0,Doctor Cordelia Lochren,Town Council,Directed,1.0,295.0,Knows of
,,,,,,,
238.0,237.0,"""Dakota...Town Site Company"" Members",Frank Harp,Directed,1.0,296.0,Knows
490.0,238.0,Doctor Cordelia Lochren,"""Dakota...Town Site Company"" Members",Directed,1.0,296.0,Knows of
490.0,239.0,Doctor Cordelia Lochren,Farmers (who shipped their harvests by train),Directed,1.0,296.0,Knows of
490.0,237.0,Doctor Cordelia Lochren,Frank Harp,Directed,1.0,296.0,Knows of
490.0,235.0,Doctor Cordelia Lochren,Husbands (of Young Mothers),Directed,1.0,296.0,Knows of
490.0,27.0,Doctor Cordelia Lochren,Neve Harp,Directed,1.0,296.0,Knows
490.0,234.0,Doctor Cordelia Lochren,Young Mothers,Directed,1.0,296.0,Knows of
237.0,238.0,Frank Harp,"""Dakota...Town Site Company"" Members",Directed,1.0,296.0,Knows
237.0,27.0,Frank Harp,Neve Harp,Directed,1.0,296.0,Knows
235.0,234.0,Husbands (of Young Mothers),Young Mothers,Directed,1.0,296.0,Knows
27.0,490.0,Neve Harp,Doctor Cordelia Lochren,Directed,1.0,296.0,Knows
27.0,237.0,Neve Harp,Frank Harp,Directed,1.0,296.0,Knows
234.0,235.0,Young Mothers,Husbands (of Young Mothers),Directed,1.0,296.0,Knows
234.0,234.0,Young Mothers,Young Mothers,Directed,1.0,296.0,Exchange
238.0,242.0,"""Dakota...Town Site Company"" Members",Apollo,Directed,1.0,297.0,Knows of
