id,Label 
337,"""patron"" (pg. 276)"
345,"""roommate"" (of Judge Coutts' Mother)"
336,Candy
250,Cordelia's Patients
338,Cordelia's Receptionist
6,Doctor Cordelia Lochren
342,Epictetus
19,Geraldine Milk
60,God
334,Gottschalk
335,Henry David Thoreau
279,Joseph J. Coutts
301,Joseph J. Coutts' Wife
4,Judge Antone Bazil Coutts
281,Judge Coutts' Father
225,Judge Coutts' Mother
341,Lucretius
176,Marcus Aurelius
346,Old Folks
343,Plotinus
344,Real Estate Agent
339,Ted Bursap
348,Ted Bursap's Crew
340,Ted Bursap's Dead Wife
347,William Jennings Bryan
