source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
6,4,Doctor Cordelia Lochren,Judge Antone Bazil Coutts,Directed,1,274,Knows
4,6,Judge Antone Bazil Coutts,Doctor Cordelia Lochren,Directed,1,274,Knows
4,225,Judge Antone Bazil Coutts,Judge Coutts' Mother,Directed,1,274,Exchange
225,4,Judge Coutts' Mother,Judge Antone Bazil Coutts,Directed,1,274,Exchange
334,279,Gottschalk,Joseph J. Coutts,Directed,1,275,Knows of
334,4,Gottschalk,Judge Antone Bazil Coutts,Directed,1,275,Exchange
279,301,Joseph J. Coutts,Joseph J. Coutts' Wife,Directed,1,275,Knows
301,279,Joseph J. Coutts' Wife,Joseph J. Coutts,Directed,1,275,Knows
4,60,Judge Antone Bazil Coutts,God,Directed,1,275,Knows of
4,334,Judge Antone Bazil Coutts,Gottschalk,Directed,1,275,Exchange
4,335,Judge Antone Bazil Coutts,Henry David Thoreau,Directed,1,275,Knows of
4,279,Judge Antone Bazil Coutts,Joseph J. Coutts,Directed,1,275,Knows
4,301,Judge Antone Bazil Coutts,Joseph J. Coutts' Wife,Directed,1,275,Knows
4,281,Judge Antone Bazil Coutts,Judge Coutts' Father,Directed,1,275,Knows
4,225,Judge Antone Bazil Coutts,Judge Coutts' Mother,Directed,1,275,Knows
281,60,Judge Coutts' Father,God,Directed,1,275,Knows of
281,335,Judge Coutts' Father,Henry David Thoreau,Directed,1,275,Knows of
281,4,Judge Coutts' Father,Judge Antone Bazil Coutts,Directed,1,275,Knows
225,4,Judge Coutts' Mother,Judge Antone Bazil Coutts,Directed,1,275,Knows
337,336,"""patron"" (pg. 276)",Candy,Directed,1,276,Knows
337,4,"""patron"" (pg. 276)",Judge Antone Bazil Coutts,Directed,1,276,Knows
336,337,Candy,"""patron"" (pg. 276)",Directed,1,276,Knows
336,4,Candy,Judge Antone Bazil Coutts,Directed,1,276,Knows
6,4,Doctor Cordelia Lochren,Judge Antone Bazil Coutts,Directed,1,276,Knows
334,4,Gottschalk,Judge Antone Bazil Coutts,Directed,1,276,Exchange
4,337,Judge Antone Bazil Coutts,"""patron"" (pg. 276)",Directed,1,276,Knows
4,336,Judge Antone Bazil Coutts,Candy,Directed,1,276,Knows
4,6,Judge Antone Bazil Coutts,Doctor Cordelia Lochren,Directed,1,276,Knows
4,334,Judge Antone Bazil Coutts,Gottschalk,Directed,1,276,Exchange
336,4,Candy,Judge Antone Bazil Coutts,Directed,1,277,Knows
6,4,Doctor Cordelia Lochren,Judge Antone Bazil Coutts,Directed,1,277,Knows
334,4,Gottschalk,Judge Antone Bazil Coutts,Directed,1,277,Knows
4,336,Judge Antone Bazil Coutts,Candy,Directed,1,277,Knows
4,6,Judge Antone Bazil Coutts,Doctor Cordelia Lochren,Directed,1,277,Knows
4,334,Judge Antone Bazil Coutts,Gottschalk,Directed,1,277,Knows
4,281,Judge Antone Bazil Coutts,Judge Coutts' Father,Directed,1,277,Knows
4,225,Judge Antone Bazil Coutts,Judge Coutts' Mother,Directed,1,277,Knows
281,4,Judge Coutts' Father,Judge Antone Bazil Coutts,Directed,1,277,Knows
281,225,Judge Coutts' Father,Judge Coutts' Mother,Directed,1,277,Knows
225,4,Judge Coutts' Mother,Judge Antone Bazil Coutts,Directed,1,277,Knows
225,281,Judge Coutts' Mother,Judge Coutts' Father,Directed,1,277,Knows
6,4,Doctor Cordelia Lochren,Judge Antone Bazil Coutts,Directed,1,278,Knows
6,225,Doctor Cordelia Lochren,Judge Coutts' Mother,Directed,1,278,Knows
4,6,Judge Antone Bazil Coutts,Doctor Cordelia Lochren,Directed,1,278,Knows
4,225,Judge Antone Bazil Coutts,Judge Coutts' Mother,Directed,1,278,Exchange
225,6,Judge Coutts' Mother,Doctor Cordelia Lochren,Directed,1,278,Knows
225,4,Judge Coutts' Mother,Judge Antone Bazil Coutts,Directed,1,278,Exchange
338,6,Cordelia's Receptionist,Doctor Cordelia Lochren,Directed,1,279,Knows
6,338,Doctor Cordelia Lochren,Cordelia's Receptionist,Directed,1,279,Knows
6,4,Doctor Cordelia Lochren,Judge Antone Bazil Coutts,Directed,1,279,Exchange
6,225,Doctor Cordelia Lochren,Judge Coutts' Mother,Directed,1,279,Knows
6,339,Doctor Cordelia Lochren,Ted Bursap,Directed,1,279,Knows
4,338,Judge Antone Bazil Coutts,Cordelia's Receptionist,Directed,1,279,Knows of
4,6,Judge Antone Bazil Coutts,Doctor Cordelia Lochren,Directed,1,279,Exchange
4,225,Judge Antone Bazil Coutts,Judge Coutts' Mother,Directed,1,279,Exchange
4,339,Judge Antone Bazil Coutts,Ted Bursap,Directed,1,279,Knows
225,6,Judge Coutts' Mother,Doctor Cordelia Lochren,Directed,1,279,Knows
225,4,Judge Coutts' Mother,Judge Antone Bazil Coutts,Directed,1,279,Exchange
339,6,Ted Bursap,Doctor Cordelia Lochren,Directed,1,279,Knows
339,4,Ted Bursap,Judge Antone Bazil Coutts,Directed,1,279,Knows
6,4,Doctor Cordelia Lochren,Judge Antone Bazil Coutts,Directed,1,280,Exchange
6,339,Doctor Cordelia Lochren,Ted Bursap,Directed,1,280,Knows
279,281,Joseph J. Coutts,Judge Coutts' Father,Directed,1,280,Knows
4,6,Judge Antone Bazil Coutts,Doctor Cordelia Lochren,Directed,1,280,Exchange
4,342,Judge Antone Bazil Coutts,Epictetus,Directed,1,280,Knows
4,279,Judge Antone Bazil Coutts,Joseph J. Coutts,Directed,1,280,Knows of
4,281,Judge Antone Bazil Coutts,Judge Coutts' Father,Directed,1,280,Knows of
4,225,Judge Antone Bazil Coutts,Judge Coutts' Mother,Directed,1,280,Exchange
4,341,Judge Antone Bazil Coutts,Lucretius,Directed,1,280,Knows
4,176,Judge Antone Bazil Coutts,Marcus Aurelius,Directed,1,280,Knows
4,343,Judge Antone Bazil Coutts,Plotinus,Directed,1,280,Knows
4,339,Judge Antone Bazil Coutts,Ted Bursap,Directed,1,280,Knows
4,340,Judge Antone Bazil Coutts,Ted Bursap's Dead Wife,Directed,1,280,Knows of
