source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
238,242,"""Dakota...Town Site Company"" Members",Apollo,Directed,1,297,Knows of
238,243,"""Dakota...Town Site Company"" Members",Athena,Directed,1,297,Knows of
238,237,"""Dakota...Town Site Company"" Members",Frank Harp,Directed,1,296,Knows
238,237,"""Dakota...Town Site Company"" Members",Frank Harp,Directed,1,297,Exchange
238,241,"""Dakota...Town Site Company"" Members",Neptune,Directed,1,297,Knows of
238,245,"""Dakota...Town Site Company"" Members",Pluto,Directed,1,297,Knows of
238,244,"""Dakota...Town Site Company"" Members",Venus,Directed,1,297,Knows of
238,240,"""Dakota...Town Site Company"" Members",Zeus,Directed,1,297,Knows of
23,165,"""[S]mall town stripper""",Earl,Directed,1,295,Knows
48,49,Asiginak,The Lochren Murder,Directed,1,307,Knows of
48,50,Asiginak,The Lynching,Directed,1,307,Knows
48,50,Asiginak,The Lynching,Directed,1,308,Knows
51,27,Billy Peace,Neve Harp,Directed,1,299,Knows
51,27,Billy Peace,Neve Harp,Directed,1,305,Exchange
51,117,Billy Peace,The Kindred,Directed,1,305,Knows
268,261,Brazilian Woman's Son,Wealthy Brazilian Woman,Directed,1,304,Knows
252,6,Cordelia's First Husband,Doctor Cordelia Lochren,Directed,1,299,Knows
251,6,Cordelia's Nurse,Doctor Cordelia Lochren,Directed,1,298,Knows
246,6,Cordelia's Older Sister,Doctor Cordelia Lochren,Directed,1,297,Knows
246,152,Cordelia's Older Sister,Tobek Hess,Directed,1,297,Knows
250,6,Cordelia's Patients,Doctor Cordelia Lochren,Directed,1,298,Knows
31,8,Corwin Peace,Warren Wolde,Directed,1,310,Exchange
267,29,Customs Officials,Octave Harp,Directed,1,304,Exchange
47,6,Cuthbert Peace,Doctor Cordelia Lochren,Directed,1,297,Knows
47,6,Cuthbert Peace,Doctor Cordelia Lochren,Directed,1,307,Exchange
47,49,Cuthbert Peace,The Lochren Murder,Directed,1,307,Knows of
47,50,Cuthbert Peace,The Lynching,Directed,1,307,Knows
47,50,Cuthbert Peace,The Lynching,Directed,1,308,Knows
271,29,Dealer in London,Octave Harp,Directed,1,306,Exchange
124,6,Deborah,Doctor Cordelia Lochren,Directed,1,297,Knows
124,152,Deborah,Tobek Hess,Directed,1,298,Knows
6,238,Doctor Cordelia Lochren,"""Dakota...Town Site Company"" Members",Directed,1,296,Knows of
6,238,Doctor Cordelia Lochren,"""Dakota...Town Site Company"" Members",Directed,1,297,Knows of
6,229,Doctor Cordelia Lochren,"""[L]ocal boy"" (whose hand was amputated)",Directed,1,295,Knows of
6,23,Doctor Cordelia Lochren,"""[S]mall town stripper""",Directed,1,295,Knows of
6,242,Doctor Cordelia Lochren,Apollo,Directed,1,297,Knows of
6,48,Doctor Cordelia Lochren,Asiginak,Directed,1,307,Knows of
6,48,Doctor Cordelia Lochren,Asiginak,Directed,1,308,Knows of
6,243,Doctor Cordelia Lochren,Athena,Directed,1,297,Knows of
6,255,Doctor Cordelia Lochren,Bank Robbers,Directed,1,300,Knows of
6,222,Doctor Cordelia Lochren,Benjamin Franklin,Directed,1,306,Knows of
6,51,Doctor Cordelia Lochren,Billy Peace,Directed,1,299,Knows of
6,51,Doctor Cordelia Lochren,Billy Peace,Directed,1,305,Knows of
6,268,Doctor Cordelia Lochren,Brazilian Woman's Son,Directed,1,304,Knows of
6,233,Doctor Cordelia Lochren,Card-Playing Groups,Directed,1,295,Knows of
6,232,Doctor Cordelia Lochren,Church Society,Directed,1,295,Knows of
6,252,Doctor Cordelia Lochren,Cordelia's First Husband,Directed,1,299,Knows
6,251,Doctor Cordelia Lochren,Cordelia's Nurse,Directed,1,298,Knows
6,246,Doctor Cordelia Lochren,Cordelia's Older Sister,Directed,1,297,Knows
6,250,Doctor Cordelia Lochren,Cordelia's Patients,Directed,1,298,Knows
6,31,Doctor Cordelia Lochren,Corwin Peace,Directed,1,310,Knows of
6,267,Doctor Cordelia Lochren,Customs Officials,Directed,1,304,Knows of
6,47,Doctor Cordelia Lochren,Cuthbert Peace,Directed,1,297,Knows
6,47,Doctor Cordelia Lochren,Cuthbert Peace,Directed,1,307,Exchange
6,47,Doctor Cordelia Lochren,Cuthbert Peace,Directed,1,308,Knows of
6,271,Doctor Cordelia Lochren,Dealer in London,Directed,1,306,Knows of
6,124,Doctor Cordelia Lochren,Deborah,Directed,1,297,Knows
6,124,Doctor Cordelia Lochren,Deborah,Directed,1,298,Knows of
6,165,Doctor Cordelia Lochren,Earl,Directed,1,295,Knows of
6,165,Doctor Cordelia Lochren,Earl,Directed,1,302,Exchange
6,18,Doctor Cordelia Lochren,Edward Harp,Directed,1,300,Knows of
6,18,Doctor Cordelia Lochren,Edward Harp,Directed,1,301,Knows of
6,18,Doctor Cordelia Lochren,Edward Harp,Directed,1,303,Knows of
6,18,Doctor Cordelia Lochren,Edward Harp,Directed,1,306,Knows of
6,151,Doctor Cordelia Lochren,Electa Hoag,Directed,1,298,Knows
6,151,Doctor Cordelia Lochren,Electa Hoag,Directed,1,307,Exchange
6,249,Doctor Cordelia Lochren,Electa and Tobek's Parents,Directed,1,298,Knows of
6,239,Doctor Cordelia Lochren,Farmers (who shipped their harvests by train),Directed,1,296,Knows of
6,239,Doctor Cordelia Lochren,Farmers (who shipped their harvests by train),Directed,1,297,Knows of
6,256,Doctor Cordelia Lochren,Frank Baptist,Directed,1,301,Knows of
6,256,Doctor Cordelia Lochren,Frank Baptist,Directed,1,304,Knows of
6,237,Doctor Cordelia Lochren,Frank Harp,Directed,1,296,Knows of
6,237,Doctor Cordelia Lochren,Frank Harp,Directed,1,297,Knows of
6,60,Doctor Cordelia Lochren,God,Directed,1,301,Knows of
6,263,Doctor Cordelia Lochren,Herodotus,Directed,1,303,Knows of
6,231,Doctor Cordelia Lochren,Hobby Club Members,Directed,1,295,Knows of
6,46,Doctor Cordelia Lochren,Holy Track,Directed,1,297,Knows
6,46,Doctor Cordelia Lochren,Holy Track,Directed,1,307,Knows of
6,46,Doctor Cordelia Lochren,Holy Track,Directed,1,308,Knows of
6,235,Doctor Cordelia Lochren,Husbands (of Young Mothers),Directed,1,296,Knows of
6,41,Doctor Cordelia Lochren,Jackie Kennedy,Directed,1,302,Knows of
6,92,Doctor Cordelia Lochren,John F. Kennedy,Directed,1,302,Knows of
