source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
184.0,183.0,"""AIM-looking boyfriends""","""Indian women"" (on campus)",Directed,1.0,222.0,Knows
183.0,184.0,"""Indian women"" (on campus)","""AIM-looking boyfriends""",Directed,1.0,222.0,Knows
183.0,3.0,"""Indian women"" (on campus)",Evelina Harp,Directed,1.0,222.0,Knows
190.0,3.0,"""[L]ocal poets and hippies"" (Evelina lives with)",Evelina Harp,Directed,1.0,224.0,Knows
190.0,3.0,"""[L]ocal poets and hippies"" (Evelina lives with)",Evelina Harp,Directed,1.0,235.0,Knows
181.0,3.0,"""[W]hite girls"" (Evelina knows)",Evelina Harp,Directed,1.0,222.0,Knows
181.0,182.0,"""[W]hite girls"" (Evelina knows)",Joni Mitchell,Directed,1.0,222.0,Knows of
48.0,67.0,Asiginak,Emil Buckendorf,Directed,1.0,243.0,Exchange
48.0,292.0,Asiginak,Emil Buckendorf's First Brother,Directed,1.0,243.0,Exchange
48.0,293.0,Asiginak,Emil Buckendorf's Second Brother,Directed,1.0,243.0,Exchange
48.0,294.0,Asiginak,Emil Buckendorf's Third Brother,Directed,1.0,243.0,Exchange
48.0,160.0,Asiginak,Enery Mantle,Directed,1.0,243.0,Exchange
48.0,66.0,Asiginak,Eugene Wildstrand,Directed,1.0,243.0,Exchange
48.0,63.0,Asiginak,Frederic Vogeli,Directed,1.0,243.0,Exchange
48.0,159.0,Asiginak,Henric Gostlin,Directed,1.0,243.0,Exchange
48.0,50.0,Asiginak,The Lynching,Directed,1.0,243.0,Knows
48.0,157.0,Asiginak,Townsmen (involved in the lynching),Directed,1.0,243.0,Exchange
48.0,68.0,Asiginak,William Hotchkiss,Directed,1.0,243.0,Exchange
51.0,31.0,Billy Peace,Corwin Peace,Directed,1.0,245.0,Knows
51.0,212.0,Billy Peace,Mantle Family,Directed,1.0,243.0,Knows
51.0,117.0,Billy Peace,The Kindred,Directed,1.0,243.0,Knows
51.0,117.0,Billy Peace,The Kindred,Directed,1.0,245.0,Knows
51.0,362.0,Billy Peace,Unknown Buckendorf,Directed,1.0,243.0,Knows
16.0,18.0,Clemence Harp,Edward Harp,Directed,1.0,221.0,Knows
16.0,18.0,Clemence Harp,Edward Harp,Directed,1.0,222.0,Knows
16.0,18.0,Clemence Harp,Edward Harp,Directed,1.0,242.0,Knows
16.0,18.0,Clemence Harp,Edward Harp,Directed,1.0,243.0,Knows
16.0,3.0,Clemence Harp,Evelina Harp,Directed,1.0,221.0,Knows
16.0,3.0,Clemence Harp,Evelina Harp,Directed,1.0,222.0,Exchange
16.0,3.0,Clemence Harp,Evelina Harp,Directed,1.0,223.0,Knows
16.0,3.0,Clemence Harp,Evelina Harp,Directed,1.0,235.0,Knows
16.0,3.0,Clemence Harp,Evelina Harp,Directed,1.0,240.0,Exchange
16.0,3.0,Clemence Harp,Evelina Harp,Directed,1.0,241.0,Exchange
16.0,3.0,Clemence Harp,Evelina Harp,Directed,1.0,242.0,Exchange
16.0,3.0,Clemence Harp,Evelina Harp,Directed,1.0,243.0,Exchange
16.0,3.0,Clemence Harp,Evelina Harp,Directed,1.0,248.0,Exchange
16.0,196.0,Clemence Harp,Mrs. L,Directed,1.0,240.0,Exchange
16.0,15.0,Clemence Harp,Seraph Milk (Mooshum),Directed,1.0,243.0,Knows
16.0,15.0,Clemence Harp,Seraph Milk (Mooshum),Directed,1.0,248.0,Exchange
31.0,188.0,Corwin Peace,Anaïs Nin,Directed,1.0,223.0,Knows of
31.0,51.0,Corwin Peace,Billy Peace,Directed,1.0,245.0,Knows
31.0,47.0,Corwin Peace,Cuthbert Peace,Directed,1.0,243.0,Knows
31.0,3.0,Corwin Peace,Evelina Harp,Directed,1.0,223.0,Exchange
31.0,3.0,Corwin Peace,Evelina Harp,Directed,1.0,224.0,Knows
31.0,3.0,Corwin Peace,Evelina Harp,Directed,1.0,225.0,Exchange
31.0,3.0,Corwin Peace,Evelina Harp,Directed,1.0,235.0,Exchange
31.0,3.0,Corwin Peace,Evelina Harp,Directed,1.0,243.0,Knows
31.0,3.0,Corwin Peace,Evelina Harp,Directed,1.0,244.0,Exchange
31.0,3.0,Corwin Peace,Evelina Harp,Directed,1.0,245.0,Exchange
31.0,3.0,Corwin Peace,Evelina Harp,Directed,1.0,246.0,Exchange
31.0,3.0,Corwin Peace,Evelina Harp,Directed,1.0,247.0,Exchange
31.0,3.0,Corwin Peace,Evelina Harp,Directed,1.0,248.0,Exchange
31.0,189.0,Corwin Peace,Evelina's friends (in Grand Forks),Directed,1.0,224.0,Knows
31.0,19.0,Corwin Peace,Geraldine Milk,Directed,1.0,244.0,Exchange
31.0,19.0,Corwin Peace,Geraldine Milk,Directed,1.0,247.0,Knows
31.0,4.0,Corwin Peace,Judge Antone Bazil Coutts,Directed,1.0,247.0,Knows
31.0,202.0,Corwin Peace,Lucille,Directed,1.0,245.0,Exchange
31.0,28.0,Corwin Peace,Maggie Peace,Directed,1.0,245.0,Knows
31.0,204.0,Corwin Peace,Nonette,Directed,1.0,247.0,Knows of
31.0,200.0,Corwin Peace,Nurses (at the state mental hospital),Directed,1.0,245.0,Exchange
31.0,200.0,Corwin Peace,Nurses (at the state mental hospital),Directed,1.0,246.0,Exchange
31.0,199.0,Corwin Peace,Patients (at the state mental hospital),Directed,1.0,245.0,Exchange
31.0,199.0,Corwin Peace,Patients (at the state mental hospital),Directed,1.0,246.0,Exchange
31.0,61.0,Corwin Peace,Shamengwa Milk,Directed,1.0,224.0,Exchange
31.0,8.0,Corwin Peace,Warren Wolde,Directed,1.0,245.0,Exchange
31.0,8.0,Corwin Peace,Warren Wolde,Directed,1.0,246.0,Exchange
47.0,31.0,Cuthbert Peace,Corwin Peace,Directed,1.0,243.0,Knows
47.0,67.0,Cuthbert Peace,Emil Buckendorf,Directed,1.0,243.0,Exchange
47.0,292.0,Cuthbert Peace,Emil Buckendorf's First Brother,Directed,1.0,243.0,Exchange
47.0,293.0,Cuthbert Peace,Emil Buckendorf's Second Brother,Directed,1.0,243.0,Exchange
47.0,294.0,Cuthbert Peace,Emil Buckendorf's Third Brother,Directed,1.0,243.0,Exchange
47.0,160.0,Cuthbert Peace,Enery Mantle,Directed,1.0,243.0,Exchange
47.0,66.0,Cuthbert Peace,Eugene Wildstrand,Directed,1.0,243.0,Exchange
