source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
352,351,"""four men"" (deserted B.J.)",B.J. Bolt,Directed,1,110,Knows
350,355,"""local doctor"" (Ginimoshe assisted)","""patients"" (of the local doctor)",Directed,1,112,Knows
350,298,"""local doctor"" (Ginimoshe assisted)",English Bill,Directed,1,104,Knows of
350,349,"""local doctor"" (Ginimoshe assisted)",Ginimoshe,Directed,1,105,Knows
350,349,"""local doctor"" (Ginimoshe assisted)",Ginimoshe,Directed,1,107,Knows
350,349,"""local doctor"" (Ginimoshe assisted)",Ginimoshe,Directed,1,112,Knows
350,7,"""local doctor"" (Ginimoshe assisted)",Henri Peace,Directed,1,107,Knows
350,279,"""local doctor"" (Ginimoshe assisted)",Joseph J. Coutts,Directed,1,105,Knows of
350,279,"""local doctor"" (Ginimoshe assisted)",Joseph J. Coutts,Directed,1,112,Knows
350,278,"""local doctor"" (Ginimoshe assisted)",Lafayette Peace,Directed,1,107,Knows
355,350,"""patients"" (of the local doctor)","""local doctor"" (Ginimoshe assisted)",Directed,1,112,Knows
355,349,"""patients"" (of the local doctor)",Ginimoshe,Directed,1,112,Knows
355,279,"""patients"" (of the local doctor)",Joseph J. Coutts,Directed,1,112,Knows
283,279,"""youth"" (of St. Anthony)",Joseph J. Coutts,Directed,1,96,Knows
283,176,"""youth"" (of St. Anthony)",Marcus Aurelius,Directed,1,96,Knows of
283,284,"""youth"" (of St. Anthony)",St. Anthony,Directed,1,96,Knows of
351,352,B.J. Bolt,"""four men"" (deserted B.J.)",Directed,1,110,Knows
351,291,B.J. Bolt,Colonel LeVinne P. Poolcaugh,Directed,1,112,Knows
351,67,B.J. Bolt,Emil Buckendorf,Directed,1,106,Knows
351,67,B.J. Bolt,Emil Buckendorf,Directed,1,108,Knows
351,67,B.J. Bolt,Emil Buckendorf,Directed,1,110,Knows
351,292,B.J. Bolt,Emil Buckendorf's First Brother,Directed,1,106,Knows
351,292,B.J. Bolt,Emil Buckendorf's First Brother,Directed,1,108,Knows
351,292,B.J. Bolt,Emil Buckendorf's First Brother,Directed,1,110,Knows
351,292,B.J. Bolt,Emil Buckendorf's First Brother,Directed,1,112,Knows
351,293,B.J. Bolt,Emil Buckendorf's Second Brother,Directed,1,106,Knows
351,293,B.J. Bolt,Emil Buckendorf's Second Brother,Directed,1,108,Knows
351,293,B.J. Bolt,Emil Buckendorf's Second Brother,Directed,1,110,Knows
351,293,B.J. Bolt,Emil Buckendorf's Second Brother,Directed,1,112,Knows
351,294,B.J. Bolt,Emil Buckendorf's Third Brother,Directed,1,106,Knows
351,294,B.J. Bolt,Emil Buckendorf's Third Brother,Directed,1,108,Knows
351,294,B.J. Bolt,Emil Buckendorf's Third Brother,Directed,1,110,Knows
351,294,B.J. Bolt,Emil Buckendorf's Third Brother,Directed,1,112,Knows
351,298,B.J. Bolt,English Bill,Directed,1,106,Knows
351,298,B.J. Bolt,English Bill,Directed,1,108,Knows
351,298,B.J. Bolt,English Bill,Directed,1,110,Knows
351,298,B.J. Bolt,English Bill,Directed,1,112,Knows
351,7,B.J. Bolt,Henri Peace,Directed,1,106,Knows
351,7,B.J. Bolt,Henri Peace,Directed,1,108,Knows
351,7,B.J. Bolt,Henri Peace,Directed,1,110,Knows
351,7,B.J. Bolt,Henri Peace,Directed,1,111,Exchange
351,7,B.J. Bolt,Henri Peace,Directed,1,112,Knows
351,279,B.J. Bolt,Joseph J. Coutts,Directed,1,106,Knows
351,279,B.J. Bolt,Joseph J. Coutts,Directed,1,108,Knows
351,279,B.J. Bolt,Joseph J. Coutts,Directed,1,110,Knows
351,279,B.J. Bolt,Joseph J. Coutts,Directed,1,111,Knows
351,279,B.J. Bolt,Joseph J. Coutts,Directed,1,112,Knows
351,278,B.J. Bolt,Lafayette Peace,Directed,1,106,Knows
351,278,B.J. Bolt,Lafayette Peace,Directed,1,108,Knows
351,278,B.J. Bolt,Lafayette Peace,Directed,1,110,Knows
351,278,B.J. Bolt,Lafayette Peace,Directed,1,111,Exchange
351,278,B.J. Bolt,Lafayette Peace,Directed,1,112,Knows
351,289,B.J. Bolt,Reginald Bull,Directed,1,106,Knows
351,289,B.J. Bolt,Reginald Bull,Directed,1,108,Knows
