source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
184,183,"""AIM-looking boyfriends""","""Indian women"" (on campus)",Directed,1,222,Knows
183,184,"""Indian women"" (on campus)","""AIM-looking boyfriends""",Directed,1,222,Knows
183,3,"""Indian women"" (on campus)",Evelina Harp,Directed,1,222,Knows
190,3,"""[L]ocal poets and hippies"" (Evelina lives with)",Evelina Harp,Directed,1,224,Knows
190,3,"""[L]ocal poets and hippies"" (Evelina lives with)",Evelina Harp,Directed,1,235,Knows
181,3,"""[W]hite girls"" (Evelina knows)",Evelina Harp,Directed,1,222,Knows
181,182,"""[W]hite girls"" (Evelina knows)",Joni Mitchell,Directed,1,222,Knows of
48,67,Asiginak,Emil Buckendorf,Directed,1,243,Exchange
48,292,Asiginak,Emil Buckendorf's First Brother,Directed,1,243,Exchange
48,293,Asiginak,Emil Buckendorf's Second Brother,Directed,1,243,Exchange
48,294,Asiginak,Emil Buckendorf's Third Brother,Directed,1,243,Exchange
48,160,Asiginak,Enery Mantle,Directed,1,243,Exchange
48,66,Asiginak,Eugene Wildstrand,Directed,1,243,Exchange
48,63,Asiginak,Frederic Vogeli,Directed,1,243,Exchange
48,159,Asiginak,Henric Gostlin,Directed,1,243,Exchange
48,50,Asiginak,The Lynching,Directed,1,243,Knows
48,157,Asiginak,Townsmen (involved in the lynching),Directed,1,243,Exchange
48,68,Asiginak,William Hotchkiss,Directed,1,243,Exchange
51,31,Billy Peace,Corwin Peace,Directed,1,245,Knows
51,212,Billy Peace,Mantle Family,Directed,1,243,Knows
51,117,Billy Peace,The Kindred,Directed,1,243,Knows
51,117,Billy Peace,The Kindred,Directed,1,245,Knows
51,362,Billy Peace,Unknown Buckendorf,Directed,1,243,Knows
16,18,Clemence Harp,Edward Harp,Directed,1,221,Knows
16,18,Clemence Harp,Edward Harp,Directed,1,222,Knows
16,18,Clemence Harp,Edward Harp,Directed,1,242,Knows
16,18,Clemence Harp,Edward Harp,Directed,1,243,Knows
16,3,Clemence Harp,Evelina Harp,Directed,1,221,Knows
16,3,Clemence Harp,Evelina Harp,Directed,1,222,Exchange
16,3,Clemence Harp,Evelina Harp,Directed,1,223,Knows
16,3,Clemence Harp,Evelina Harp,Directed,1,235,Knows
16,3,Clemence Harp,Evelina Harp,Directed,1,240,Exchange
16,3,Clemence Harp,Evelina Harp,Directed,1,241,Exchange
16,3,Clemence Harp,Evelina Harp,Directed,1,242,Exchange
16,3,Clemence Harp,Evelina Harp,Directed,1,243,Exchange
16,3,Clemence Harp,Evelina Harp,Directed,1,248,Exchange
16,196,Clemence Harp,Mrs. L,Directed,1,240,Exchange
16,15,Clemence Harp,Seraph Milk (Mooshum),Directed,1,243,Knows
16,15,Clemence Harp,Seraph Milk (Mooshum),Directed,1,248,Exchange
31,188,Corwin Peace,Anaïs Nin,Directed,1,223,Knows of
31,51,Corwin Peace,Billy Peace,Directed,1,245,Knows
31,47,Corwin Peace,Cuthbert Peace,Directed,1,243,Knows
31,3,Corwin Peace,Evelina Harp,Directed,1,223,Exchange
31,3,Corwin Peace,Evelina Harp,Directed,1,224,Knows
31,3,Corwin Peace,Evelina Harp,Directed,1,225,Exchange
31,3,Corwin Peace,Evelina Harp,Directed,1,235,Exchange
31,3,Corwin Peace,Evelina Harp,Directed,1,243,Knows
31,3,Corwin Peace,Evelina Harp,Directed,1,244,Exchange
31,3,Corwin Peace,Evelina Harp,Directed,1,245,Exchange
31,3,Corwin Peace,Evelina Harp,Directed,1,246,Exchange
31,3,Corwin Peace,Evelina Harp,Directed,1,247,Exchange
31,3,Corwin Peace,Evelina Harp,Directed,1,248,Exchange
31,189,Corwin Peace,Evelina's friends (in Grand Forks),Directed,1,224,Knows
31,19,Corwin Peace,Geraldine Milk,Directed,1,244,Exchange
31,19,Corwin Peace,Geraldine Milk,Directed,1,247,Knows
31,4,Corwin Peace,Judge Antone Bazil Coutts,Directed,1,247,Knows
31,202,Corwin Peace,Lucille,Directed,1,245,Exchange
31,28,Corwin Peace,Maggie Peace,Directed,1,245,Knows
31,204,Corwin Peace,Nonette,Directed,1,247,Knows of
31,200,Corwin Peace,Nurses (at the state mental hospital),Directed,1,245,Exchange
31,200,Corwin Peace,Nurses (at the state mental hospital),Directed,1,246,Exchange
31,199,Corwin Peace,Patients (at the state mental hospital),Directed,1,245,Exchange
31,199,Corwin Peace,Patients (at the state mental hospital),Directed,1,246,Exchange
31,61,Corwin Peace,Shamengwa Milk,Directed,1,224,Exchange
31,8,Corwin Peace,Warren Wolde,Directed,1,245,Exchange
31,8,Corwin Peace,Warren Wolde,Directed,1,246,Exchange
47,31,Cuthbert Peace,Corwin Peace,Directed,1,243,Knows
47,67,Cuthbert Peace,Emil Buckendorf,Directed,1,243,Exchange
47,292,Cuthbert Peace,Emil Buckendorf's First Brother,Directed,1,243,Exchange
47,293,Cuthbert Peace,Emil Buckendorf's Second Brother,Directed,1,243,Exchange
47,294,Cuthbert Peace,Emil Buckendorf's Third Brother,Directed,1,243,Exchange
47,160,Cuthbert Peace,Enery Mantle,Directed,1,243,Exchange
47,66,Cuthbert Peace,Eugene Wildstrand,Directed,1,243,Exchange
47,63,Cuthbert Peace,Frederic Vogeli,Directed,1,243,Exchange
47,159,Cuthbert Peace,Henric Gostlin,Directed,1,243,Exchange
47,50,Cuthbert Peace,The Lynching,Directed,1,243,Knows
47,157,Cuthbert Peace,Townsmen (involved in the lynching),Directed,1,243,Exchange
47,68,Cuthbert Peace,William Hotchkiss,Directed,1,243,Exchange
210,3,Doctors (at the state mental hospital),Evelina Harp,Directed,1,234,Knows
210,204,Doctors (at the state mental hospital),Nonette,Directed,1,234,Exchange
18,16,Edward Harp,Clemence Harp,Directed,1,221,Knows
18,16,Edward Harp,Clemence Harp,Directed,1,222,Knows
18,16,Edward Harp,Clemence Harp,Directed,1,242,Knows
18,16,Edward Harp,Clemence Harp,Directed,1,243,Knows
18,3,Edward Harp,Evelina Harp,Directed,1,221,Knows
18,3,Edward Harp,Evelina Harp,Directed,1,222,Exchange
18,3,Edward Harp,Evelina Harp,Directed,1,223,Knows
18,3,Edward Harp,Evelina Harp,Directed,1,235,Knows
18,3,Edward Harp,Evelina Harp,Directed,1,241,Knows
18,3,Edward Harp,Evelina Harp,Directed,1,242,Exchange
18,3,Edward Harp,Evelina Harp,Directed,1,243,Exchange
18,163,Edward Harp,Murdo Harp,Directed,1,243,Knows
67,48,Emil Buckendorf,Asiginak,Directed,1,243,Exchange
67,47,Emil Buckendorf,Cuthbert Peace,Directed,1,243,Exchange
67,292,Emil Buckendorf,Emil Buckendorf's First Brother,Directed,1,243,Knows
