source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
16,3,Clemence Harp,Evelina Harp,Directed,1,51,Knows
31,3,Corwin Peace,Evelina Harp,Directed,1,44,Exchange
31,3,Corwin Peace,Evelina Harp,Directed,1,45,Knows
31,3,Corwin Peace,Evelina Harp,Directed,1,47,Exchange
31,3,Corwin Peace,Evelina Harp,Directed,1,48,Knows
31,3,Corwin Peace,Evelina Harp,Directed,1,49,Exchange
31,3,Corwin Peace,Evelina Harp,Directed,1,51,Exchange
31,3,Corwin Peace,Evelina Harp,Directed,1,52,Exchange
31,32,Corwin Peace,Other Children (in school with Evelina),Directed,1,47,Knows
31,32,Corwin Peace,Other Children (in school with Evelina),Directed,1,48,Exchange
31,32,Corwin Peace,Other Children (in school with Evelina),Directed,1,49,Exchange
31,32,Corwin Peace,Other Children (in school with Evelina),Directed,1,51,Exchange
31,32,Corwin Peace,Other Children (in school with Evelina),Directed,1,52,Exchange
31,135,Corwin Peace,Sister Mary Anita Buckendorf,Directed,1,44,Knows
31,135,Corwin Peace,Sister Mary Anita Buckendorf,Directed,1,47,Knows
31,135,Corwin Peace,Sister Mary Anita Buckendorf,Directed,1,48,Exchange
31,135,Corwin Peace,Sister Mary Anita Buckendorf,Directed,1,49,Exchange
18,3,Edward Harp,Evelina Harp,Directed,1,49,Knows
18,135,Edward Harp,Sister Mary Anita Buckendorf,Directed,1,49,Knows of
3,16,Evelina Harp,Clemence Harp,Directed,1,51,Knows
3,31,Evelina Harp,Corwin Peace,Directed,1,44,Exchange
3,31,Evelina Harp,Corwin Peace,Directed,1,45,Knows
3,31,Evelina Harp,Corwin Peace,Directed,1,47,Exchange
3,31,Evelina Harp,Corwin Peace,Directed,1,48,Knows
3,31,Evelina Harp,Corwin Peace,Directed,1,49,Exchange
3,31,Evelina Harp,Corwin Peace,Directed,1,51,Exchange
3,31,Evelina Harp,Corwin Peace,Directed,1,52,Exchange
3,18,Evelina Harp,Edward Harp,Directed,1,49,Knows
3,67,Evelina Harp,Emil Buckendorf,Directed,1,46,Knows of
3,292,Evelina Harp,Emil Buckendorf's First Brother,Directed,1,46,Knows of
3,293,Evelina Harp,Emil Buckendorf's Second Brother,Directed,1,46,Knows of
3,294,Evelina Harp,Emil Buckendorf's Third Brother,Directed,1,46,Knows of
3,139,Evelina Harp,Evelina's Former Teachers,Directed,1,45,Knows
3,103,Evelina Harp,Father Cassidy,Directed,1,49,Knows
3,60,Evelina Harp,God,Directed,1,47,Exchange
3,60,Evelina Harp,God,Directed,1,50,Knows of
3,17,Evelina Harp,Joseph Harp,Directed,1,44,Knows of
3,136,Evelina Harp,Mary (biblical figure),Directed,1,44,Knows of
3,136,Evelina Harp,Mary (biblical figure),Directed,1,45,Knows of
3,32,Evelina Harp,Other Children (in school with Evelina),Directed,1,44,Knows
3,32,Evelina Harp,Other Children (in school with Evelina),Directed,1,45,Knows
3,32,Evelina Harp,Other Children (in school with Evelina),Directed,1,47,Knows
3,32,Evelina Harp,Other Children (in school with Evelina),Directed,1,48,Exchange
3,32,Evelina Harp,Other Children (in school with Evelina),Directed,1,49,Exchange
3,32,Evelina Harp,Other Children (in school with Evelina),Directed,1,51,Knows
3,32,Evelina Harp,Other Children (in school with Evelina),Directed,1,52,Knows
3,32,Evelina Harp,Other Children (in school with Evelina),Directed,1,53,Knows
3,140,Evelina Harp,Other Teachers (at Evelina's school),Directed,1,48,Knows
3,135,Evelina Harp,Sister Mary Anita Buckendorf,Directed,1,44,Knows
3,135,Evelina Harp,Sister Mary Anita Buckendorf,Directed,1,45,Exchange
3,135,Evelina Harp,Sister Mary Anita Buckendorf,Directed,1,46,Exchange
3,135,Evelina Harp,Sister Mary Anita Buckendorf,Directed,1,47,Knows
3,135,Evelina Harp,Sister Mary Anita Buckendorf,Directed,1,48,Exchange
3,135,Evelina Harp,Sister Mary Anita Buckendorf,Directed,1,49,Exchange
3,135,Evelina Harp,Sister Mary Anita Buckendorf,Directed,1,50,Exchange
3,135,Evelina Harp,Sister Mary Anita Buckendorf,Directed,1,51,Exchange
3,135,Evelina Harp,Sister Mary Anita Buckendorf,Directed,1,52,Exchange
3,135,Evelina Harp,Sister Mary Anita Buckendorf,Directed,1,53,Exchange
3,214,Evelina Harp,Sister Mary Anita's Father,Directed,1,46,Knows of
3,137,Evelina Harp,The Apostles (biblical figures),Directed,1,44,Knows of
3,20,Evelina Harp,Uncle Whitey,Directed,1,49,Knows
3,138,Evelina Harp,Zorro,Directed,1,44,Knows of
139,3,Evelina's Former Teachers,Evelina Harp,Directed,1,45,Knows
139,135,Evelina's Former Teachers,Sister Mary Anita Buckendorf,Directed,1,45,Knows
103,3,Father Cassidy,Evelina Harp,Directed,1,49,Knows
17,32,Joseph Harp,Other Children (in school with Evelina),Directed,1,44,Knows
32,31,Other Children (in school with Evelina),Corwin Peace,Directed,1,47,Knows
32,31,Other Children (in school with Evelina),Corwin Peace,Directed,1,48,Exchange
32,31,Other Children (in school with Evelina),Corwin Peace,Directed,1,49,Exchange
32,31,Other Children (in school with Evelina),Corwin Peace,Directed,1,51,Exchange
32,31,Other Children (in school with Evelina),Corwin Peace,Directed,1,52,Exchange
32,3,Other Children (in school with Evelina),Evelina Harp,Directed,1,44,Knows
32,3,Other Children (in school with Evelina),Evelina Harp,Directed,1,45,Knows
32,3,Other Children (in school with Evelina),Evelina Harp,Directed,1,47,Knows
32,3,Other Children (in school with Evelina),Evelina Harp,Directed,1,48,Exchange
32,3,Other Children (in school with Evelina),Evelina Harp,Directed,1,49,Exchange
32,3,Other Children (in school with Evelina),Evelina Harp,Directed,1,51,Knows
32,3,Other Children (in school with Evelina),Evelina Harp,Directed,1,52,Knows
32,3,Other Children (in school with Evelina),Evelina Harp,Directed,1,53,Knows
32,17,Other Children (in school with Evelina),Joseph Harp,Directed,1,44,Knows
