source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
400,401,Evelina Harp,Evelina's Ancestors,Directed,1,5,Knows of
400,11,Evelina Harp,French Settlers,Directed,1,5,Knows of
400,10,Evelina Harp,German Settlers,Directed,1,5,Knows of
400,12,Evelina Harp,Norwegian Settlers,Directed,1,5,Knows of
400,402,Evelina Harp,Severine Milk,Directed,1,5,Knows of
400,403,Evelina Harp,Severine Milk's Parishioners,Directed,1,5,Knows of
401,11,Evelina's Ancestors,French Settlers,Directed,1,5,Exchange
11,401,French Settlers,Evelina's Ancestors,Directed,1,5,Exchange
10,403,German Settlers,Severine Milk's Parishioners,Directed,1,5,Knows of
12,403,Norwegian Settlers,Severine Milk's Parishioners,Directed,1,5,Knows of
402,403,Severine Milk,Severine Milk's Parishioners,Directed,1,5,Exchange
403,10,Severine Milk's Parishioners,German Settlers,Directed,1,5,Knows of
403,12,Severine Milk's Parishioners,Norwegian Settlers,Directed,1,5,Knows of
403,402,Severine Milk's Parishioners,Severine Milk,Directed,1,5,Exchange
404,400,Clemence Harp,Evelina Harp,Directed,1,6,Knows
404,405,Clemence Harp,Seraph Milk (Mooshum),Directed,1,6,Knows
406,400,Edward Harp,Evelina Harp,Directed,1,6,Knows
406,407,Edward Harp,Joseph Harp,Directed,1,6,Knows
400,404,Evelina Harp,Clemence Harp,Directed,1,6,Knows
400,406,Evelina Harp,Edward Harp,Directed,1,6,Knows
400,407,Evelina Harp,Joseph Harp,Directed,1,6,Knows
400,405,Evelina Harp,Seraph Milk (Mooshum),Directed,1,6,Exchange
400,402,Evelina Harp,Severine Milk,Directed,1,6,Knows of
407,406,Joseph Harp,Edward Harp,Directed,1,6,Knows
407,400,Joseph Harp,Evelina Harp,Directed,1,6,Knows
407,405,Joseph Harp,Seraph Milk (Mooshum),Directed,1,6,Exchange
405,404,Seraph Milk (Mooshum),Clemence Harp,Directed,1,6,Knows
405,400,Seraph Milk (Mooshum),Evelina Harp,Directed,1,6,Exchange
405,407,Seraph Milk (Mooshum),Joseph Harp,Directed,1,6,Exchange
405,402,Seraph Milk (Mooshum),Severine Milk,Directed,1,6,Knows
402,405,Severine Milk,Seraph Milk (Mooshum),Directed,1,6,Knows
404,400,Clemence Harp,Evelina Harp,Directed,1,7,Knows
404,405,Clemence Harp,Seraph Milk (Mooshum),Directed,1,7,Exchange
406,400,Edward Harp,Evelina Harp,Directed,1,7,Knows
406,407,Edward Harp,Joseph Harp,Directed,1,7,Knows
400,404,Evelina Harp,Clemence Harp,Directed,1,7,Knows
400,406,Evelina Harp,Edward Harp,Directed,1,7,Knows
400,407,Evelina Harp,Joseph Harp,Directed,1,7,Knows
400,405,Evelina Harp,Seraph Milk (Mooshum),Directed,1,7,Exchange
400,402,Evelina Harp,Severine Milk,Directed,1,7,Knows of
400,403,Evelina Harp,Severine Milk's Parishioners,Directed,1,7,Knows of
407,406,Joseph Harp,Edward Harp,Directed,1,7,Knows
407,400,Joseph Harp,Evelina Harp,Directed,1,7,Knows
407,405,Joseph Harp,Seraph Milk (Mooshum),Directed,1,7,Exchange
405,404,Seraph Milk (Mooshum),Clemence Harp,Directed,1,7,Exchange
405,400,Seraph Milk (Mooshum),Evelina Harp,Directed,1,7,Exchange
405,407,Seraph Milk (Mooshum),Joseph Harp,Directed,1,7,Exchange
405,402,Seraph Milk (Mooshum),Severine Milk,Directed,1,7,Knows
405,403,Seraph Milk (Mooshum),Severine Milk's Parishioners,Directed,1,7,Knows
402,405,Severine Milk,Seraph Milk (Mooshum),Directed,1,7,Knows
402,403,Severine Milk,Severine Milk's Parishioners,Directed,1,7,Exchange
403,405,Severine Milk's Parishioners,Seraph Milk (Mooshum),Directed,1,7,Knows
403,402,Severine Milk's Parishioners,Severine Milk,Directed,1,7,Exchange
404,406,Clemence Harp,Edward Harp,Directed,1,8,Knows
404,400,Clemence Harp,Evelina Harp,Directed,1,8,Knows
404,407,Clemence Harp,Joseph Harp,Directed,1,8,Knows
404,405,Clemence Harp,Seraph Milk (Mooshum),Directed,1,8,Knows
406,404,Edward Harp,Clemence Harp,Directed,1,8,Knows
406,400,Edward Harp,Evelina Harp,Directed,1,8,Knows
406,407,Edward Harp,Joseph Harp,Directed,1,8,Knows
406,405,Edward Harp,Seraph Milk (Mooshum),Directed,1,8,Knows
400,404,Evelina Harp,Clemence Harp,Directed,1,8,Knows
400,406,Evelina Harp,Edward Harp,Directed,1,8,Knows
400,408,Evelina Harp,Geraldine Milk,Directed,1,8,Knows
400,407,Evelina Harp,Joseph Harp,Directed,1,8,Knows
