id,Label 
10,German Settlers
11,French Settlers
12,Norwegian Settlers
21,"""Haskell Indian Princess"""
22,"""[Y]oung man on a passenger train"""
23,"""[S]mall town stripper"""
24,"Agathe (""Happy"")"
25,Priest (who Agathe left the convent for)
,
,
28,Maggie Peace
29,Octave Harp
30,Woman (Octave drowned himself over)
32,Other Children (in school with Evelina)
33,Edward's Students
35,Junesse's Aunt
36,French Voyageur
37,Junesse's Six Younger Cousins
38,Dentist
41,Jackie Kennedy
42,"""Mustache"" Maude Black"
43,Ott Black
44,Erling Nicolai Rolfsrud
45,The Lochren Family
46,Holy Track
47,Cuthbert Peace
48,Asiginak
49,The Lochren Murder
50,The Lynching
57,Jesus
69,Woman (murdered a couple farms over)
71,Husband (of the woman murdered a couple farms over
72,Neighbours (of Maude Black)
73,Man (who Ott shot in the leg)
74,Doctor (who Maude sent for)
86,Seraph and Junesse's Other Children
87,Chief Gall
91,"The ""black-haired"" Stooge"
400,Narrator
401,Narrator's Ancestors
402,Great-Uncle
403,Great-Uncle's Parishioners
404,Narrator's Mother
405,Mooshum
406,Narrator's Father
407,Narrator's Brother
408,Philomena
409,Cousin Curtis
410,Merlin Koppin
411,Junesse Malaterre
412,Tenny McElwayne
413,Entire Family
414,
415,Four Indians
416,Mob
