id,Label 
190,"""[L]ocal poets and hippies"" (Evelina lives with)"
181,"""[W]hite girls"" (Evelina knows)"
184,"""AIM-looking boyfriends"""
183,"""Indian women"" (on campus)"
188,Anaïs Nin
186,Arthur Rimbaud
48,Asiginak
51,Billy Peace
179,Bob Dylan
211,Charlie Chaplin
16,Clemence Harp
31,Corwin Peace
47,Cuthbert Peace
210,Doctors (at the state mental hospital)
201,Dwight Eisenhower
18,Edward Harp
67,Emil Buckendorf
292,Emil Buckendorf's First Brother
293,Emil Buckendorf's Second Brother
294,Emil Buckendorf's Third Brother
160,Enery Mantle
66,Eugene Wildstrand
3,Evelina Harp
189,Evelina's friends (in Grand Forks)
185,Evelina's Roommate
63,Frederic Vogeli
178,Freshmen's Parents
19,Geraldine Milk
159,Henric Gostlin
46,Holy Track
180,Janis Joplin
182,Joni Mitchell
17,Joseph Harp
4,Judge Antone Bazil Coutts
202,Lucille
203,Lucille's Children
28,Maggie Peace
212,Mantle Family
176,Marcus Aurelius
5,Marn Wolde
196,Mrs. L
197,"Mrs. L's ""little boy"""
163,Murdo Harp
27,Neve Harp
204,Nonette
206,Nonette's Cousin
208,Nonette's Father
207,Nonette's Mother
205,Nonette's Roommates
198,Nurse (who was going off duty)
200,Nurses (at the state mental hospital)
213,Old Buffalo Hunters
194,Other Aides (at the state mental hospital)
177,Other Freshmen
199,Patients (at the state mental hospital)
195,Person (next to Evelina in the staff dormitory)
191,Poet (who was going underground)
209,Policeman (who brings Warren back)
193,Psych I Professor
15,Seraph Milk (Mooshum)
61,Shamengwa Milk
135,Sister Mary Anita Buckendorf
187,Sylvia Plath
117,The Kindred
49,The Lochren Murder
50,The Lynching
157,Townsmen (involved in the lynching)
20,Uncle Whitey
192,UND Students
362,Unknown Buckendorf
8,Warren Wolde
68,William Hotchkiss
