source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
427,421,Clemence Harp,Evelina Harp,Directed,1,51,Knows
423,421,Corwin Peace,Evelina Harp,Directed,1,44,Exchange
423,421,Corwin Peace,Evelina Harp,Directed,1,45,Knows
423,421,Corwin Peace,Evelina Harp,Directed,1,47,Exchange
423,421,Corwin Peace,Evelina Harp,Directed,1,48,Knows
423,421,Corwin Peace,Evelina Harp,Directed,1,49,Exchange
423,421,Corwin Peace,Evelina Harp,Directed,1,51,Exchange
423,421,Corwin Peace,Evelina Harp,Directed,1,52,Exchange
423,425,Corwin Peace,Other Children (in school with Evelina),Directed,1,47,Knows
423,425,Corwin Peace,Other Children (in school with Evelina),Directed,1,48,Exchange
423,425,Corwin Peace,Other Children (in school with Evelina),Directed,1,49,Exchange
423,425,Corwin Peace,Other Children (in school with Evelina),Directed,1,51,Exchange
423,425,Corwin Peace,Other Children (in school with Evelina),Directed,1,52,Exchange
423,422,Corwin Peace,Sister Mary Anita Buckendorf,Directed,1,44,Knows
423,422,Corwin Peace,Sister Mary Anita Buckendorf,Directed,1,47,Knows
423,422,Corwin Peace,Sister Mary Anita Buckendorf,Directed,1,48,Exchange
423,422,Corwin Peace,Sister Mary Anita Buckendorf,Directed,1,49,Exchange
18,421,Edward Harp,Evelina Harp,Directed,1,49,Knows
18,422,Edward Harp,Sister Mary Anita Buckendorf,Directed,1,49,Knows of
421,427,Evelina Harp,Clemence Harp,Directed,1,51,Knows
421,423,Evelina Harp,Corwin Peace,Directed,1,44,Exchange
421,423,Evelina Harp,Corwin Peace,Directed,1,45,Knows
421,423,Evelina Harp,Corwin Peace,Directed,1,47,Exchange
421,423,Evelina Harp,Corwin Peace,Directed,1,48,Knows
421,423,Evelina Harp,Corwin Peace,Directed,1,49,Exchange
421,423,Evelina Harp,Corwin Peace,Directed,1,51,Exchange
421,423,Evelina Harp,Corwin Peace,Directed,1,52,Exchange
421,18,Evelina Harp,Edward Harp,Directed,1,49,Knows
421,67,Evelina Harp,Emil Buckendorf,Directed,1,46,Knows of
421,292,Evelina Harp,Emil Buckendorf's First Brother,Directed,1,46,Knows of
421,293,Evelina Harp,Emil Buckendorf's Second Brother,Directed,1,46,Knows of
421,294,Evelina Harp,Emil Buckendorf's Third Brother,Directed,1,46,Knows of
421,424,Evelina Harp,Evelina's Former Teachers,Directed,1,45,Knows
421,103,Evelina Harp,Father Cassidy,Directed,1,49,Knows
421,60,Evelina Harp,God,Directed,1,47,Exchange
421,60,Evelina Harp,God,Directed,1,50,Knows of
421,17,Evelina Harp,Joseph Harp,Directed,1,44,Knows of
421,136,Evelina Harp,Mary (biblical figure),Directed,1,44,Knows of
421,136,Evelina Harp,Mary (biblical figure),Directed,1,45,Knows of
421,425,Evelina Harp,Other Children (in school with Evelina),Directed,1,44,Knows
421,425,Evelina Harp,Other Children (in school with Evelina),Directed,1,45,Knows
421,425,Evelina Harp,Other Children (in school with Evelina),Directed,1,47,Knows
421,425,Evelina Harp,Other Children (in school with Evelina),Directed,1,48,Exchange
421,425,Evelina Harp,Other Children (in school with Evelina),Directed,1,49,Exchange
421,425,Evelina Harp,Other Children (in school with Evelina),Directed,1,51,Knows
421,425,Evelina Harp,Other Children (in school with Evelina),Directed,1,52,Knows
421,425,Evelina Harp,Other Children (in school with Evelina),Directed,1,53,Knows
421,426,Evelina Harp,Other Teachers (at Evelina's school),Directed,1,48,Knows
421,422,Evelina Harp,Sister Mary Anita Buckendorf,Directed,1,44,Knows
421,422,Evelina Harp,Sister Mary Anita Buckendorf,Directed,1,45,Exchange
421,422,Evelina Harp,Sister Mary Anita Buckendorf,Directed,1,46,Exchange
421,422,Evelina Harp,Sister Mary Anita Buckendorf,Directed,1,47,Knows
421,422,Evelina Harp,Sister Mary Anita Buckendorf,Directed,1,48,Exchange
421,422,Evelina Harp,Sister Mary Anita Buckendorf,Directed,1,49,Exchange
421,422,Evelina Harp,Sister Mary Anita Buckendorf,Directed,1,50,Exchange
421,422,Evelina Harp,Sister Mary Anita Buckendorf,Directed,1,51,Exchange
421,422,Evelina Harp,Sister Mary Anita Buckendorf,Directed,1,52,Exchange
421,422,Evelina Harp,Sister Mary Anita Buckendorf,Directed,1,53,Exchange
