source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
77,76,"""[P]eople"" (praying over Ed's mother)",Ed's Mother,Directed,1,145,Knows
77,5,"""[P]eople"" (praying over Ed's mother)",Marn Wolde,Directed,1,145,Exchange
58,51,"""[S]inging people""",Billy Peace,Directed,1,141,Exchange
58,51,"""[S]inging people""",Billy Peace,Directed,1,142,Exchange
58,51,"""[S]inging people""",Billy Peace,Directed,1,143,Exchange
58,51,"""[S]inging people""",Billy Peace,Directed,1,144,Exchange
58,60,"""[S]inging people""",God,Directed,1,142,Knows
58,60,"""[S]inging people""",God,Directed,1,143,Knows
58,60,"""[S]inging people""",God,Directed,1,144,Knows
58,5,"""[S]inging people""",Marn Wolde,Directed,1,141,Exchange
58,75,"""[S]inging people""",Satan,Directed,1,142,Knows
58,75,"""[S]inging people""",Satan,Directed,1,143,Knows
58,75,"""[S]inging people""",Satan,Directed,1,144,Knows
51,58,Billy Peace,"""[S]inging people""",Directed,1,141,Exchange
51,58,Billy Peace,"""[S]inging people""",Directed,1,142,Exchange
51,58,Billy Peace,"""[S]inging people""",Directed,1,143,Exchange
51,58,Billy Peace,"""[S]inging people""",Directed,1,144,Exchange
51,59,Billy Peace,"Ed (""[M]ain preacher"")",Directed,1,141,Knows
51,59,Billy Peace,"Ed (""[M]ain preacher"")",Directed,1,144,Knows
51,76,Billy Peace,Ed's Mother,Directed,1,144,Knows
51,76,Billy Peace,Ed's Mother,Directed,1,145,Knows
51,60,Billy Peace,God,Directed,1,142,Knows
51,60,Billy Peace,God,Directed,1,143,Exchange
51,60,Billy Peace,God,Directed,1,144,Knows
51,5,Billy Peace,Marn Wolde,Directed,1,137,Knows
51,5,Billy Peace,Marn Wolde,Directed,1,138,Exchange
51,5,Billy Peace,Marn Wolde,Directed,1,139,Exchange
51,5,Billy Peace,Marn Wolde,Directed,1,140,Exchange
51,5,Billy Peace,Marn Wolde,Directed,1,141,Exchange
51,5,Billy Peace,Marn Wolde,Directed,1,142,Exchange
51,5,Billy Peace,Marn Wolde,Directed,1,143,Exchange
51,5,Billy Peace,Marn Wolde,Directed,1,144,Exchange
51,5,Billy Peace,Marn Wolde,Directed,1,145,Exchange
51,52,Billy Peace,Marn Wolde's Mother,Directed,1,138,Exchange
51,52,Billy Peace,Marn Wolde's Mother,Directed,1,140,Exchange
51,75,Billy Peace,Satan,Directed,1,142,Knows
51,75,Billy Peace,Satan,Directed,1,143,Knows
51,75,Billy Peace,Satan,Directed,1,144,Knows
59,51,"Ed (""[M]ain preacher"")",Billy Peace,Directed,1,141,Knows
59,51,"Ed (""[M]ain preacher"")",Billy Peace,Directed,1,144,Knows
59,76,"Ed (""[M]ain preacher"")",Ed's Mother,Directed,1,144,Knows
59,76,"Ed (""[M]ain preacher"")",Ed's Mother,Directed,1,145,Knows
59,76,"Ed (""[M]ain preacher"")",Ed's Mother,Directed,1,146,Knows
59,5,"Ed (""[M]ain preacher"")",Marn Wolde,Directed,1,141,Exchange
59,5,"Ed (""[M]ain preacher"")",Marn Wolde,Directed,1,144,Knows
76,77,Ed's Mother,"""[P]eople"" (praying over Ed's mother)",Directed,1,145,Knows
76,51,Ed's Mother,Billy Peace,Directed,1,144,Knows
76,51,Ed's Mother,Billy Peace,Directed,1,145,Knows
76,59,Ed's Mother,"Ed (""[M]ain preacher"")",Directed,1,144,Knows
76,59,Ed's Mother,"Ed (""[M]ain preacher"")",Directed,1,145,Knows
76,59,Ed's Mother,"Ed (""[M]ain preacher"")",Directed,1,146,Knows
76,5,Ed's Mother,Marn Wolde,Directed,1,144,Knows
76,5,Ed's Mother,Marn Wolde,Directed,1,145,Knows
76,5,Ed's Mother,Marn Wolde,Directed,1,146,Knows
60,58,God,"""[S]inging people""",Directed,1,142,Knows
60,58,God,"""[S]inging people""",Directed,1,143,Knows
60,58,God,"""[S]inging people""",Directed,1,144,Knows
60,51,God,Billy Peace,Directed,1,142,Knows
60,51,God,Billy Peace,Directed,1,143,Exchange
60,51,God,Billy Peace,Directed,1,144,Knows
60,5,God,Marn Wolde,Directed,1,142,Knows
60,5,God,Marn Wolde,Directed,1,143,Knows
60,5,God,Marn Wolde,Directed,1,144,Knows
57,55,Jesus,Marn Wolde's Grandfather,Directed,1,140,Knows
57,56,Jesus,Marn Wolde's Grandmother,Directed,1,140,Knows
5,77,Marn Wolde,"""[P]eople"" (praying over Ed's mother)",Directed,1,145,Exchange
5,58,Marn Wolde,"""[S]inging people""",Directed,1,141,Exchange
5,58,Marn Wolde,"""[S]inging people""",Directed,1,142,Knows of
5,58,Marn Wolde,"""[S]inging people""",Directed,1,143,Knows of
5,58,Marn Wolde,"""[S]inging people""",Directed,1,144,Knows of
5,51,Marn Wolde,Billy Peace,Directed,1,137,Knows
5,51,Marn Wolde,Billy Peace,Directed,1,138,Exchange
5,51,Marn Wolde,Billy Peace,Directed,1,139,Exchange
5,51,Marn Wolde,Billy Peace,Directed,1,140,Exchange
5,51,Marn Wolde,Billy Peace,Directed,1,141,Exchange
5,51,Marn Wolde,Billy Peace,Directed,1,142,Exchange
5,51,Marn Wolde,Billy Peace,Directed,1,143,Exchange
5,51,Marn Wolde,Billy Peace,Directed,1,144,Exchange
5,51,Marn Wolde,Billy Peace,Directed,1,145,Exchange
5,59,Marn Wolde,"Ed (""[M]ain preacher"")",Directed,1,141,Exchange
5,59,Marn Wolde,"Ed (""[M]ain preacher"")",Directed,1,144,Knows
5,59,Marn Wolde,"Ed (""[M]ain preacher"")",Directed,1,145,Knows of
5,59,Marn Wolde,"Ed (""[M]ain preacher"")",Directed,1,146,Knows of
5,76,Marn Wolde,Ed's Mother,Directed,1,144,Knows
5,76,Marn Wolde,Ed's Mother,Directed,1,145,Knows
5,76,Marn Wolde,Ed's Mother,Directed,1,146,Knows
5,60,Marn Wolde,God,Directed,1,142,Knows
5,60,Marn Wolde,God,Directed,1,143,Knows
5,60,Marn Wolde,God,Directed,1,144,Knows
5,57,Marn Wolde,Jesus,Directed,1,140,Knows of
5,53,Marn Wolde,Marn Wolde's Father,Directed,1,138,Knows
5,53,Marn Wolde,Marn Wolde's Father,Directed,1,139,Exchange
5,53,Marn Wolde,Marn Wolde's Father,Directed,1,140,Knows
5,53,Marn Wolde,Marn Wolde's Father,Directed,1,146,Knows
5,55,Marn Wolde,Marn Wolde's Grandfather,Directed,1,140,Knows
5,56,Marn Wolde,Marn Wolde's Grandmother,Directed,1,140,Knows
5,52,Marn Wolde,Marn Wolde's Mother,Directed,1,137,Knows
5,52,Marn Wolde,Marn Wolde's Mother,Directed,1,138,Knows
5,52,Marn Wolde,Marn Wolde's Mother,Directed,1,139,Knows
5,52,Marn Wolde,Marn Wolde's Mother,Directed,1,140,Exchange
5,52,Marn Wolde,Marn Wolde's Mother,Directed,1,141,Knows
5,52,Marn Wolde,Marn Wolde's Mother,Directed,1,146,Knows
5,75,Marn Wolde,Satan,Directed,1,142,Knows
5,75,Marn Wolde,Satan,Directed,1,143,Knows
5,75,Marn Wolde,Satan,Directed,1,144,Knows
5,8,Marn Wolde,Warren Wolde,Directed,1,139,Knows
5,8,Marn Wolde,Warren Wolde,Directed,1,140,Knows
5,8,Marn Wolde,Warren Wolde,Directed,1,141,Exchange
5,8,Marn Wolde,Warren Wolde,Directed,1,146,Knows
5,54,Marn Wolde,Warren Wolde's Father,Directed,1,139,Knows of
53,5,Marn Wolde's Father,Marn Wolde,Directed,1,138,Knows
53,5,Marn Wolde's Father,Marn Wolde,Directed,1,139,Exchange
53,5,Marn Wolde's Father,Marn Wolde,Directed,1,140,Knows
53,5,Marn Wolde's Father,Marn Wolde,Directed,1,146,Knows
53,52,Marn Wolde's Father,Marn Wolde's Mother,Directed,1,139,Knows
53,52,Marn Wolde's Father,Marn Wolde's Mother,Directed,1,146,Knows
53,8,Marn Wolde's Father,Warren Wolde,Directed,1,139,Knows
53,54,Marn Wolde's Father,Warren Wolde's Father,Directed,1,139,Knows of
55,57,Marn Wolde's Grandfather,Jesus,Directed,1,140,Knows
55,5,Marn Wolde's Grandfather,Marn Wolde,Directed,1,140,Knows
55,56,Marn Wolde's Grandfather,Marn Wolde's Grandmother,Directed,1,140,Knows
56,57,Marn Wolde's Grandmother,Jesus,Directed,1,140,Knows
56,5,Marn Wolde's Grandmother,Marn Wolde,Directed,1,140,Knows
56,55,Marn Wolde's Grandmother,Marn Wolde's Grandfather,Directed,1,140,Knows
52,51,Marn Wolde's Mother,Billy Peace,Directed,1,138,Exchange
52,51,Marn Wolde's Mother,Billy Peace,Directed,1,140,Exchange
52,5,Marn Wolde's Mother,Marn Wolde,Directed,1,137,Knows
52,5,Marn Wolde's Mother,Marn Wolde,Directed,1,138,Knows
52,5,Marn Wolde's Mother,Marn Wolde,Directed,1,139,Knows
52,5,Marn Wolde's Mother,Marn Wolde,Directed,1,140,Exchange
52,5,Marn Wolde's Mother,Marn Wolde,Directed,1,141,Knows
52,5,Marn Wolde's Mother,Marn Wolde,Directed,1,146,Knows
52,53,Marn Wolde's Mother,Marn Wolde's Father,Directed,1,139,Knows
52,53,Marn Wolde's Mother,Marn Wolde's Father,Directed,1,146,Knows
52,8,Marn Wolde's Mother,Warren Wolde,Directed,1,139,Knows
52,54,Marn Wolde's Mother,Warren Wolde's Father,Directed,1,139,Knows of
75,58,Satan,"""[S]inging people""",Directed,1,142,Knows
75,58,Satan,"""[S]inging people""",Directed,1,143,Knows
75,58,Satan,"""[S]inging people""",Directed,1,144,Knows
75,51,Satan,Billy Peace,Directed,1,142,Knows
