source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
320,31,"""manager"" (of a music store)",Corwin Peace,Directed,1,208,Exchange
323,322,"""musician"" (pg. 208)","""woman"" (pg. 208)",Directed,1,208,Knows
323,31,"""musician"" (pg. 208)",Corwin Peace,Directed,1,208,Knows
318,61,"""nun"" (pg. 204)",Shamengwa Milk,Directed,1,204,Exchange
327,103,"""people"" (at Shamengwa's funeral)",Father Cassidy,Directed,1,212,Exchange
327,4,"""people"" (at Shamengwa's funeral)",Judge Antone Bazil Coutts,Directed,1,210,Exchange
327,4,"""people"" (at Shamengwa's funeral)",Judge Antone Bazil Coutts,Directed,1,213,Knows
324,31,"""people"" (in the food court)",Corwin Peace,Directed,1,208,Exchange
324,31,"""people"" (in the food court)",Corwin Peace,Directed,1,209,Exchange
321,31,"""people"" (pg. 208)",Corwin Peace,Directed,1,208,Exchange
322,323,"""woman"" (pg. 208)","""musician"" (pg. 208)",Directed,1,208,Knows
101,95,Baby (who the Milk family lost),Seraph Milk's Mother,Directed,1,200,Knows
16,315,Clemence Harp,Edward Curtis,Directed,1,199,Knows
16,3,Clemence Harp,Evelina Harp,Directed,1,196,Knows
16,3,Clemence Harp,Evelina Harp,Directed,1,212,Knows
16,103,Clemence Harp,Father Cassidy,Directed,1,212,Knows
16,19,Clemence Harp,Geraldine Milk,Directed,1,212,Knows
16,17,Clemence Harp,Joseph Harp,Directed,1,212,Knows
16,15,Clemence Harp,Seraph Milk (Mooshum),Directed,1,212,Knows
16,61,Clemence Harp,Shamengwa Milk,Directed,1,196,Knows
16,61,Clemence Harp,Shamengwa Milk,Directed,1,199,Knows
16,61,Clemence Harp,Shamengwa Milk,Directed,1,212,Knows
16,20,Clemence Harp,Uncle Whitey,Directed,1,211,Knows
16,20,Clemence Harp,Uncle Whitey,Directed,1,212,Knows
31,319,Corwin Peace,"""cop"" (in Corwin's favourite movie)",Directed,1,207,Knows
31,320,Corwin Peace,"""manager"" (of a music store)",Directed,1,208,Exchange
31,323,Corwin Peace,"""musician"" (pg. 208)",Directed,1,208,Knows
31,324,Corwin Peace,"""people"" (in the food court)",Directed,1,208,Exchange
