source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
484,481,Doctor Cordelia Lochren,Judge Antone Bazil Coutts,Directed,1,274,Knows
481,484,Judge Antone Bazil Coutts,Doctor Cordelia Lochren,Directed,1,274,Knows
481,486,Judge Antone Bazil Coutts,Judge Coutts' Mother,Directed,1,274,Exchange
486,481,Judge Coutts' Mother,Judge Antone Bazil Coutts,Directed,1,274,Exchange
480,279,Gottschalk,Joseph J. Coutts,Directed,1,275,Knows of
480,481,Gottschalk,Judge Antone Bazil Coutts,Directed,1,275,Exchange
279,301,Joseph J. Coutts,Joseph J. Coutts' Wife,Directed,1,275,Knows
301,279,Joseph J. Coutts' Wife,Joseph J. Coutts,Directed,1,275,Knows
481,60,Judge Antone Bazil Coutts,God,Directed,1,275,Knows of
481,480,Judge Antone Bazil Coutts,Gottschalk,Directed,1,275,Exchange
481,335,Judge Antone Bazil Coutts,Henry David Thoreau,Directed,1,275,Knows of
481,279,Judge Antone Bazil Coutts,Joseph J. Coutts,Directed,1,275,Knows
481,301,Judge Antone Bazil Coutts,Joseph J. Coutts' Wife,Directed,1,275,Knows
481,485,Judge Antone Bazil Coutts,Judge Coutts' Father,Directed,1,275,Knows
481,486,Judge Antone Bazil Coutts,Judge Coutts' Mother,Directed,1,275,Knows
485,60,Judge Coutts' Father,God,Directed,1,275,Knows of
485,335,Judge Coutts' Father,Henry David Thoreau,Directed,1,275,Knows of
485,481,Judge Coutts' Father,Judge Antone Bazil Coutts,Directed,1,275,Knows
486,481,Judge Coutts' Mother,Judge Antone Bazil Coutts,Directed,1,275,Knows
337,336,"""patron"" (pg. 276)",Candy,Directed,1,276,Knows
337,481,"""patron"" (pg. 276)",Judge Antone Bazil Coutts,Directed,1,276,Knows
336,337,Candy,"""patron"" (pg. 276)",Directed,1,276,Knows
336,481,Candy,Judge Antone Bazil Coutts,Directed,1,276,Knows
484,481,Doctor Cordelia Lochren,Judge Antone Bazil Coutts,Directed,1,276,Knows
480,481,Gottschalk,Judge Antone Bazil Coutts,Directed,1,276,Exchange
481,337,Judge Antone Bazil Coutts,"""patron"" (pg. 276)",Directed,1,276,Knows
481,336,Judge Antone Bazil Coutts,Candy,Directed,1,276,Knows
481,484,Judge Antone Bazil Coutts,Doctor Cordelia Lochren,Directed,1,276,Knows
481,480,Judge Antone Bazil Coutts,Gottschalk,Directed,1,276,Exchange
336,481,Candy,Judge Antone Bazil Coutts,Directed,1,277,Knows
484,481,Doctor Cordelia Lochren,Judge Antone Bazil Coutts,Directed,1,277,Knows
480,481,Gottschalk,Judge Antone Bazil Coutts,Directed,1,277,Knows
481,336,Judge Antone Bazil Coutts,Candy,Directed,1,277,Knows
481,484,Judge Antone Bazil Coutts,Doctor Cordelia Lochren,Directed,1,277,Knows
481,480,Judge Antone Bazil Coutts,Gottschalk,Directed,1,277,Knows
481,485,Judge Antone Bazil Coutts,Judge Coutts' Father,Directed,1,277,Knows
481,486,Judge Antone Bazil Coutts,Judge Coutts' Mother,Directed,1,277,Knows
485,481,Judge Coutts' Father,Judge Antone Bazil Coutts,Directed,1,277,Knows
485,486,Judge Coutts' Father,Judge Coutts' Mother,Directed,1,277,Knows
486,481,Judge Coutts' Mother,Judge Antone Bazil Coutts,Directed,1,277,Knows
486,485,Judge Coutts' Mother,Judge Coutts' Father,Directed,1,277,Knows
484,481,Doctor Cordelia Lochren,Judge Antone Bazil Coutts,Directed,1,278,Knows
484,486,Doctor Cordelia Lochren,Judge Coutts' Mother,Directed,1,278,Knows
481,484,Judge Antone Bazil Coutts,Doctor Cordelia Lochren,Directed,1,278,Knows
481,486,Judge Antone Bazil Coutts,Judge Coutts' Mother,Directed,1,278,Exchange
486,484,Judge Coutts' Mother,Doctor Cordelia Lochren,Directed,1,278,Knows
486,481,Judge Coutts' Mother,Judge Antone Bazil Coutts,Directed,1,278,Exchange
483,484,Cordelia's Receptionist,Doctor Cordelia Lochren,Directed,1,279,Knows
484,483,Doctor Cordelia Lochren,Cordelia's Receptionist,Directed,1,279,Knows
484,481,Doctor Cordelia Lochren,Judge Antone Bazil Coutts,Directed,1,279,Exchange
484,486,Doctor Cordelia Lochren,Judge Coutts' Mother,Directed,1,279,Knows
484,339,Doctor Cordelia Lochren,Ted Bursap,Directed,1,279,Knows
481,483,Judge Antone Bazil Coutts,Cordelia's Receptionist,Directed,1,279,Knows of
481,484,Judge Antone Bazil Coutts,Doctor Cordelia Lochren,Directed,1,279,Exchange
481,486,Judge Antone Bazil Coutts,Judge Coutts' Mother,Directed,1,279,Exchange
481,339,Judge Antone Bazil Coutts,Ted Bursap,Directed,1,279,Knows
486,484,Judge Coutts' Mother,Doctor Cordelia Lochren,Directed,1,279,Knows
486,481,Judge Coutts' Mother,Judge Antone Bazil Coutts,Directed,1,279,Exchange
