id,Label ,label
337,"""patron"" (pg. 276)",
345,"""cronuy"" (of Narrator's Father)",
336,Candy,
482,C.'s Patients,
483,C.'s Receptionist,
484,C.,
342,Epictetus,
,,
60,God,
480,Sprecht,
335,Henry David Thoreau,
279,Joseph J. Coutts,
301,Joseph J. Coutts' Wife,
481,Narrator,
485,Narrator's Mother,
486,Narrator's Father,
341,Lucretius,
176,Marcus Aurelius,
346,Old Folks,
343,Plotinus,
344,Real Estate Agent,
339,Ted Bursap,
348,Ted Bursap's Crew,
340,Ted Bursap's Dead Wife,
347,William Jennings Bryan,
