source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
460,61,Geraldine Milk,Shamengwa Milk,Directed,1,195,Knows
467,460,Judge Antone Bazil Coutts,Geraldine Milk,Directed,1,195,Knows of
467,61,Judge Antone Bazil Coutts,Shamengwa Milk,Directed,1,195,Knows of
61,460,Shamengwa Milk,Geraldine Milk,Directed,1,195,Knows
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
460,61,Geraldine Milk,Shamengwa Milk,Directed,1,196,Knows
,,,,,,,
,,,,,,,
467,460,Judge Antone Bazil Coutts,Geraldine Milk,Directed,1,196,Knows of
467,61,Judge Antone Bazil Coutts,Shamengwa Milk,Directed,1,196,Knows of
,,,,,,,
,,,,,,,
61,460,Shamengwa Milk,Geraldine Milk,Directed,1,196,Knows
31,467,Corwin Peace,Judge Antone Bazil Coutts,Directed,1,197,Knows
460,61,Geraldine Milk,Shamengwa Milk,Directed,1,197,Knows
467,31,Judge Antone Bazil Coutts,Corwin Peace,Directed,1,197,Knows
467,460,Judge Antone Bazil Coutts,Geraldine Milk,Directed,1,197,Knows of
467,61,Judge Antone Bazil Coutts,Shamengwa Milk,Directed,1,197,Knows of
61,460,Shamengwa Milk,Geraldine Milk,Directed,1,197,Knows
31,314,Corwin Peace,Corwin Peace's Girlfriends,Directed,1,198,Knows
31,467,Corwin Peace,Judge Antone Bazil Coutts,Directed,1,198,Exchange
31,28,Corwin Peace,Maggie Peace,Directed,1,198,Knows
314,31,Corwin Peace's Girlfriends,Corwin Peace,Directed,1,198,Knows
467,31,Judge Antone Bazil Coutts,Corwin Peace,Directed,1,198,Exchange
467,314,Judge Antone Bazil Coutts,Corwin Peace's Girlfriends,Directed,1,198,Knows of
467,3471,Judge Antone Bazil Coutts,Edward Curtis,Directed,1,198,Knows of
467,28,Judge Antone Bazil Coutts,Maggie Peace,Directed,1,198,Knows
28,31,Maggie Peace,Corwin Peace,Directed,1,198,Knows
28,467,Maggie Peace,Judge Antone Bazil Coutts,Directed,1,198,Knows
,,,,,,,
,,,,,,,
31,467,Corwin Peace,Judge Antone Bazil Coutts,Directed,1,199,Knows
,,,,,,,
,,,,,,,
460,467,Geraldine Milk,Judge Antone Bazil Coutts,Directed,1,199,Exchange
460,61,Geraldine Milk,Shamengwa Milk,Directed,1,199,Exchange
,,,,,,,
467,31,Judge Antone Bazil Coutts,Corwin Peace,Directed,1,199,Knows
,,,,,,,
467,460,Judge Antone Bazil Coutts,Geraldine Milk,Directed,1,199,Exchange
467,61,Judge Antone Bazil Coutts,Shamengwa Milk,Directed,1,199,Exchange
,,,,,,,
,,,,,,,
61,460,Shamengwa Milk,Geraldine Milk,Directed,1,199,Exchange
61,467,Shamengwa Milk,Judge Antone Bazil Coutts,Directed,1,199,Exchange
470,469,Baby (who the Milk family lost),Seraph Milk's Mother,Directed,1,200,Knows
460,467,Geraldine Milk,Judge Antone Bazil Coutts,Directed,1,200,Exchange
460,61,Geraldine Milk,Shamengwa Milk,Directed,1,200,Exchange
468,469,Joseph Milk (Seraph Milk's Father),Seraph Milk's Mother,Directed,1,200,Knows
467,460,Judge Antone Bazil Coutts,Geraldine Milk,Directed,1,200,Exchange
467,61,Judge Antone Bazil Coutts,Shamengwa Milk,Directed,1,200,Exchange
469,470,Seraph Milk's Mother,Baby (who the Milk family lost),Directed,1,200,Knows
469,468,Seraph Milk's Mother,Joseph Milk (Seraph Milk's Father),Directed,1,200,Knows
61,470,Shamengwa Milk,Baby (who the Milk family lost),Directed,1,200,Knows of
61,460,Shamengwa Milk,Geraldine Milk,Directed,1,200,Exchange
61,468,Shamengwa Milk,Joseph Milk (Seraph Milk's Father),Directed,1,200,Knows of
61,467,Shamengwa Milk,Judge Antone Bazil Coutts,Directed,1,200,Exchange
61,469,Shamengwa Milk,Seraph Milk's Mother,Directed,1,200,Knows of
468,469,Joseph Milk (Seraph Milk's Father),Seraph Milk's Mother,Directed,1,201,Knows
468,61,Joseph Milk (Seraph Milk's Father),Shamengwa Milk,Directed,1,201,Knows
471,469,Seraph Milk (Mooshum),Seraph Milk's Mother,Directed,1,201,Knows
471,9,Seraph Milk (Mooshum),Severine Milk,Directed,1,201,Knows
469,468,Seraph Milk's Mother,Joseph Milk (Seraph Milk's Father),Directed,1,201,Knows
469,471,Seraph Milk's Mother,Seraph Milk (Mooshum),Directed,1,201,Knows
469,9,Seraph Milk's Mother,Severine Milk,Directed,1,201,Knows
469,61,Seraph Milk's Mother,Shamengwa Milk,Directed,1,201,Knows
,,,,,,,
,,,,,,,
61,470,Shamengwa Milk,Baby (who the Milk family lost),Directed,1,201,Knows
61,468,Shamengwa Milk,Joseph Milk (Seraph Milk's Father),Directed,1,201,Knows
61,471,Shamengwa Milk,Seraph Milk (Mooshum),Directed,1,201,Knows of
61,469,Shamengwa Milk,Seraph Milk's Mother,Directed,1,201,Knows
,,,,,,,
468,471,Joseph Milk (Seraph Milk's Father),Seraph Milk (Mooshum),Directed,1,202,Knows
468,469,Joseph Milk (Seraph Milk's Father),Seraph Milk's Mother,Directed,1,202,Knows
468,61,Joseph Milk (Seraph Milk's Father),Shamengwa Milk,Directed,1,202,Knows
471,468,Seraph Milk (Mooshum),Joseph Milk (Seraph Milk's Father),Directed,1,202,Knows
471,469,Seraph Milk (Mooshum),Seraph Milk's Mother,Directed,1,202,Knows
469,468,Seraph Milk's Mother,Joseph Milk (Seraph Milk's Father),Directed,1,202,Knows
469,471,Seraph Milk's Mother,Seraph Milk (Mooshum),Directed,1,202,Knows
469,61,Seraph Milk's Mother,Shamengwa Milk,Directed,1,202,Knows
61,468,Shamengwa Milk,Joseph Milk (Seraph Milk's Father),Directed,1,202,Knows
61,471,Shamengwa Milk,Seraph Milk (Mooshum),Directed,1,202,Knows of
61,469,Shamengwa Milk,Seraph Milk's Mother,Directed,1,202,Knows
468,469,Joseph Milk (Seraph Milk's Father),Seraph Milk's Mother,Directed,1,203,Knows
469,468,Seraph Milk's Mother,Joseph Milk (Seraph Milk's Father),Directed,1,203,Knows
469,61,Seraph Milk's Mother,Shamengwa Milk,Directed,1,203,Knows
61,468,Shamengwa Milk,Joseph Milk (Seraph Milk's Father),Directed,1,203,Knows of
61,469,Shamengwa Milk,Seraph Milk's Mother,Directed,1,203,Knows
318,61,"""nun"" (pg. 204)",Shamengwa Milk,Directed,1,204,Exchange
468,469,Joseph Milk (Seraph Milk's Father),Seraph Milk's Mother,Directed,1,204,Knows
469,468,Seraph Milk's Mother,Joseph Milk (Seraph Milk's Father),Directed,1,204,Knows
469,61,Seraph Milk's Mother,Shamengwa Milk,Directed,1,204,Knows
61,318,Shamengwa Milk,"""nun"" (pg. 204)",Directed,1,204,Exchange
61,468,Shamengwa Milk,Joseph Milk (Seraph Milk's Father),Directed,1,204,Exchange
61,469,Shamengwa Milk,Seraph Milk's Mother,Directed,1,204,Knows
468,469,Joseph Milk (Seraph Milk's Father),Seraph Milk's Mother,Directed,1,205,Exchange
468,61,Joseph Milk (Seraph Milk's Father),Shamengwa Milk,Directed,1,205,Exchange
467,61,Judge Antone Bazil Coutts,Shamengwa Milk,Directed,1,205,Exchange
469,468,Seraph Milk's Mother,Joseph Milk (Seraph Milk's Father),Directed,1,205,Exchange
469,61,Seraph Milk's Mother,Shamengwa Milk,Directed,1,205,Exchange
61,468,Shamengwa Milk,Joseph Milk (Seraph Milk's Father),Directed,1,205,Exchange
61,467,Shamengwa Milk,Judge Antone Bazil Coutts,Directed,1,205,Exchange
61,469,Shamengwa Milk,Seraph Milk's Mother,Directed,1,205,Exchange
467,61,Judge Antone Bazil Coutts,Shamengwa Milk,Directed,1,206,Exchange
61,467,Shamengwa Milk,Judge Antone Bazil Coutts,Directed,1,206,Exchange
31,319,Corwin Peace,"""cop"" (in Corwin's favourite movie)",Directed,1,207,Knows
31,26,Corwin Peace,John Wildstrand,Directed,1,207,Knows
31,472,Corwin Peace,Corwin's roommates ,Directed,1,207,Knows
31,61,Corwin Peace,Shamengwa Milk,Directed,1,207,Knows
472,31,Corwin's Rommoates,Corwin Peace,Directed,1,207,Knows
467,472,Judge Antone Bazil Coutts,Corwin's roommates ,Directed,1,207,Knows of
467,319,Judge Antone Bazil Coutts,"""cop"" (in Corwin's favourite movie)",Directed,1,207,Knows of
467,31,Judge Antone Bazil Coutts,Corwin Peace,Directed,1,207,Knows of
,,,,,,,
,,,,,,,
467,61,Judge Antone Bazil Coutts,Shamengwa Milk,Directed,1,207,Knows of
,,,,,,,
,,,,,,,
61,31,Shamengwa Milk,Corwin Peace,Directed,1,207,Knows
320,31,"""manager"" (of a music store)",Corwin Peace,Directed,1,208,Exchange
,,,,,,,
323,31,"""musician"" (pg. 208)",Corwin Peace,Directed,1,208,Knows
324,31,"""people"" (in the food court)",Corwin Peace,Directed,1,208,Exchange
321,31,"""people"" (pg. 208)",Corwin Peace,Directed,1,208,Exchange
,,,,,,,
31,320,Corwin Peace,"""manager"" (of a music store)",Directed,1,208,Exchange
31,323,Corwin Peace,"""musician"" (pg. 208)",Directed,1,208,Knows
31,324,Corwin Peace,"""people"" (in the food court)",Directed,1,208,Exchange
31,321,Corwin Peace,"""people"" (pg. 208)",Directed,1,208,Exchange
31,322,Corwin Peace,"""woman"" (pg. 208)",Directed,1,208,Knows
31,31,Corwin Peace,Corwin Peace,Directed,1,208,Exchange
467,320,Judge Antone Bazil Coutts,"""manager"" (of a music store)",Directed,1,208,Knows of
467,323,Judge Antone Bazil Coutts,"""musician"" (pg. 208)",Directed,1,208,Knows of
467,324,Judge Antone Bazil Coutts,"""people"" (in the food court)",Directed,1,208,Knows of
467,321,Judge Antone Bazil Coutts,"""people"" (pg. 208)",Directed,1,208,Knows of
,,,,,,,
467,31,Judge Antone Bazil Coutts,Corwin Peace,Directed,1,208,Knows of
324,31,"""people"" (in the food court)",Corwin Peace,Directed,1,209,Exchange
31,324,Corwin Peace,"""people"" (in the food court)",Directed,1,209,Exchange
,,,,,,,
31,467,Corwin Peace,Judge Antone Bazil Coutts,Directed,1,209,Knows
,,,,,,,
31,61,Corwin Peace,Shamengwa Milk,Directed,1,209,Exchange
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
467,324,Judge Antone Bazil Coutts,"""people"" (in the food court)",Directed,1,209,Knows of
467,31,Judge Antone Bazil Coutts,Corwin Peace,Directed,1,209,Knows
,,,,,,,
,,,,,,,
,,,,,,,
467,61,Judge Antone Bazil Coutts,Shamengwa Milk,Directed,1,209,Exchange
,,,,,,,
,,,,,,,
61,31,Shamengwa Milk,Corwin Peace,Directed,1,209,Exchange
61,467,Shamengwa Milk,Judge Antone Bazil Coutts,Directed,1,209,Exchange
327,467,"""people"" (at Shamengwa's funeral)",Judge Antone Bazil Coutts,Directed,1,210,Exchange
31,325,Corwin Peace,Corwin's Probation Officer,Directed,1,210,Knows
31,460,Corwin Peace,Geraldine Milk,Directed,1,210,Knows
31,61,Corwin Peace,Shamengwa Milk,Directed,1,210,Knows
325,31,Corwin's Probation Officer,Corwin Peace,Directed,1,210,Knows
325,460,Corwin's Probation Officer,Geraldine Milk,Directed,1,210,Exchange
460,31,Geraldine Milk,Corwin Peace,Directed,1,210,Knows
460,325,Geraldine Milk,Corwin's Probation Officer,Directed,1,210,Exchange
460,467,Geraldine Milk,Judge Antone Bazil Coutts,Directed,1,210,Exchange
460,61,Geraldine Milk,Shamengwa Milk,Directed,1,210,Knows
467,327,Judge Antone Bazil Coutts,"""people"" (at Shamengwa's funeral)",Directed,1,210,Exchange
467,31,Judge Antone Bazil Coutts,Corwin Peace,Directed,1,210,Knows of
467,325,Judge Antone Bazil Coutts,Corwin's Probation Officer,Directed,1,210,Knows of
467,460,Judge Antone Bazil Coutts,Geraldine Milk,Directed,1,210,Exchange
467,326,Judge Antone Bazil Coutts,Joseph (biblical figure),Directed,1,210,Knows of
467,61,Judge Antone Bazil Coutts,Shamengwa Milk,Directed,1,210,Exchange
61,31,Shamengwa Milk,Corwin Peace,Directed,1,210,Knows
61,460,Shamengwa Milk,Geraldine Milk,Directed,1,210,Knows
61,467,Shamengwa Milk,Judge Antone Bazil Coutts,Directed,1,210,Exchange
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
31,460,Corwin Peace,Geraldine Milk,Directed,1,212,Knows
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
460,31,Geraldine Milk,Corwin Peace,Directed,1,212,Knows
460,61,Geraldine Milk,Shamengwa Milk,Directed,1,212,Knows
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
467,31,Judge Antone Bazil Coutts,Corwin Peace,Directed,1,212,Knows of
,,,,,,,
,,,,,,,
467,460,Judge Antone Bazil Coutts,Geraldine Milk,Directed,1,212,Knows of
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
467,61,Judge Antone Bazil Coutts,Shamengwa Milk,Directed,1,212,Knows of
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
61,460,Shamengwa Milk,Geraldine Milk,Directed,1,212,Knows
,,,,,,,
,,,,,,,
327,467,"""people"" (at Shamengwa's funeral)",Judge Antone Bazil Coutts,Directed,1,213,Knows
31,61,Corwin Peace,Shamengwa Milk,Directed,1,213,Knows
,,,,,,,
467,327,Judge Antone Bazil Coutts,"""people"" (at Shamengwa's funeral)",Directed,1,213,Knows
467,31,Judge Antone Bazil Coutts,Corwin Peace,Directed,1,213,Knows of
467,473,Judge Antone Bazil Coutts,Priest,Directed,1,213,Knows of
,,,,,,,
467,61,Judge Antone Bazil Coutts,Shamengwa Milk,Directed,1,213,Knows of
,,,,,,,
61,31,Shamengwa Milk,Corwin Peace,Directed,1,213,Knows
329,461,Father Jasperine,Henri Peace,Directed,1,214,Knows
329,462,Father Jasperine,Henri Peace's Father,Directed,1,214,Knows
329,328,Father Jasperine,LaFountaine,Directed,1,214,Knows
461,329,Henri Peace,Father Jasperine,Directed,1,214,Knows
461,462,Henri Peace,Henri Peace's Father,Directed,1,214,Knows
461,456,Henri Peace,Lafayette Peace,Directed,1,214,Knows
461,328,Henri Peace,LaFountaine,Directed,1,214,Knows of
462,329,Henri Peace's Father,Father Jasperine,Directed,1,214,Knows
462,461,Henri Peace's Father,Henri Peace,Directed,1,214,Knows
462,456,Henri Peace's Father,Lafayette Peace,Directed,1,214,Knows
467,329,Judge Antone Bazil Coutts,Father Jasperine,Directed,1,214,Knows of
467,461,Judge Antone Bazil Coutts,Henri Peace,Directed,1,214,Knows of
467,462,Judge Antone Bazil Coutts,Henri Peace's Father,Directed,1,214,Knows of
467,456,Judge Antone Bazil Coutts,Lafayette Peace,Directed,1,214,Knows of
467,328,Judge Antone Bazil Coutts,LaFountaine,Directed,1,214,Knows of
456,461,Lafayette Peace,Henri Peace,Directed,1,214,Knows
456,462,Lafayette Peace,Henri Peace's Father,Directed,1,214,Knows
463,461,Henri and Lafayette Peace's Uncles,Henri Peace,Directed,1,215,Knows
463,456,Henri and Lafayette Peace's Uncles,Lafayette Peace,Directed,1,215,Knows
461,463,Henri Peace,Henri and Lafayette Peace's Uncles,Directed,1,215,Knows
461,464,Henri Peace,Henri Peace's Wife,Directed,1,215,Knows
461,456,Henri Peace,Lafayette Peace,Directed,1,215,Exchange
461,466,Henri Peace,Lafayette Peace's Wife,Directed,1,215,Knows
464,461,Henri Peace's Wife,Henri Peace,Directed,1,215,Knows
467,463,Judge Antone Bazil Coutts,Henri and Lafayette Peace's Uncles,Directed,1,215,Knows of
