source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
400.0,401.0,Evelina Harp,Evelina's Ancestors,Directed,1.0,5.0,Knows of
400.0,11.0,Evelina Harp,French Settlers,Directed,1.0,5.0,Knows of
400.0,10.0,Evelina Harp,German Settlers,Directed,1.0,5.0,Knows of
400.0,12.0,Evelina Harp,Norwegian Settlers,Directed,1.0,5.0,Knows of
400.0,402.0,Evelina Harp,Severine Milk,Directed,1.0,5.0,Knows of
400.0,403.0,Evelina Harp,Severine Milk's Parishioners,Directed,1.0,5.0,Knows of
401.0,11.0,Evelina's Ancestors,French Settlers,Directed,1.0,5.0,Exchange
11.0,401.0,French Settlers,Evelina's Ancestors,Directed,1.0,5.0,Exchange
10.0,403.0,German Settlers,Severine Milk's Parishioners,Directed,1.0,5.0,Knows of
12.0,403.0,Norwegian Settlers,Severine Milk's Parishioners,Directed,1.0,5.0,Knows of
402.0,403.0,Severine Milk,Severine Milk's Parishioners,Directed,1.0,5.0,Exchange
403.0,10.0,Severine Milk's Parishioners,German Settlers,Directed,1.0,5.0,Knows of
403.0,12.0,Severine Milk's Parishioners,Norwegian Settlers,Directed,1.0,5.0,Knows of
403.0,402.0,Severine Milk's Parishioners,Severine Milk,Directed,1.0,5.0,Exchange
404.0,400.0,Clemence Harp,Evelina Harp,Directed,1.0,6.0,Knows
404.0,405.0,Clemence Harp,Seraph Milk (Mooshum),Directed,1.0,6.0,Knows
406.0,400.0,Edward Harp,Evelina Harp,Directed,1.0,6.0,Knows
406.0,407.0,Edward Harp,Joseph Harp,Directed,1.0,6.0,Knows
400.0,404.0,Evelina Harp,Clemence Harp,Directed,1.0,6.0,Knows
400.0,406.0,Evelina Harp,Edward Harp,Directed,1.0,6.0,Knows
400.0,407.0,Evelina Harp,Joseph Harp,Directed,1.0,6.0,Knows
400.0,405.0,Evelina Harp,Seraph Milk (Mooshum),Directed,1.0,6.0,Exchange
400.0,402.0,Evelina Harp,Severine Milk,Directed,1.0,6.0,Knows of
407.0,406.0,Joseph Harp,Edward Harp,Directed,1.0,6.0,Knows
407.0,400.0,Joseph Harp,Evelina Harp,Directed,1.0,6.0,Knows
407.0,405.0,Joseph Harp,Seraph Milk (Mooshum),Directed,1.0,6.0,Exchange
405.0,404.0,Seraph Milk (Mooshum),Clemence Harp,Directed,1.0,6.0,Knows
405.0,400.0,Seraph Milk (Mooshum),Evelina Harp,Directed,1.0,6.0,Exchange
405.0,407.0,Seraph Milk (Mooshum),Joseph Harp,Directed,1.0,6.0,Exchange
405.0,402.0,Seraph Milk (Mooshum),Severine Milk,Directed,1.0,6.0,Knows
402.0,405.0,Severine Milk,Seraph Milk (Mooshum),Directed,1.0,6.0,Knows
404.0,400.0,Clemence Harp,Evelina Harp,Directed,1.0,7.0,Knows
404.0,405.0,Clemence Harp,Seraph Milk (Mooshum),Directed,1.0,7.0,Exchange
406.0,400.0,Edward Harp,Evelina Harp,Directed,1.0,7.0,Knows
406.0,407.0,Edward Harp,Joseph Harp,Directed,1.0,7.0,Knows
400.0,404.0,Evelina Harp,Clemence Harp,Directed,1.0,7.0,Knows
400.0,406.0,Evelina Harp,Edward Harp,Directed,1.0,7.0,Knows
400.0,407.0,Evelina Harp,Joseph Harp,Directed,1.0,7.0,Knows
400.0,405.0,Evelina Harp,Seraph Milk (Mooshum),Directed,1.0,7.0,Exchange
400.0,402.0,Evelina Harp,Severine Milk,Directed,1.0,7.0,Knows of
400.0,403.0,Evelina Harp,Severine Milk's Parishioners,Directed,1.0,7.0,Knows of
407.0,406.0,Joseph Harp,Edward Harp,Directed,1.0,7.0,Knows
407.0,400.0,Joseph Harp,Evelina Harp,Directed,1.0,7.0,Knows
407.0,405.0,Joseph Harp,Seraph Milk (Mooshum),Directed,1.0,7.0,Exchange
405.0,404.0,Seraph Milk (Mooshum),Clemence Harp,Directed,1.0,7.0,Exchange
405.0,400.0,Seraph Milk (Mooshum),Evelina Harp,Directed,1.0,7.0,Exchange
405.0,407.0,Seraph Milk (Mooshum),Joseph Harp,Directed,1.0,7.0,Exchange
405.0,402.0,Seraph Milk (Mooshum),Severine Milk,Directed,1.0,7.0,Knows
405.0,403.0,Seraph Milk (Mooshum),Severine Milk's Parishioners,Directed,1.0,7.0,Knows
402.0,405.0,Severine Milk,Seraph Milk (Mooshum),Directed,1.0,7.0,Knows
402.0,403.0,Severine Milk,Severine Milk's Parishioners,Directed,1.0,7.0,Exchange
403.0,405.0,Severine Milk's Parishioners,Seraph Milk (Mooshum),Directed,1.0,7.0,Knows
403.0,402.0,Severine Milk's Parishioners,Severine Milk,Directed,1.0,7.0,Exchange
404.0,406.0,Clemence Harp,Edward Harp,Directed,1.0,8.0,Knows
404.0,400.0,Clemence Harp,Evelina Harp,Directed,1.0,8.0,Knows
404.0,407.0,Clemence Harp,Joseph Harp,Directed,1.0,8.0,Knows
404.0,405.0,Clemence Harp,Seraph Milk (Mooshum),Directed,1.0,8.0,Knows
406.0,404.0,Edward Harp,Clemence Harp,Directed,1.0,8.0,Knows
406.0,400.0,Edward Harp,Evelina Harp,Directed,1.0,8.0,Knows
406.0,407.0,Edward Harp,Joseph Harp,Directed,1.0,8.0,Knows
406.0,405.0,Edward Harp,Seraph Milk (Mooshum),Directed,1.0,8.0,Knows
400.0,404.0,Evelina Harp,Clemence Harp,Directed,1.0,8.0,Knows
400.0,406.0,Evelina Harp,Edward Harp,Directed,1.0,8.0,Knows
400.0,408.0,Evelina Harp,Geraldine Milk,Directed,1.0,8.0,Knows
400.0,407.0,Evelina Harp,Joseph Harp,Directed,1.0,8.0,Knows
400.0,405.0,Evelina Harp,Seraph Milk (Mooshum),Directed,1.0,8.0,Exchange
