id,Label 
519,Doctor
520,Farmer
521,Police
522,Robber
510,Gleason
511,Gleason's Father
512,Gleason's Grandfather
513,Gleason's Grandmother
514,Gleason's Mother
307,Bonnie
313,Corwin (Billy's best buddy)
31,Corwin Peace
66,Eugene Wildstrand
57,Jesus
92,John F. Kennedy
515,John Stregg
516,John Stregg's Employees
4,Judge Antone Bazil Coutts
278,Lafayette Peace
94,Louis Riel
517,Jade
163,Murdo Harp
518,Carmen Stregg
312,Shakespeare
525,Gleason's Mother's Boyfriend
523,Carmen's Father
524,Gleason (Jade and John's Baby)
