id,Label ,label
337.0,"""patron"" (pg. 276)",
345.0,"""cronuy"" (of Narrator's Father)",
336.0,Candy,
482.0,C.'s Patients,
483.0,C.'s Receptionist,
484.0,C.,
342.0,Epictetus,
,,
60.0,God,
480.0,Sprecht,
335.0,Henry David Thoreau,
279.0,Joseph J. Coutts,
301.0,Joseph J. Coutts' Wife,
481.0,Narrator,
485.0,Narrator's Mother,
486.0,Narrator's Father,
341.0,Lucretius,
176.0,Marcus Aurelius,
346.0,Old Folks,
343.0,Plotinus,
344.0,Real Estate Agent,
339.0,Ted Bursap,
348.0,Ted Bursap's Crew,
340.0,Ted Bursap's Dead Wife,
347.0,William Jennings Bryan,
190.0,"""[L]ocal poets and hippies"" (Evelina lives with)",
181.0,"""[W]hite girls"" (Evelina knows)",
184.0,"""AIM-looking boyfriends""",
183.0,"""Indian women"" (on campus)",
188.0,Anas Nin,
186.0,Arthur Rimbaud,
179.0,Bob Dylan,
211.0,Charlie Chaplin,
16.0,Clemence Harp,
31.0,Corwin Peace,
210.0,Doctors (at the state mental hospital),
18.0,Edward Harp,
3.0,Evelina Harp,
189.0,Evelina's friends (in Grand Forks),
185.0,Evelina's Roommate,
178.0,Freshmen's Parents,
180.0,Janis Joplin,
182.0,Joni Mitchell,
17.0,Joseph Harp,
176.0,Marcus Aurelius,
196.0,Mrs. L,
197.0,"Mrs. L's ""little boy""",
204.0,Nonette,
206.0,Nonette's Cousin,
208.0,Nonette's Father,
207.0,Nonette's Mother,
205.0,Nonette's Roommates,
198.0,Nurse (who was going off duty),
200.0,Nurses (at the state mental hospital),
213.0,Old Buffalo Hunters,
194.0,Other Aides (at the state mental hospital),
177.0,Other Freshmen,
199.0,Patients (at the state mental hospital),
195.0,Person (next to Evelina in the staff dormitory),
191.0,Poet (who was going underground),
209.0,Policeman (who brings Warren back),
193.0,Psych I Professor,
15.0,Seraph Milk (Mooshum),
187.0,Sylvia Plath,
192.0,UND Students,
8.0,Warren Wolde,
68.0,William Hotchkiss,
319.0,"""cop"" (in Corwin's favourite movie)",
320.0,"""manager"" (of a music store)",
323.0,"""musician"" (pg. 208)",
318.0,"""nun"" (pg. 204)",
327.0,"""people"" (at Shamengwa's funeral)",
324.0,"""people"" (in the food court)",
321.0,"""people"" (pg. 208)",
322.0,"""woman"" (pg. 208)",
470.0,Baby who was lost,
,,
31.0,Corwin Peace,
314.0,Corwin Peace's Girlfriends,
325.0,Corwin's Probation Officer,
315.0,Edward Curtis,
,,
,,
103.0,Father Cassidy,
329.0,Father Jasperine,
460.0,Shamengwa's Daugther,
60.0,God,
463.0,Baptiste and Edwin's Uncles,
461.0,Baptiste Parentheau,
462.0,Baptiste and Edwin's Father,
464.0,Baptiste's Wife,
57.0,Jesus,
,,
326.0,Joseph (biblical figure),
17.0,Joseph Harp,
,,
468.0,Shamengwa's Father,
467.0,Judge (Narrator),
34.0,Junesse Malaterre,
456.0,Edwin Parentheau,
466.0,Edwin's Wife,
328.0,LaFountaine,
94.0,Louis Riel,
28.0,Maggie Peace,
136.0,Mary (biblical figure),
15.0,Seraph Milk (Mooshum),
469.0,Shamengwa's Mother,
9.0,Severine Milk,
61.0,Shamengwa Milk,
20.0,Uncle Whitey,
471.0,Shamengwa's Sister,
472.0,Corwin's Roommates ,
473.0,Priest,
352.0,"""four men"" (deserted B.J.)",
433.0,"""local doctor"" (Ginimoshe assisted)",Local Doctor
355.0,"""patients"" (of the local doctor)",
283.0,"""youth"" (of St. Anthony)",
356.0,Alexander the Great,
351.0,B.J. Bolt,
358.0,Caius Caesar,
291.0,Colonel LeVinne P. Poolcaugh,
360.0,Democritas,
285.0,Dorea Ann Swivel,
354.0,Dorea's Husband,
67.0,Emil Buckendorf,
