source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
279,283,Joseph J. Coutts,"""youth"" (of St. Anthony)",Directed,1,96,Knows
279,285,Joseph J. Coutts,Dorea Ann Swivel,Directed,1,96,Knows
279,286,Joseph J. Coutts,Louisa Bird,Directed,1,96,Knows
279,176,Joseph J. Coutts,Marcus Aurelius,Directed,1,96,Knows
279,284,Joseph J. Coutts,St. Anthony,Directed,1,96,Knows of
279,288,Joseph J. Coutts,St. Paul,Directed,1,96,Knows of
279,287,Joseph J. Coutts,St. Paul Minister,Directed,1,96,Knows
283,279,"""youth"" (of St. Anthony)",Joseph J. Coutts,Directed,1,96,Knows
283,176,"""youth"" (of St. Anthony)",Marcus Aurelius,Directed,1,96,Knows of
283,284,"""youth"" (of St. Anthony)",St. Anthony,Directed,1,96,Knows of
285,279,Dorea Ann Swivel,Joseph J. Coutts,Directed,1,96,Knows
286,279,Louisa Bird,Joseph J. Coutts,Directed,1,96,Knows
286,287,Louisa Bird,St. Paul Minister,Directed,1,96,Knows
287,286,St. Paul Minister,Louisa Bird,Directed,1,96,Knows
287,288,St. Paul Minister,St. Paul,Directed,1,96,Knows
288,287,St. Paul,St. Paul Minister,Directed,1,96,Knows
67,292,Emil Buckendorf,Emil Buckendorf's First Brother,Directed,1,97,Knows
67,293,Emil Buckendorf,Emil Buckendorf's Second Brother,Directed,1,97,Knows
67,294,Emil Buckendorf,Emil Buckendorf's Third Brother,Directed,1,97,Knows
67,289,Emil Buckendorf,Reginald Bull,Directed,1,97,Knows
279,285,Joseph J. Coutts,Dorea Ann Swivel,Directed,1,97,Exchange
279,289,Joseph J. Coutts,Reginald Bull,Directed,1,97,Exchange
285,279,Dorea Ann Swivel,Joseph J. Coutts,Directed,1,97,Exchange
289,291,Reginald Bull,Colonel LeVinne P. Poolcaugh,Directed,1,97,Knows
289,67,Reginald Bull,Emil Buckendorf,Directed,1,97,Knows
289,292,Reginald Bull,Emil Buckendorf's First Brother,Directed,1,97,Knows
289,293,Reginald Bull,Emil Buckendorf's Second Brother,Directed,1,97,Knows
289,294,Reginald Bull,Emil Buckendorf's Third Brother,Directed,1,97,Knows
289,430,Reginald Bull,Henri Peace,Directed,1,97,Knows
289,279,Reginald Bull,Joseph J. Coutts,Directed,1,97,Exchange
289,431,Reginald Bull,Lafayette Peace,Directed,1,97,Knows
289,290,Reginald Bull,Odin Merrimack,Directed,1,97,Knows
290,291,Odin Merrimack,Colonel LeVinne P. Poolcaugh,Directed,1,97,Knows
290,289,Odin Merrimack,Reginald Bull,Directed,1,97,Knows
291,290,Colonel LeVinne P. Poolcaugh,Odin Merrimack,Directed,1,97,Knows
291,289,Colonel LeVinne P. Poolcaugh,Reginald Bull,Directed,1,97,Knows
292,67,Emil Buckendorf's First Brother,Emil Buckendorf,Directed,1,97,Knows
292,293,Emil Buckendorf's First Brother,Emil Buckendorf's Second Brother,Directed,1,97,Knows
292,294,Emil Buckendorf's First Brother,Emil Buckendorf's Third Brother,Directed,1,97,Knows
292,289,Emil Buckendorf's First Brother,Reginald Bull,Directed,1,97,Knows
293,67,Emil Buckendorf's Second Brother,Emil Buckendorf,Directed,1,97,Knows
293,292,Emil Buckendorf's Second Brother,Emil Buckendorf's First Brother,Directed,1,97,Knows
293,294,Emil Buckendorf's Second Brother,Emil Buckendorf's Third Brother,Directed,1,97,Knows
293,289,Emil Buckendorf's Second Brother,Reginald Bull,Directed,1,97,Knows
294,67,Emil Buckendorf's Third Brother,Emil Buckendorf,Directed,1,97,Knows
294,292,Emil Buckendorf's Third Brother,Emil Buckendorf's First Brother,Directed,1,97,Knows
294,293,Emil Buckendorf's Third Brother,Emil Buckendorf's Second Brother,Directed,1,97,Knows
294,289,Emil Buckendorf's Third Brother,Reginald Bull,Directed,1,97,Knows
430,431,Henri Peace,Lafayette Peace,Directed,1,97,Knows
430,289,Henri Peace,Reginald Bull,Directed,1,97,Knows
431,430,Lafayette Peace,Henri Peace,Directed,1,97,Knows
431,289,Lafayette Peace,Reginald Bull,Directed,1,97,Knows
279,285,Joseph J. Coutts,Dorea Ann Swivel,Directed,1,98,Exchange
279,430,Joseph J. Coutts,Henri Peace,Directed,1,98,Knows of
279,431,Joseph J. Coutts,Lafayette Peace,Directed,1,98,Knows of
279,286,Joseph J. Coutts,Louisa Bird,Directed,1,98,Knows
279,295,Joseph J. Coutts,School District Officer,Directed,1,98,Exchange
285,430,Dorea Ann Swivel,Henri Peace,Directed,1,98,Knows of
285,279,Dorea Ann Swivel,Joseph J. Coutts,Directed,1,98,Exchange
285,431,Dorea Ann Swivel,Lafayette Peace,Directed,1,98,Knows of
286,279,Louisa Bird,Joseph J. Coutts,Directed,1,98,Knows
295,279,School District Officer,Joseph J. Coutts,Directed,1,98,Exchange
430,431,Henri Peace,Lafayette Peace,Directed,1,98,Knows
431,430,Lafayette Peace,Henri Peace,Directed,1,98,Knows
67,296,Emil Buckendorf,First Icelandic Woman,Directed,1,99,Knows
67,279,Emil Buckendorf,Joseph J. Coutts,Directed,1,99,Knows
67,297,Emil Buckendorf,Second Icelandic Woman,Directed,1,99,Knows
279,291,Joseph J. Coutts,Colonel LeVinne P. Poolcaugh,Directed,1,99,Knows of
279,285,Joseph J. Coutts,Dorea Ann Swivel,Directed,1,99,Knows
279,67,Joseph J. Coutts,Emil Buckendorf,Directed,1,99,Knows
279,298,Joseph J. Coutts,English Bill,Directed,1,99,Knows
279,296,Joseph J. Coutts,First Icelandic Woman,Directed,1,99,Knows
279,430,Joseph J. Coutts,Henri Peace,Directed,1,99,Knows
279,431,Joseph J. Coutts,Lafayette Peace,Directed,1,99,Knows
279,289,Joseph J. Coutts,Reginald Bull,Directed,1,99,Knows
279,297,Joseph J. Coutts,Second Icelandic Woman,Directed,1,99,Knows
285,279,Dorea Ann Swivel,Joseph J. Coutts,Directed,1,99,Knows
289,291,Reginald Bull,Colonel LeVinne P. Poolcaugh,Directed,1,99,Knows
289,279,Reginald Bull,Joseph J. Coutts,Directed,1,99,Knows
291,298,Colonel LeVinne P. Poolcaugh,English Bill,Directed,1,99,Exchange
291,289,Colonel LeVinne P. Poolcaugh,Reginald Bull,Directed,1,99,Knows
296,67,First Icelandic Woman,Emil Buckendorf,Directed,1,99,Knows
296,279,First Icelandic Woman,Joseph J. Coutts,Directed,1,99,Knows
296,297,First Icelandic Woman,Second Icelandic Woman,Directed,1,99,Knows
297,67,Second Icelandic Woman,Emil Buckendorf,Directed,1,99,Knows
297,296,Second Icelandic Woman,First Icelandic Woman,Directed,1,99,Knows
297,279,Second Icelandic Woman,Joseph J. Coutts,Directed,1,99,Knows
298,291,English Bill,Colonel LeVinne P. Poolcaugh,Directed,1,99,Exchange
