character_id,character_name
0,[NULL]
3,Evelina Harp
4,Judge Antone Bazil Coutts
5,Marn Wolde
6,Doctor Cordelia Lochren
7,Henri Peace
8,Warren Wolde
9,Severine Milk
10,German Settlers
11,French Settlers
12,Norwegian Settlers
13,Severine Milk's Parishioners
14,Evelina's Ancestors
15,Seraph Milk (Mooshum)
16,Clemence Harp
17,Joseph Harp
18,Edward Harp
19,Geraldine Milk
20,Uncle Whitey
21,"""Haskell Indian Princess"""
22,"""[Y]oung man on a passenger train"""
23,"""[S]mall town stripper"""
24,"Agathe (""Happy"")"
25,Priest (who Agathe left the convent for)
26,John Wildstrand
27,Neve Harp
28,Maggie Peace
29,Octave Harp
30,Woman (Octave drowned himself over)
31,Corwin Peace
32,Other Children (in school with Evelina)
33,Edward's Students
34,Junesse Malaterre
35,Junesse's Aunt
36,French Voyageur
37,Junesse's Six Younger Cousins
38,Off-Reservation Dentist
39,Beryl Hoop
41,Jackie Kennedy
42,"""Mustache"" Maude Black"
43,Ott Black
44,Erling Nicolai Rolfsrud
45,The Lochren Family
46,Holy Track
47,Cuthbert Peace
48,Asiginak
49,The Lochren Murder
50,The Lynching
51,Billy Peace
52,Marn Wolde's Mother
53,Marn Wolde's Father
54,Warren Wolde's Father
55,Marn Wolde's Grandfather
56,Marn Wolde's Grandmother
57,Jesus
58,"""[S]inging people"""
59,"Ed (""[M]ain preacher"")"
60,God
61,Shamengwa Milk
63,Frederic Vogeli
65,Oric Hoag
66,Eugene Wildstrand
67,Emil Buckendorf
68,William Hotchkiss
69,Woman (murdered a couple farms over)
71,Husband (of the woman murdered a couple farms over
72,Neighbours (of Maude Black)
73,Man (who Ott shot in the leg)
74,Doctor (who Maude sent for)
75,Satan
76,Ed's Mother
77,"""[P]eople"" (praying over Ed's mother)"
78,Judah Peace
79,Lilith Peace
80,Billy Peace's Father
81,Billy Peace's Mother
83,"""[E]ight retired persons"""
84,Marn Wolde's First Brother
85,Marn Wolde's Second Brother
86,Seraph and Junesse's Other Children
87,Chief Gall
91,"The ""black-haired"" Stooge"
92,John F. Kennedy
93,Pope John XXII
94,Louis Riel
95,Seraph Milk's Mother
96,Joseph Milk (Seraph Milk's Father)
97,Louis Riel's Wife
98,Louis Riel's Child
99,Louis Riel's Lieutenants
100,Priests (who threatened Louis Riel's followers)
101,Baby (who the Milk family lost)
102,Old Retired Priest
103,Father Cassidy
105,Evelina and Joseph's Friends
106,Peace Cousins
107,Evelina and Joseph's Other Cousins
108,Evelina's Girlfriends
109,Gabriel Dumont
110,"""[M]ixed-bloods"""
111,"""Indians"""
113,Clemence's Doctor
114,"""[L]awyer"" (Billy hires)"
115,"""[P]eople"" (in Marn's house)"
116,"""[A] congressional member"""
117,The Kindred
118,Virginie
119,Marn's Diamondback
120,Marn's Copperhead
121,Train Car Passengers
122,Frenchie
123,"""[W]aitress"" (at the 4-B's)"
124,Deborah
125,Bliss
126,Deborah's children
127,Anguish
128,Neve Harp's Second Husband
129,Neve Harp's Potential Third Husband
131,Mrs. Bannock
132,Shamengwa's Wife
134,"Seraph and Shamengwa's ""cronies"""
135,Sister Mary Anita Buckendorf
136,Mary (biblical figure)
137,The Apostles (biblical figures)
138,Zorro
139,Evelina's Former Teachers
140,Other Teachers (at Evelina's school)
141,People (Seraph inspects in the front yard)
