source,target,type,weight,startPage,category
3.0,9.0,Directed,1,5,Knows of
3.0,9.0,Directed,1,6,Knows of
3.0,9.0,Directed,1,7,Knows of
3.0,9.0,Directed,1,8,Knows of
3.0,10.0,Directed,1,5,Knows of
3.0,12.0,Directed,1,5,Knows of
3.0,11.0,Directed,1,5,Knows of
3.0,16.0,Directed,1,6,Knows
3.0,16.0,Directed,1,7,Knows
3.0,16.0,Directed,1,8,Knows
3.0,17.0,Directed,1,6,Knows
3.0,17.0,Directed,1,7,Knows
3.0,17.0,Directed,1,8,Knows
3.0,17.0,Directed,1,9,Knows
3.0,13.0,Directed,1,5,Knows of
3.0,13.0,Directed,1,7,Knows of
3.0,13.0,Directed,1,8,Knows of
3.0,19.0,Directed,1,8,Knows
3.0,19.0,Directed,1,9,Knows
3.0,22.0,Directed,1,9,Knows of
3.0,20.0,Directed,1,8,Knows
3.0,20.0,Directed,1,9,Knows
3.0,21.0,Directed,1,9,Knows of
3.0,23.0,Directed,1,9,Knows of
3.0,26.0,Directed,1,8,Knows of
3.0,26.0,Directed,1,9,Knows of
3.0,27.0,Directed,1,8,Knows
3.0,27.0,Directed,1,9,Knows
3.0,28.0,Directed,1,9,Knows of
3.0,29.0,Directed,1,8,Knows of
3.0,29.0,Directed,1,9,Knows of
3.0,30.0,Directed,1,9,Knows of
3.0,31.0,Directed,1,9,Knows
3.0,32.0,Directed,1,10,Exchange
3.0,16.0,Directed,1,10,Knows
3.0,18.0,Directed,1,10,Knows
3.0,16.0,Directed,1,11,Knows
3.0,15.0,Directed,1,11,Exchange
3.0,33.0,Directed,1,11,Knows of
3.0,34.0,Directed,1,11,Knows
3.0,34.0,Directed,1,12,Knows
3.0,36.0,Directed,1,12,Knows of
3.0,17.0,Directed,1,12,Knows
3.0,18.0,Directed,1,12,Knows
3.0,35.0,Directed,1,12,Knows of
3.0,9.0,Directed,1,12,Knows of
3.0,37.0,Directed,1,12,Knows of
3.0,34.0,Directed,1,13,Knows
3.0,38.0,Directed,1,13,Exchange
3.0,31.0,Directed,1,14,Exchange
3.0,32.0,Directed,1,14,Knows
3.0,40.0,Directed,1,14,Knows of
3.0,16.0,Directed,1,15,Exchange
3.0,41.0,Directed,1,15,Knows of
3.0,40.0,Directed,1,15,Knows of
3.0,15.0,Directed,1,15,Knows
3.0,34.0,Directed,1,15,Knows
3.0,42.0,Directed,1,15,Knows of
3.0,42.0,Directed,1,16,Knows of
3.0,15.0,Directed,1,16,Exchange
3.0,34.0,Directed,1,16,Knows
3.0,43.0,Directed,1,16,Knows of
3.0,44.0,Directed,1,16,Knows of
3.0,42.0,Directed,1,17,Knows of
3.0,42.0,Directed,1,18,Knows of
3.0,34.0,Directed,1,17,Knows
3.0,49.0,Directed,1,17,Knows of
3.0,45.0,Directed,1,17,Knows of
3.0,50.0,Directed,1,17,Knows of
3.0,46.0,Directed,1,17,Knows of
3.0,48.0,Directed,1,17,Knows of
3.0,47.0,Directed,1,17,Knows of
3.0,63.0,Directed,1,17,Knows of
3.0,64.0,Directed,1,17,Knows of
3.0,65.0,Directed,1,17,Knows of
3.0,66.0,Directed,1,17,Knows of
3.0,68.0,Directed,1,17,Knows of
3.0,67.0,Directed,1,17,Knows of
3.0,70.0,Directed,1,17,Knows of
3.0,69.0,Directed,1,17,Knows of
3.0,69.0,Directed,1,18,Knows of
3.0,71.0,Directed,1,17,Knows of
3.0,71.0,Directed,1,18,Knows of
3.0,72.0,Directed,1,17,Knows of
3.0,72.0,Directed,1,18,Knows of
3.0,43.0,Directed,1,18,Knows of
3.0,73.0,Directed,1,18,Knows of
3.0,74.0,Directed,1,18,Knows of
3.0,34.0,Directed,1,19,Knows
3.0,16.0,Directed,1,19,Knows
3.0,19.0,Directed,1,19,Knows
3.0,20.0,Directed,1,19,Knows
3.0,86.0,Directed,1,19,Knows of
3.0,18.0,Directed,1,19,Knows
3.0,17.0,Directed,1,19,Knows
3.0,43.0,Directed,1,19,Knows of
3.0,42.0,Directed,1,19,Knows of
3.0,15.0,Directed,1,19,Knows
3.0,87.0,Directed,1,19,Knows of
3.0,73.0,Directed,1,19,Knows of
3.0,88.0,Directed,1,19,Knows of
3.0,89.0,Directed,1,19,Knows of
3.0,90.0,Directed,1,19,Knows of
3.0,18.0,Directed,1,19,Knows
3.0,17.0,Directed,1,19,Knows
3.0,16.0,Directed,1,19,Knows
3.0,91.0,Directed,1,19,Knows of
3.0,34.0,Directed,1,19,Knows
3.0,31.0,Directed,1,20,Exchange
3.0,92.0,Directed,1,21,Knows of
3.0,93.0,Directed,1,21,Knows of
3.0,94.0,Directed,1,21,Knows of
3.0,94.0,Directed,1,22,Knows of
3.0,16.0,Directed,1,21,Knows
3.0,18.0,Directed,1,21,Knows
3.0,15.0,Directed,1,21,Knows
3.0,15.0,Directed,1,22,Knows
3.0,15.0,Directed,1,23,Knows
3.0,15.0,Directed,1,24,Knows
3.0,15.0,Directed,1,25,Knows
3.0,15.0,Directed,1,26,Knows
3.0,15.0,Directed,1,27,Knows
3.0,15.0,Directed,1,28,Knows
3.0,61.0,Directed,1,21,Knows
3.0,61.0,Directed,1,22,Knows
3.0,61.0,Directed,1,23,Knows
3.0,61.0,Directed,1,24,Knows
3.0,61.0,Directed,1,25,Knows
3.0,61.0,Directed,1,26,Knows
3.0,61.0,Directed,1,27,Knows
3.0,61.0,Directed,1,28,Knows
3.0,9.0,Directed,1,21,Knows of
3.0,9.0,Directed,1,22,Knows of
3.0,96.0,Directed,1,21,Knows of
3.0,96.0,Directed,1,22,Knows of
3.0,95.0,Directed,1,21,Knows of
3.0,97.0,Directed,1,21,Knows of
3.0,98.0,Directed,1,21,Knows of
3.0,99.0,Directed,1,21,Knows of
3.0,100.0,Directed,1,21,Knows of
3.0,100.0,Directed,1,22,Knows of
3.0,101.0,Directed,1,21,Knows of
3.0,16.0,Directed,1,22,Knows
3.0,16.0,Directed,1,23,Knows
3.0,16.0,Directed,1,24,Knows
3.0,19.0,Directed,1,22,Knows
3.0,19.0,Directed,1,23,Knows
3.0,102.0,Directed,1,22,Knows
3.0,102.0,Directed,1,23,Knows
3.0,103.0,Directed,1,23,Knows
3.0,103.0,Directed,1,24,Knows
3.0,103.0,Directed,1,25,Knows
3.0,103.0,Directed,1,26,Knows
3.0,103.0,Directed,1,27,Knows
3.0,103.0,Directed,1,28,Knows
3.0,17.0,Directed,1,23,Exchange
3.0,17.0,Directed,1,24,Knows
3.0,17.0,Directed,1,25,Exchange
3.0,17.0,Directed,1,26,Exchange
3.0,17.0,Directed,1,27,Exchange
3.0,17.0,Directed,1,28,Exchange
3.0,17.0,Directed,1,29,Exchange
3.0,17.0,Directed,1,30,Exchange
3.0,16.0,Directed,1,26,Exchange
3.0,16.0,Directed,1,27,Knows
3.0,18.0,Directed,1,28,Knows
3.0,18.0,Directed,1,29,Knows
3.0,19.0,Directed,1,28,Knows
3.0,19.0,Directed,1,29,Knows
3.0,105.0,Directed,1,28,Knows
3.0,106.0,Directed,1,28,Knows
3.0,31.0,Directed,1,28,Knows
3.0,107.0,Directed,1,28,Knows
