source,target,Character 1,Character 2,type,weight,startPage,category
2,6,Sagaween (Laxsgiik),"""Hladerh"" (Laxgibuu)",Directed,1,50,Exchange
6,2,"""Hladerh"" (Laxgibuu)",Sagaween (Laxsgiik),Directed,1,50,Exchange
6,2,"""Hladerh"" (Laxgibuu)",Sagaween (Laxsgiik),Directed,1,51,Exchange
2,6,Sagaween (Laxsgiik),"""Hladerh"" (Laxgibuu)",Directed,1,51,Exchange
6,2,"""Hladerh"" (Laxgibuu)",Sagaween (Laxsgiik),Directed,1,52,Exchange
2,6,Sagaween (Laxsgiik),"""Hladerh"" (Laxgibuu)",Directed,1,52,Exchange
2,6,Sagaween (Laxsgiik),"""Hladerh"" (Laxgibuu)",Directed,1,53,Exchange
6,2,"""Hladerh"" (Laxgibuu)",Sagaween (Laxsgiik),Directed,1,53,Exchange
2,6,Sagaween (Laxsgiik),"""Hladerh"" (Laxgibuu)",Directed,1,54,Exchange
6,2,"""Hladerh"" (Laxgibuu)",Sagaween (Laxsgiik),Directed,1,54,Exchange
2,6,Sagaween (Laxsgiik),"""Hladerh"" (Laxgibuu)",Directed,1,55,Exchange
6,2,"""Hladerh"" (Laxgibuu)",Sagaween (Laxsgiik),Directed,1,55,Exchange
6,2,"""Hladerh"" (Laxgibuu)",Sagaween (Laxsgiik),Directed,1,56,Exchange
2,6,Sagaween (Laxsgiik),"""Hladerh"" (Laxgibuu)",Directed,1,56,Exchange
6,2,"""Hladerh"" (Laxgibuu)",Sagaween (Laxsgiik),Directed,1,57,Exchange
2,6,Sagaween (Laxsgiik),"""Hladerh"" (Laxgibuu)",Directed,1,57,Exchange
2,6,Sagaween (Laxsgiik),"""Hladerh"" (Laxgibuu)",Directed,1,58,Exchange
6,2,"""Hladerh"" (Laxgibuu)",Sagaween (Laxsgiik),Directed,1,58,Exchange
2,6,Sagaween (Laxsgiik),"""Hladerh"" (Laxgibuu)",Directed,1,59,Exchange
6,2,"""Hladerh"" (Laxgibuu)",Sagaween (Laxsgiik),Directed,1,59,Exchange
23,15,Dennis Wood,fictional Barbeau,Directed,1,550,Exchange
15,23,fictional Barbeau,Dennis Wood,Directed,1,550,Exchange
23,15,Dennis Wood,fictional Barbeau,Directed,1,551,Exchange
15,23,fictional Barbeau,Dennis Wood,Directed,1,551,Exchange
23,15,Dennis Wood,fictional Barbeau,Directed,1,552,Exchange
15,23,fictional Barbeau,Dennis Wood,Directed,1,552,Exchange
15,23,fictional Barbeau,Dennis Wood,Directed,1,553,Exchange
23,15,Dennis Wood,fictional Barbeau,Directed,1,553,Exchange
23,15,Dennis Wood,fictional Barbeau,Directed,1,554,Exchange
15,23,fictional Barbeau,Dennis Wood,Directed,1,554,Exchange
15,23,fictional Barbeau,Dennis Wood,Directed,1,555,Exchange
23,15,Dennis Wood,fictional Barbeau,Directed,1,555,Exchange
15,23,fictional Barbeau,Dennis Wood,Directed,1,556,Exchange
23,15,Dennis Wood,fictional Barbeau,Directed,1,556,Exchange
23,15,Dennis Wood,fictional Barbeau,Directed,1,557,Exchange
15,23,fictional Barbeau,Dennis Wood,Directed,1,557,Exchange
23,15,Dennis Wood,fictional Barbeau,Directed,1,558,Exchange
15,23,fictional Barbeau,Dennis Wood,Directed,1,558,Exchange
15,23,fictional Barbeau,Dennis Wood,Directed,1,559,Exchange
23,15,Dennis Wood,fictional Barbeau,Directed,1,559,Exchange
25,16,Jordan Abel's mother,biographical Abel,Directed,1,630,Exchange
26,16,Jordan Abel's family,biographical Abel,Directed,1,630,Exchange
16,26,biographical Abel,Jordan Abel's family,Directed,1,630,Exchange
16,25,biographical Abel,Jordan Abel's mother,Directed,1,630,Exchange
25,16,Jordan Abel's mother,biographical Abel,Directed,1,631,Exchange
26,16,Jordan Abel's family,biographical Abel,Directed,1,631,Exchange
16,25,biographical Abel,Jordan Abel's mother,Directed,1,631,Exchange
16,26,biographical Abel,Jordan Abel's family,Directed,1,631,Exchange
16,25,biographical Abel,Jordan Abel's mother,Directed,1,632,Exchange
25,16,Jordan Abel's mother,biographical Abel,Directed,1,632,Exchange
26,16,Jordan Abel's family,biographical Abel,Directed,1,632,Exchange
16,26,biographical Abel,Jordan Abel's family,Directed,1,632,Exchange
26,16,Jordan Abel's family,biographical Abel,Directed,1,633,Exchange
25,16,Jordan Abel's mother,biographical Abel,Directed,1,633,Exchange
16,25,biographical Abel,Jordan Abel's mother,Directed,1,633,Exchange
16,26,biographical Abel,Jordan Abel's family,Directed,1,633,Exchange
26,16,Jordan Abel's family,biographical Abel,Directed,1,634,Exchange
25,16,Jordan Abel's mother,biographical Abel,Directed,1,634,Exchange
16,25,biographical Abel,Jordan Abel's mother,Directed,1,634,Exchange
16,26,biographical Abel,Jordan Abel's family,Directed,1,634,Exchange
16,25,biographical Abel,Jordan Abel's mother,Directed,1,635,Exchange
26,16,Jordan Abel's family,biographical Abel,Directed,1,635,Exchange
25,16,Jordan Abel's mother,biographical Abel,Directed,1,635,Exchange
16,26,biographical Abel,Jordan Abel's family,Directed,1,635,Exchange
26,16,Jordan Abel's family,biographical Abel,Directed,1,636,Exchange
25,16,Jordan Abel's mother,biographical Abel,Directed,1,636,Exchange
16,26,biographical Abel,Jordan Abel's family,Directed,1,636,Exchange
16,25,biographical Abel,Jordan Abel's mother,Directed,1,636,Exchange
25,16,Jordan Abel's mother,biographical Abel,Directed,1,637,Exchange
26,16,Jordan Abel's family,biographical Abel,Directed,1,637,Exchange
16,26,biographical Abel,Jordan Abel's family,Directed,1,637,Exchange
16,25,biographical Abel,Jordan Abel's mother,Directed,1,637,Exchange
25,16,Jordan Abel's mother,biographical Abel,Directed,1,638,Exchange
16,25,biographical Abel,Jordan Abel's mother,Directed,1,638,Exchange
16,26,biographical Abel,Jordan Abel's family,Directed,1,638,Exchange
26,16,Jordan Abel's family,biographical Abel,Directed,1,638,Exchange
26,16,Jordan Abel's family,biographical Abel,Directed,1,639,Exchange
16,26,biographical Abel,Jordan Abel's family,Directed,1,639,Exchange
25,16,Jordan Abel's mother,biographical Abel,Directed,1,639,Exchange
16,25,biographical Abel,Jordan Abel's mother,Directed,1,639,Exchange
27,28,"""Yaw'l"" (Laxgibuu)","brothers of ""Yaw'l"" (Laxgibuu)",Directed,1,670,Exchange
28,31,"brothers of ""Yaw'l"" (Laxgibuu)","""Ksemkaigyet"" (""female being"")",Directed,1,670,Exchange
27,30,"""Yaw'l"" (Laxgibuu)","brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,1,670,Exchange
30,31,"brother of ""Yaw'l"" who killed ""Huge-Belly""","""Ksemkaigyet"" (""female being"")",Directed,1,670,Exchange
29,30,"""Huge-Belly""","brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,1,670,Exchange
28,29,"brothers of ""Yaw'l"" (Laxgibuu)","""Huge-Belly""",Directed,1,670,Exchange
30,29,"brother of ""Yaw'l"" who killed ""Huge-Belly""","""Huge-Belly""",Directed,1,670,Exchange
28,27,"brothers of ""Yaw'l"" (Laxgibuu)","""Yaw'l"" (Laxgibuu)",Directed,1,670,Exchange
27,31,"""Yaw'l"" (Laxgibuu)","""Ksemkaigyet"" (""female being"")",Directed,1,670,Exchange
28,30,"brothers of ""Yaw'l"" (Laxgibuu)","brother of ""Yaw'l"" who killed ""Huge-Belly""",Directed,1,670,Exchange
29,28,"""Huge-Belly""","brothers of ""Yaw'l"" (Laxgibuu)",Directed,1,670,Exchange
31,27,"""Ksemkaigyet"" (""female being"")","""Yaw'l"" (Laxgibuu)",Directed,1,670,Exchange
