source,target,Character 1,Character 2,type,weight,startPage,category
60,58,collage photos,Pole of Sagaween,Directed,1,30,Knows
60,2,collage photos,Sagaween (Laxsgiik),Directed,1,30,Knows
1,60,speaker Abel,collage photos,Directed,1,30,Knows
60,1,collage photos,speaker Abel,Directed,1,30,Knows
60,58,collage photos,Pole of Sagaween,Directed,1,31,Knows
60,2,collage photos,Sagaween (Laxsgiik),Directed,1,31,Knows
60,1,collage photos,speaker Abel,Directed,1,31,Knows
1,60,speaker Abel,collage photos,Directed,1,31,Knows
60,1,collage photos,speaker Abel,Directed,1,32,Knows
60,58,collage photos,Pole of Sagaween,Directed,1,32,Knows
1,60,speaker Abel,collage photos,Directed,1,32,Knows
60,2,collage photos,Sagaween (Laxsgiik),Directed,1,32,Knows
60,1,collage photos,speaker Abel,Directed,1,33,Knows
1,60,speaker Abel,collage photos,Directed,1,33,Knows
60,58,collage photos,Pole of Sagaween,Directed,1,33,Knows
60,2,collage photos,Sagaween (Laxsgiik),Directed,1,33,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,1,34,Knows
53,58,blank (missing null option here),Pole of Sagaween,Directed,1,34,Knows of
58,1,Pole of Sagaween,speaker Abel,Directed,1,34,Knows
53,2,blank (missing null option here),Sagaween (Laxsgiik),Directed,1,34,Knows of
53,1,blank (missing null option here),speaker Abel,Directed,1,34,Knows of
1,58,speaker Abel,Pole of Sagaween,Directed,1,34,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,1,35,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,1,35,Knows
53,2,blank (missing null option here),Sagaween (Laxsgiik),Directed,1,35,Knows of
1,58,speaker Abel,Pole of Sagaween,Directed,1,35,Knows
53,1,blank (missing null option here),speaker Abel,Directed,1,35,Knows of
53,58,blank (missing null option here),Pole of Sagaween,Directed,1,35,Knows of
53,58,blank (missing null option here),Pole of Sagaween,Directed,1,36,Knows of
53,1,blank (missing null option here),speaker Abel,Directed,1,36,Knows of
58,1,Pole of Sagaween,speaker Abel,Directed,1,36,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,1,36,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,1,36,Knows
53,2,blank (missing null option here),Sagaween (Laxsgiik),Directed,1,36,Knows of
1,58,speaker Abel,Pole of Sagaween,Directed,1,37,Knows
53,58,blank (missing null option here),Pole of Sagaween,Directed,1,37,Knows of
53,2,blank (missing null option here),Sagaween (Laxsgiik),Directed,1,37,Knows of
58,1,Pole of Sagaween,speaker Abel,Directed,1,37,Knows
53,1,blank (missing null option here),speaker Abel,Directed,1,37,Knows of
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,1,37,Knows
53,58,blank (missing null option here),Pole of Sagaween,Directed,1,38,Knows of
53,2,blank (missing null option here),Sagaween (Laxsgiik),Directed,1,38,Knows of
53,1,blank (missing null option here),speaker Abel,Directed,1,38,Knows of
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,1,38,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,1,38,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,1,38,Knows
1,2,speaker Abel,Sagaween (Laxsgiik),Directed,1,39,Knows
58,1,Pole of Sagaween,speaker Abel,Directed,1,39,Knows
1,58,speaker Abel,Pole of Sagaween,Directed,1,39,Knows
53,58,blank (missing null option here),Pole of Sagaween,Directed,1,39,Knows of
