id,Name
73,"""'His grandson'"""
19,"""'Neeskyinwaet"" (Laxgibuu)"
54,"""ancestors of Eagles"""
55,"""ancestors of Wolves"""
3,"""Eagle-Raven clan"""
36,"""Gitrhawn clan"""
49,"""glass-nosed spirit"""
37,"""Gunas"" (Laxsgiik)"
63,"""Gyaibelk"" (carved)"
6,"""Hladerh"" (Laxgibuu)"
29,"""Huge-Belly"""
11,"""Indians"" (abstract)"
31,"""Ksemkaigyet""/""female being"""
32,"""Ksemkaigyet""/old man"
24,"""mythical man with sea cockle (kal'own)"" (carved)"
21,"""Paraet'Naerhl"""
62,"""person with many-faced garment (gyet)"" (carved)"
58,"""Pole of Sagaween"""
51,"""Samedeek""/""chief Grizzly-Bear"" (Gisk'ansnaat)"
5,"""Sispagut"" (Gisk'aast)"
69,"""the Eagle"""
61,"""the Sperm Whale (hlpoon)"" (carved)"
41,"""the Spirit Halibut"""
50,"""the Spirit"""
59,"""Three Persons Along"", ""Shaking Pole of Kw’axsuu"""
27,"""Yaw'l"" (Laxgibuu)"
74,"academic voice"
13,"Barton (Laxgibuu)"
16,"Biographical Jordan Abel"
53,"blank (missing null option here)"
30,"brother of ""Yaw'l"" who killed ""Huge-Belly"""
28,"brothers of ""Yaw'l"" (Laxgibuu)"
56,"Caxton Printers"
71,"cedar bark squid"
38,"chief of ""Gitrhawn clan"""
66,"Child Jordan Abel"
60,"collage photos"
9,"crew of Indians"
23,"Dennis Wood"
42,"father of Sagaween (Gisk'aast)"
15,"Fictional Marius Barbeau"
17,"first ""'Neesyoq"" (Laxgibuu)"
70,"fishers with ""Gunas"""
34,"friends of Abel's parents"
4,"Gisk'aast (""Gyispawaduwada""/Killer Whale Clan)"
78,"Haida"
75,"James Deans"
26,"Jordan Abel's family"
33,"Jordan Abel's father"
25,"Jordan Abel's mother"
20,"Laxgibuu (""Wolf clan"")"
57,"Macmillan Company of Canada"
64,"man on the top of unknown Nass River pole"
10,"men walking on ""Pole of Sag̱aween"""
77,"nephews of ""Samedeek"" (Gisk'ansnaat)"
48,"Nisg̱a’a"
7,"Oyee (""Oyai"")"
76,"Queen Charlotte"
8,"railway engineer"
14,"Real Marius Barbeau"
12,"residents of Git'iks/""Gitiks"""
46,"ROM admissions staff member"
72,"ROM admissions superiors"
52,"Sagaween's nephews (Laxsgiik)"
2,"Sag̱aween/""Sakau'wan""/""Chief Mountain"" (Laxsgiik)"
18,"second ""'Neesyoq"" (Laxgibuu)"
22,"son of ""Paraet'Naerhl"""
1,"Speaker Jordan Abel"
39,"the Thunderbird"
68,"totem pole in Vancouver mall"
65,"unknown Nass River pole"
45,"Vancouver carvers"
67,"various totem poles in Vancouver"
44,"visitors at the house of Sagaween"
80,"women related to the ""Coffin House"""
43,"women singing"
