id,Title,Level,Start Page,End Page,Narrator,Protagonist,Embed. Type
1,"1","level 1 (section)","10","1500","blank (missing null option here)","blank (missing null option here)","[NULL]"
3,"2a","level 1 (section)","1510","2080","blank (missing null option here)","blank (missing null option here)","[NULL]"
4,"2b","level 1 (section)","2090","2340","blank (missing null option here)","blank (missing null option here)","[NULL]"
5,"2c","level 1 (section)","2350","2550","blank (missing null option here)","blank (missing null option here)","[NULL]"
6,"section 1","level 2 (sub-section)","10","19","blank (missing null option here)","blank (missing null option here)","[NULL]"
7,"""afeudoverthispole"" (photo)","level 2 (sub-section)","30","33","collage photos","blank (missing null option here)","[NULL]"
8,"""afeudoverthispole"" (text)","level 2 (sub-section)","34","39","blank (missing null option here)","blank (missing null option here)","[NULL]"
9,"""A feud over this pole.""","level 2 (sub-section)","50","59","real Barbeau","Sagaween (Laxsgiik)","[NULL]"
10,"""or Sakau'wan""","level 2 (sub-section)","70","79","speaker Abel","blank (missing null option here)","[NULL]"
11,"""his / new totems""","level 2 (sub-section)","90","99","speaker Abel","blank (missing null option here)","[NULL]"
12,"""an account / or / summary""","level 2 (sub-section)","110","119","speaker Abel","blank (missing null option here)","[NULL]"
13,"""his / his / theirs""","level 2 (sub-section)","130","139","speaker Abel","blank (missing null option here)","[NULL]"
14,"""In summary""","level 2 (sub-section)","150","159","speaker Abel","blank (missing null option here)","[NULL]"
15,"""thepoletransportedtotoronto"" (photo)","level 2 (sub-section)","170","172","collage photos","blank (missing null option here)","[NULL]"
16,"""thepoletransportedtotoronto"" (text)","level 2 (sub-section)","173","179","blank (missing null option here)","blank (missing null option here)","[NULL]"
17,"""The pole transported to Toronto.""","level 2 (sub-section)","190","199","real Barbeau","blank (missing null option here)","[NULL]"
18,"""remove / transfer / shift""","level 2 (sub-section)","210","219","speaker Abel","blank (missing null option here)","[NULL]"
19,"""his totem / the water""","level 2 (sub-section)","230","239","speaker Abel","blank (missing null option here)","[NULL]"
20,"""remove / thousands of / Indians""","level 2 (sub-section)","250","259","speaker Abel","blank (missing null option here)","[NULL]"
21,"""along the coast to Prince Rupert"" (cloud)","level 2 (sub-section)","270","279","speaker Abel","blank (missing null option here)","[NULL]"
22,"""removalofthesakauwanpolefromnassriver"" (photo)","level 2 (sub-section)","290","292","collage photos","blank (missing null option here)","[NULL]"
23,"""removalofthesakauwanpolefromnassriver"" (text)","level 2 (sub-section)","293","299","speaker Abel","blank (missing null option here)","[NULL]"
24,"""Removal of the Sakau'wan pole from Nass River.""","level 2 (sub-section)","310","319","real Barbeau","blank (missing null option here)","[NULL]"
25,"""his / stateliness""","level 2 (sub-section)","330","339","speaker Abel","blank (missing null option here)","[NULL]"
26,"""the Northwest Coast""","level 2 (sub-section)","350","359","speaker Abel","blank (missing null option here)","[NULL]"
27,"""o r / o orr"" (cloud)","level 2 (sub-section)","370","379","speaker Abel","blank (missing null option here)","[NULL]"
28,"""hung over / the fire""","level 2 (sub-section)","390","399","speaker Abel","blank (missing null option here)","[NULL]"
29,"""for / the / sight of""","level 2 (sub-section)","410","419","speaker Abel","blank (missing null option here)","[NULL]"
30,"""The anthropologist humbled by beauty and the sleepless moon.""","level 2 (sub-section)","430","439","fictional Barbeau","fictional Barbeau","[NULL]"
31,"""thesilhouetteofapoleontheshoreofnassriver"" (photo)","level 2 (sub-section)","450","454","collage photos","blank (missing null option here)","[NULL]"
32,"""thesilhouetteofapoleontheshoreofnassriver"" (text)","level 2 (sub-section)","455","459","speaker Abel","blank (missing null option here)","[NULL]"
33,"""The pole of 'Neesyoq and 'Neeskywinwaet""","level 2 (sub-section)","470","479","real Barbeau","blank (missing null option here)","[NULL]"
34,"""(wilplarhae)""","level 2 (sub-section)","490","499","speaker Abel","blank (missing null option here)","[NULL]"
35,"""( )"" (scatter)","level 2 (sub-section)","510","519","speaker Abel","blank (missing null option here)","[NULL]"
36,"""(field )""","level 2 (sub-section)","530","539","speaker Abel","blank (missing null option here)","[NULL]"
37,"""The silhouette of a pole on the shore of Nass River.""","level 2 (sub-section)","550","559","fictional Barbeau","blank (missing null option here)","[NULL]"
38,"""R. O. M."" (photo)","level 2 (sub-section)","570","573","collage photos","blank (missing null option here)","[NULL]"
39,"""R. O. M."" (text)","level 2 (sub-section)","574","579","speaker Abel","blank (missing null option here)","[NULL]"
40,"""13.07.1992 / The poet, deep in a docile state of youth""","level 2 (sub-section)","590","599","biographical Abel","biographical Abel","[NULL]"
41,"""13.07.1992"" overlapping ""25.12.2010"" (scatter)","level 2 (sub-section)","610","619","biographical Abel","biographical Abel","[NULL]"
42,"""25.12.2010 / The poet exchanges gifts""","level 2 (sub-section)","630","639","biographical Abel","biographical Abel","[NULL]"
43,"""themythofthedragonfly"" (photo)","level 2 (sub-section)","650","652","collage photos","blank (missing null option here)","[NULL]"
44,"""themythofthedragonfly"" (text)","level 2 (sub-section)","653","659","speaker Abel","blank (missing null option here)","[NULL]"
45,"""The myth of the Dragon-Fly.""","level 2 (sub-section)","670","679","real Barbeau","blank (missing null option here)","[NULL]"
46,""" . ' "" (scatter)","level 2 (sub-section)","690","699","speaker Abel","blank (missing null option here)","[NULL]"
47,"""this clan / covered the ground""","level 2 (sub-section)","710","719","speaker Abel","blank (missing null option here)","[NULL]"
