id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
2,"Knows","real Barbeau","Sagaween (Laxsgiik)","1","""A feud over this pole.""","50","59"
3,"Knows","Sagaween (Laxsgiik)","""Eagle-Raven clan""","1","""A feud over this pole.""","50","59"
4,"Knows","Sagaween (Laxsgiik)","Gisk'aast (""Killer Whale Clan"")","1","""A feud over this pole.""","50","59"
5,"Knows","real Barbeau","""Eagle-Raven clan""","0","""A feud over this pole.""","50","59"
6,"Knows","real Barbeau","Gisk'aast (""Killer Whale Clan"")","1","""A feud over this pole.""","50","59"
7,"Knows of","real Barbeau","""Sispagut"" (Gisk'aast)","0","""A feud over this pole.""","50","59"
8,"Knows of","real Barbeau","Oyee (""Oyai"")","0","""A feud over this pole.""","50","59"
9,"Knows of","real Barbeau","""Hladerh"" (Laxgibuu)","0","""A feud over this pole.""","50","59"
10,"Knows","Sagaween (Laxsgiik)","""Sispagut"" (Gisk'aast)","1","""A feud over this pole.""","50","59"
11,"Exchange","Sagaween (Laxsgiik)","""Hladerh"" (Laxgibuu)","1","""A feud over this pole.""","50","59"
12,"Knows of","Sagaween (Laxsgiik)","Oyee (""Oyai"")","1","""A feud over this pole.""","50","59"
13,"Knows","""Eagle-Raven clan""","Gisk'aast (""Killer Whale Clan"")","1","""A feud over this pole.""","50","59"
14,"Knows","""Sispagut"" (Gisk'aast)","Gisk'aast (""Killer Whale Clan"")","1","""A feud over this pole.""","50","59"
15,"Knows","""Sispagut"" (Gisk'aast)","""Hladerh"" (Laxgibuu)","1","""A feud over this pole.""","50","59"
16,"Knows","""Sispagut"" (Gisk'aast)","Oyee (""Oyai"")","1","""A feud over this pole.""","50","59"
17,"Knows","""Sispagut"" (Gisk'aast)","""Eagle-Raven clan""","1","""A feud over this pole.""","50","59"
18,"Knows","""Hladerh"" (Laxgibuu)","""Eagle-Raven clan""","1","""A feud over this pole.""","50","59"
19,"Knows","""Hladerh"" (Laxgibuu)","Gisk'aast (""Killer Whale Clan"")","1","""A feud over this pole.""","50","59"
20,"Knows of","""Hladerh"" (Laxgibuu)","Oyee (""Oyai"")","1","""A feud over this pole.""","50","59"
21,"Knows","Oyee (""Oyai"")","Gisk'aast (""Killer Whale Clan"")","1","""A feud over this pole.""","50","59"
22,"Knows","""Hladerh"" (Laxgibuu)","""Eagle-Raven clan""","1","""A feud over this pole.""","50","59"
23,"Knows of","real Barbeau","Laxgibuu (""Wolf clan"")","0","""A feud over this pole.""","50","59"
24,"Knows","Sagaween (Laxsgiik)","Laxgibuu (""Wolf clan"")","1","""A feud over this pole.""","50","59"
25,"Knows","Laxgibuu (""Wolf clan"")","""ancestors of Wolves""","1","""A feud over this pole.""","50","59"
26,"Knows","""Eagle-Raven clan""","""ancestors of Eagles""","1","""A feud over this pole.""","50","59"
27,"Knows of","""Eagle-Raven clan""","""ancestors of Wolves""","1","""A feud over this pole.""","50","59"
28,"Knows of","Laxgibuu (""Wolf clan"")","""ancestors of Eagles""","1","""A feud over this pole.""","50","59"
29,"Knows","""ancestors of Eagles""","""ancestors of Wolves""","1","""A feud over this pole.""","50","59"
30,"Knows","Sagaween (Laxsgiik)","""ancestors of Wolves""","1","""A feud over this pole.""","50","59"
31,"Knows of","Sagaween (Laxsgiik)","""ancestors of Eagles""","0","""A feud over this pole.""","50","59"
32,"Knows","real Barbeau","Caxton Printers","1","""A feud over this pole.""","50","59"
33,"Knows","real Barbeau","Macmillan Company of Canada","1","""A feud over this pole.""","50","59"
34,"Knows","speaker Abel","Sagaween (Laxsgiik)","0","""or Sakau'wan""","70","79"
35,"Knows","speaker Abel","""Sispagut"" (Gisk'aast)","0","""or Sakau'wan""","70","79"
36,"Knows","speaker Abel","real Barbeau","0","""A feud over this pole.""","70","79"
37,"Knows of","real Barbeau","Sagaween (Laxsgiik)","0","""or Sakau'wan""","70","79"
38,"Knows of","real Barbeau","""Sispagut"" (Gisk'aast)","0","""or Sakau'wan""","70","79"
39,"Knows","speaker Abel","real Barbeau","0","""his / new totems""","90","99"
40,"Knows","speaker Abel","""Eagle-Raven clan""","0","""his / new totems""","90","99"
41,"Knows","speaker Abel","Laxgibuu (""Wolf clan"")","0","""his / new totems""","90","99"
42,"Knows","real Barbeau","""Eagle-Raven clan""","0","""his / new totems""","90","99"
43,"Knows","real Barbeau","Laxgibuu (""Wolf clan"")","0","""his / new totems""","90","99"
44,"Knows","speaker Abel","real Barbeau","0","""an account / or / summary""","110","119"
45,"Knows","speaker Abel","real Barbeau","0","""his / his / theirs""","130","139"
46,"Knows","speaker Abel","real Barbeau","0","""In summary""","150","159"
47,"Knows","real Barbeau","Pole of Sagaween","1","""The pole transported to Toronto.""","190","199"
48,"Knows","real Barbeau","railway engineer","1","""The pole transported to Toronto.""","190","199"
49,"Knows","real Barbeau","crew of Indians","1","""The pole transported to Toronto.""","190","199"
50,"Knows","real Barbeau","""Three Persons Along"" & ""Shaking Pole of Kw’axsuu""","1","""The pole transported to Toronto.""","190","199"
