source,target,Character 1,Character 2,type,weight,startPage,category,Narrator
3,6,Laura Mitkowski,Jessica (Laura's Mom),Directed,1,9,Exchange,Laura Mitkowski
6,3,Jessica (Laura's Mom),Laura Mitkowski,Directed,1,9,Exchange,Laura Mitkowski
6,3,Jessica (Laura's Mom),Laura Mitkowski,Directed,1,10,Exchange,Laura Mitkowski
3,6,Laura Mitkowski,Jessica (Laura's Mom),Directed,1,10,Exchange,Laura Mitkowski
9,8,Mr. Kamal,Mrs. Kamal,Directed,1,11,Exchange,Laura Mitkowski
6,3,Jessica (Laura's Mom),Laura Mitkowski,Directed,1,11,Exchange,Laura Mitkowski
8,9,Mrs. Kamal,Mr. Kamal,Directed,1,11,Exchange,Laura Mitkowski
3,6,Laura Mitkowski,Jessica (Laura's Mom),Directed,1,11,Exchange,Laura Mitkowski
41,5,Geraldine McDonough,Hina Hassani,Directed,1,13,Exchange,Geraldine McDonough
5,41,Hina Hassani,Geraldine McDonough,Directed,1,13,Exchange,Geraldine McDonough
5,41,Hina Hassani,Geraldine McDonough,Directed,1,14,Exchange,Geraldine McDonough
41,5,Geraldine McDonough,Hina Hassani,Directed,1,14,Exchange,Geraldine McDonough
41,5,Geraldine McDonough,Hina Hassani,Directed,1,15,Exchange,Geraldine McDonough
5,41,Hina Hassani,Geraldine McDonough,Directed,1,15,Exchange,Geraldine McDonough
11,14,Marie Beaudoin,Walk-in clinic receptionist (19),Directed,1,19,Exchange,Sylvie Beaudoin
14,11,Walk-in clinic receptionist (19),Marie Beaudoin,Directed,1,19,Exchange,Sylvie Beaudoin
10,11,Sylvie Beaudoin,Marie Beaudoin,Directed,1,19,Exchange,Sylvie Beaudoin
11,10,Marie Beaudoin,Sylvie Beaudoin,Directed,1,19,Exchange,Sylvie Beaudoin
10,11,Sylvie Beaudoin,Marie Beaudoin,Directed,1,20,Exchange,Sylvie Beaudoin
11,10,Marie Beaudoin,Sylvie Beaudoin,Directed,1,20,Exchange,Sylvie Beaudoin
14,11,Walk-in clinic receptionist (19),Marie Beaudoin,Directed,1,20,Exchange,Sylvie Beaudoin
14,15,Walk-in clinic receptionist (19),"""a shirtless man"" (20)",Directed,1,20,Exchange,Sylvie Beaudoin
11,14,Marie Beaudoin,Walk-in clinic receptionist (19),Directed,1,20,Exchange,Sylvie Beaudoin
15,14,"""a shirtless man"" (20)",Walk-in clinic receptionist (19),Directed,1,20,Exchange,Sylvie Beaudoin
10,11,Sylvie Beaudoin,Marie Beaudoin,Directed,1,21,Exchange,Sylvie Beaudoin
18,17,Parker's mom,Parker,Directed,1,21,Exchange,Sylvie Beaudoin
17,18,Parker,Parker's mom,Directed,1,21,Exchange,Sylvie Beaudoin
11,10,Marie Beaudoin,Sylvie Beaudoin,Directed,1,21,Exchange,Sylvie Beaudoin
11,16,Marie Beaudoin,The doctor at the walk-in clinic,Directed,1,22,Exchange,Sylvie Beaudoin
