source,target,Character 1,Character 2,type,weight,startPage,category,Narrator
6,4,Jessica (Laura's Mom),Cory Mitkowski,Directed,1,9,Knows,Laura Mitkowski
3,6,Laura Mitkowski,Jessica (Laura's Mom),Directed,1,9,Exchange,Laura Mitkowski
6,3,Jessica (Laura's Mom),Laura Mitkowski,Directed,1,9,Exchange,Laura Mitkowski
4,3,Cory Mitkowski,Laura Mitkowski,Directed,1,9,Knows,Laura Mitkowski
4,6,Cory Mitkowski,Jessica (Laura's Mom),Directed,1,9,Knows,Laura Mitkowski
3,4,Laura Mitkowski,Cory Mitkowski,Directed,1,9,Knows,Laura Mitkowski
6,3,Jessica (Laura's Mom),Laura Mitkowski,Directed,1,10,Exchange,Laura Mitkowski
4,3,Cory Mitkowski,Laura Mitkowski,Directed,1,10,Knows,Laura Mitkowski
3,4,Laura Mitkowski,Cory Mitkowski,Directed,1,10,Knows,Laura Mitkowski
3,6,Laura Mitkowski,Jessica (Laura's Mom),Directed,1,10,Exchange,Laura Mitkowski
4,3,Cory Mitkowski,Laura Mitkowski,Directed,1,11,Knows,Laura Mitkowski
3,4,Laura Mitkowski,Cory Mitkowski,Directed,1,11,Knows,Laura Mitkowski
9,6,Mr. Kamal,Jessica (Laura's Mom),Directed,1,11,Knows,Laura Mitkowski
9,3,Mr. Kamal,Laura Mitkowski,Directed,1,11,Knows,Laura Mitkowski
9,8,Mr. Kamal,Mrs. Kamal,Directed,1,11,Exchange,Laura Mitkowski
3,6,Laura Mitkowski,Jessica (Laura's Mom),Directed,1,11,Exchange,Laura Mitkowski
8,6,Mrs. Kamal,Jessica (Laura's Mom),Directed,1,11,Knows,Laura Mitkowski
8,3,Mrs. Kamal,Laura Mitkowski,Directed,1,11,Knows,Laura Mitkowski
8,9,Mrs. Kamal,Mr. Kamal,Directed,1,11,Exchange,Laura Mitkowski
3,9,Laura Mitkowski,Mr. Kamal,Directed,1,11,Knows,Laura Mitkowski
3,8,Laura Mitkowski,Mrs. Kamal,Directed,1,11,Knows,Laura Mitkowski
6,8,Jessica (Laura's Mom),Mrs. Kamal,Directed,1,11,Knows,Laura Mitkowski
6,9,Jessica (Laura's Mom),Mr. Kamal,Directed,1,11,Knows,Laura Mitkowski
6,3,Jessica (Laura's Mom),Laura Mitkowski,Directed,1,11,Exchange,Laura Mitkowski
41,57,Geraldine McDonough,parents in the community,Directed,1,13,Knows,Geraldine McDonough
5,41,Hina Hassani,Geraldine McDonough,Directed,1,13,Exchange,Geraldine McDonough
5,76,Hina Hassani,children in the community,Directed,1,13,Knows of,Geraldine McDonough
41,5,Geraldine McDonough,Hina Hassani,Directed,1,13,Exchange,Geraldine McDonough
41,76,Geraldine McDonough,children in the community,Directed,1,13,Knows,Geraldine McDonough
5,57,Hina Hassani,parents in the community,Directed,1,13,Knows of,Geraldine McDonough
5,57,Hina Hassani,parents in the community,Directed,1,14,Knows of,Geraldine McDonough
41,5,Geraldine McDonough,Hina Hassani,Directed,1,14,Exchange,Geraldine McDonough
41,42,Geraldine McDonough,Ontario Reads facilitators,Directed,1,14,Knows,Geraldine McDonough
41,76,Geraldine McDonough,children in the community,Directed,1,14,Knows,Geraldine McDonough
5,76,Hina Hassani,children in the community,Directed,1,14,Knows of,Geraldine McDonough
41,57,Geraldine McDonough,parents in the community,Directed,1,14,Knows,Geraldine McDonough
42,41,Ontario Reads facilitators,Geraldine McDonough,Directed,1,14,Knows,Geraldine McDonough
5,42,Hina Hassani,Ontario Reads facilitators,Directed,1,14,Knows of,Geraldine McDonough
5,41,Hina Hassani,Geraldine McDonough,Directed,1,14,Exchange,Geraldine McDonough
41,5,Geraldine McDonough,Hina Hassani,Directed,1,15,Exchange,Geraldine McDonough
5,41,Hina Hassani,Geraldine McDonough,Directed,1,15,Exchange,Geraldine McDonough
14,10,Walk-in clinic receptionist (19),Sylvie Beaudoin,Directed,1,19,Knows,Sylvie Beaudoin
10,11,Sylvie Beaudoin,Marie Beaudoin,Directed,1,19,Exchange,Sylvie Beaudoin
11,14,Marie Beaudoin,Walk-in clinic receptionist (19),Directed,1,19,Exchange,Sylvie Beaudoin
11,13,Marie Beaudoin,Mrs Abdul,Directed,1,19,Knows,Sylvie Beaudoin
10,13,Sylvie Beaudoin,Mrs Abdul,Directed,1,19,Knows,Sylvie Beaudoin
11,10,Marie Beaudoin,Sylvie Beaudoin,Directed,1,19,Exchange,Sylvie Beaudoin
10,14,Sylvie Beaudoin,Walk-in clinic receptionist (19),Directed,1,19,Knows,Sylvie Beaudoin
13,10,Mrs Abdul,Sylvie Beaudoin,Directed,1,19,Knows,Sylvie Beaudoin
12,14,Johnny Beaudoin,Walk-in clinic receptionist (19),Directed,1,19,Knows,Sylvie Beaudoin
12,10,Johnny Beaudoin,Sylvie Beaudoin,Directed,1,19,Knows,Sylvie Beaudoin
13,11,Mrs Abdul,Marie Beaudoin,Directed,1,19,Knows,Sylvie Beaudoin
14,11,Walk-in clinic receptionist (19),Marie Beaudoin,Directed,1,19,Exchange,Sylvie Beaudoin
14,12,Walk-in clinic receptionist (19),Johnny Beaudoin,Directed,1,19,Knows,Sylvie Beaudoin
10,12,Sylvie Beaudoin,Johnny Beaudoin,Directed,1,19,Knows,Sylvie Beaudoin
12,11,Johnny Beaudoin,Marie Beaudoin,Directed,1,19,Knows,Sylvie Beaudoin
11,12,Marie Beaudoin,Johnny Beaudoin,Directed,1,19,Knows,Sylvie Beaudoin
10,14,Sylvie Beaudoin,Walk-in clinic receptionist (19),Directed,1,20,Knows,Sylvie Beaudoin
14,15,Walk-in clinic receptionist (19),"""a shirtless man"" (20)",Directed,1,20,Exchange,Sylvie Beaudoin
14,10,Walk-in clinic receptionist (19),Sylvie Beaudoin,Directed,1,20,Knows,Sylvie Beaudoin
16,15,The doctor at the walk-in clinic,"""a shirtless man"" (20)",Directed,1,20,Knows of,Sylvie Beaudoin
10,16,Sylvie Beaudoin,The doctor at the walk-in clinic,Directed,1,20,Knows of,Sylvie Beaudoin
15,14,"""a shirtless man"" (20)",Walk-in clinic receptionist (19),Directed,1,20,Exchange,Sylvie Beaudoin
16,14,The doctor at the walk-in clinic,Walk-in clinic receptionist (19),Directed,1,20,Knows,Sylvie Beaudoin
14,11,Walk-in clinic receptionist (19),Marie Beaudoin,Directed,1,20,Exchange,Sylvie Beaudoin
14,16,Walk-in clinic receptionist (19),The doctor at the walk-in clinic,Directed,1,20,Knows,Sylvie Beaudoin
11,14,Marie Beaudoin,Walk-in clinic receptionist (19),Directed,1,20,Exchange,Sylvie Beaudoin
11,10,Marie Beaudoin,Sylvie Beaudoin,Directed,1,20,Exchange,Sylvie Beaudoin
10,15,Sylvie Beaudoin,"""a shirtless man"" (20)",Directed,1,20,Knows,Sylvie Beaudoin
15,11,"""a shirtless man"" (20)",Marie Beaudoin,Directed,1,20,Knows,Sylvie Beaudoin
10,11,Sylvie Beaudoin,Marie Beaudoin,Directed,1,20,Exchange,Sylvie Beaudoin
15,10,"""a shirtless man"" (20)",Sylvie Beaudoin,Directed,1,20,Knows,Sylvie Beaudoin
11,15,Marie Beaudoin,"""a shirtless man"" (20)",Directed,1,20,Knows,Sylvie Beaudoin
15,16,"""a shirtless man"" (20)",The doctor at the walk-in clinic,Directed,1,20,Knows of,Sylvie Beaudoin
11,17,Marie Beaudoin,Parker,Directed,1,21,Knows,Sylvie Beaudoin
10,11,Sylvie Beaudoin,Marie Beaudoin,Directed,1,21,Exchange,Sylvie Beaudoin
11,10,Marie Beaudoin,Sylvie Beaudoin,Directed,1,21,Exchange,Sylvie Beaudoin
