"id","label"
"183","""a cop"" (118)"
"104","""a cop"" (74)"
"187","""a crowd of people"" (125)"
"128","""a few folks"" (84)"
"78","""a flurry of children"" (60)"
"117","""a man with a basket of party favours"" (79)"
"199","""a parent"" (131)"
"15","""a shirtless man"" (20)"
"132","""a teacher"" (87)"
"200","""a toddler"" (131)"
"91","""a white lady"" at the nail salon (68)"
"162","""a young girl named Samantha"" (108)"
"358","""abusive partners"""
"101","""Ada, the palm reader"" (74)"
"212","""all of the children"" in the Galloway Shelter (137"
"130","""all the children sitting cross legged"" (85)"
"168","""all the girls on the playground"" (113)"
"82","""all the parents"" (61)"
"58","""an elderly Asian woman"" (41) / The bowling alley "
"359","""angry drug dealers"""
"388","""Brothers""(141)"
"390","""Children""(141)"
"110","""chubby white boy with red hair"" (77)"
"102","""Cindy, the puppy mill lady"" (74)"
"387","""Cousins"" (141)"
"391","""Daddies"" (141)"
"178","""each student"" (117)"
"169","""families with lighter skin"" (113)"
"164","""fat kids"" (108)"
"386","""Fathers"" (141)"
"126","""four gangly teens"" (84)"
"19","""grade three classmates"" (24)"
"33","""her mother in law"" (36)"
"266","""Hilda"""
"95","""his friends who came over"" (72)"
"111","""his grandma"" (78)"
"75","""hungry people"" (57)"
"22","""Indian kids"" (26)"
"215","""Kids"" (at the Woodbine Racetrack) (138)"
"100","""Maurie, the bus driver"" (74)"
"94","""Mitchell next door"" (72)"
"195","""moneyed folks"" (129)"
"389","""Mother[s]"" (141)"
"118","""niece"" (80)"
"98","""nosy people"" (73)"
"99","""old ladies"" (73)"
"56","""older kids"" (33)"
"173","""one and one-half parents"" (114)"
"52","""one elderly woman"" (32)"
"197","""one mother"" (130)"
"90","""one of the Vietnamese ladies at the counter"" (67)"
"213","""other unsupervised children"" (138)"
"172","""our fathers"" (114)"
"175","""our grandmothers"" (114)"
"127","""P*kis"""
"214","""parents"" (at the Woodbine Racetrack) (138)"
"179","""parents"" (of children in Landau's class)"
"190","""poor brown and Black parents"" (126)"
"133","""several toddlers"" (87)"
"174","""siblings from different dads"" (114)"
"323","""Single mamas"""
"114","""smiling black women in shower caps"" (79)"
"385","""Social workers"" (141)"
"181","""some black boy"" (118)"
"191","""some lady in a pantsuit"" (126)"
"157","""some lawyer on TV"" (103)"
"113","""some man wearing a UFC bandana"" (79)"
"196","""some of the caregivers"" (130)"
"159","""spies disguised as waiters"" (on TV)(105)"
"180","""the band English Beat"" (118)"
"204","""the band Kiss"" (131)"
"63","""the boys"" (Cory's friends)"
"221","""the driver"" (140)"
"176","""the hooligans"" (114)"
"120","""the lady in front of us"" (80)"
"208","""the literary centre's regulars"" (132)"
"209","""the nurses"" (135)"
"105","""the people sitting across from him"" (73)"
"119","""the rest of the line"" (80)"
"188","""the rest of the tenants"" (125)"
"81","""the school-agers"" (61)"
"177","""the students in Mrs Landau's class"" (117)"
"211","""the surgeon""(135)"
"30","""the white lady"" (35)"
"163","""the zookeeper"" (in story) (108)"
"219","""their families"" (139)"
"80","""their parents"" (60)"
"79","""three toddlers"" (60)"
"393","""towelheads"""
"357","""twenty-four hour staff"""
"170","""two whole parents with two whole jobs"" (113)"
"392","""Uncle[s]"" (141)"
"171","""we the brown kids"" (114)"
"108","""white kids"" (77)"
"112","""white lady wearing a muumuu"" (78)"
"135","a baby"
"134","a caregiver"
"44","Aiden Chan"
"86","Aiden Redden"
"138","American Idol judges"
"50","Amina Mohammed"
"142","Anna Maria De Souza"
"206","Anna's daughter"
"156","arts kids"
"276","Ate Lin Menendez"
"279","Ate Lou Menendez"
"218","Atheists"
"225","Aunt (who took away the woman's kids)"
"368","Autistic child (in video)"
"244","Babies"
"366","Ben"
"145","Benjamin Tate"
"293","Bing's Class"
"38","Bing's Dad"
"382","Bing's Partner"
"28","Bing/Bernard Espiritu"
"165","Blackfoot Indigenous group"
"306","Bob Marley"
"308","Brown family"
"320","Buck (that Jonathon sees)"
"348","Bullfighters in Spain"
"369","Caregiver (in video)"
"233","Caribbean People"
"192","Celene Dion"
"292","Celine Dion"
"355","Charlie (and the Chocolate Factory)"
"271","Children in Africa"
"315","Children in Pearson Memorial Junior Public School"
"76","children in the community"
"283","Children who did not yet observe Communion"
"294","Children who survived the fire"
"23","Children's Aid (25)"
"154","children's choir"
"53","Chloe Smith"
"193","Christians"
"226","Cindy"
"236","Cindy's classmates"
"234","Cindy's friend (with Guyanese roots)"
"235","Cindy's Friend's Wife"
"257","Cindy's landlord"
"230","Cindy's Mother"
"232","Cindy's other children"
"237","Cindy's teachers"
"7","Clara Jane Donohue"
"106","Clementine (orangutan)"
"327","Clementine's siblings"
"220","Clive"
"267","Clive's father"
"85","Cole Hester"
"4","Cory Mitkowski"
"40","Cory's boss"
"129","Cory's father"
"264","Couple (Clive sleeps with)"
"297","Creator"
"339","Customers (at the nail salon)"
"322","Dads (""who lose their kids..."")"
"274","Devout Catholic Filipinos"
"353","Dr. Berger"
"356","Dr. Berger's Receptionist"
"29","Edna Espiritu"
"351","Edna's family"
