source,target,Char 1 Name,Char 2 Name,startPage,type,weight
4,6,Cory Mitkowski,Jessica (Laura's Mom),9,Undirected,1
3,4,Laura Mitkowski,Cory Mitkowski,9,Undirected,1
3,6,Laura Mitkowski,Jessica (Laura's Mom),9,Undirected,1
4,6,Cory Mitkowski,Jessica (Laura's Mom),10,Undirected,1
3,4,Laura Mitkowski,Cory Mitkowski,10,Undirected,1
3,6,Laura Mitkowski,Jessica (Laura's Mom),10,Undirected,1
6,9,Jessica (Laura's Mom),Mr. Kamal,11,Undirected,1
3,6,Laura Mitkowski,Jessica (Laura's Mom),11,Undirected,1
4,8,Cory Mitkowski,Mrs. Kamal,11,Undirected,1
3,9,Laura Mitkowski,Mr. Kamal,11,Undirected,1
8,9,Mrs. Kamal,Mr. Kamal,11,Undirected,1
6,8,Jessica (Laura's Mom),Mrs. Kamal,11,Undirected,1
4,9,Cory Mitkowski,Mr. Kamal,11,Undirected,1
3,4,Laura Mitkowski,Cory Mitkowski,11,Undirected,1
3,8,Laura Mitkowski,Mrs. Kamal,11,Undirected,1
4,6,Cory Mitkowski,Jessica (Laura's Mom),11,Undirected,1
5,57,Hina Hassani,parents in the community,13,Undirected,1
41,5,Geraldine McDonough,Hina Hassani,13,Undirected,1
41,76,Geraldine McDonough,children in the community,13,Undirected,1
41,57,Geraldine McDonough,parents in the community,13,Undirected,1
76,57,children in the community,parents in the community,13,Undirected,1
76,5,children in the community,Hina Hassani,13,Undirected,1
5,41,Hina Hassani,Geraldine McDonough,14,Undirected,1
5,57,Hina Hassani,parents in the community,14,Undirected,1
41,76,Geraldine McDonough,children in the community,14,Undirected,1
5,42,Hina Hassani,Ontario Reads facilitators,14,Undirected,1
41,57,Geraldine McDonough,parents in the community,14,Undirected,1
42,57,Ontario Reads facilitators,parents in the community,14,Undirected,1
41,42,Geraldine McDonough,Ontario Reads facilitators,14,Undirected,1
76,57,children in the community,parents in the community,14,Undirected,1
5,76,Hina Hassani,children in the community,14,Undirected,1
42,76,Ontario Reads facilitators,children in the community,14,Undirected,1
41,5,Geraldine McDonough,Hina Hassani,15,Undirected,1
11,12,Marie Beaudoin,Johnny Beaudoin,19,Undirected,1
12,14,Johnny Beaudoin,Walk-in clinic receptionist (19),19,Undirected,1
10,12,Sylvie Beaudoin,Johnny Beaudoin,19,Undirected,1
10,13,Sylvie Beaudoin,Mrs Abdul,19,Undirected,1
11,14,Marie Beaudoin,Walk-in clinic receptionist (19),19,Undirected,1
11,13,Marie Beaudoin,Mrs Abdul,19,Undirected,1
10,14,Sylvie Beaudoin,Walk-in clinic receptionist (19),19,Undirected,1
12,13,Johnny Beaudoin,Mrs Abdul,19,Undirected,1
10,11,Sylvie Beaudoin,Marie Beaudoin,19,Undirected,1
13,14,Mrs Abdul,Walk-in clinic receptionist (19),19,Undirected,1
14,15,Walk-in clinic receptionist (19),"""a shirtless man"" (20)",20,Undirected,1
11,15,Marie Beaudoin,"""a shirtless man"" (20)",20,Undirected,1
10,16,Sylvie Beaudoin,The doctor at the walk-in clinic,20,Undirected,1
15,16,"""a shirtless man"" (20)",The doctor at the walk-in clinic,20,Undirected,1
11,14,Marie Beaudoin,Walk-in clinic receptionist (19),20,Undirected,1
10,14,Sylvie Beaudoin,Walk-in clinic receptionist (19),20,Undirected,1
11,16,Marie Beaudoin,The doctor at the walk-in clinic,20,Undirected,1
10,11,Sylvie Beaudoin,Marie Beaudoin,20,Undirected,1
10,15,Sylvie Beaudoin,"""a shirtless man"" (20)",20,Undirected,1
14,16,Walk-in clinic receptionist (19),The doctor at the walk-in clinic,20,Undirected,1
18,11,Parker's mom,Marie Beaudoin,21,Undirected,1
17,11,Parker,Marie Beaudoin,21,Undirected,1
18,10,Parker's mom,Sylvie Beaudoin,21,Undirected,1
10,11,Sylvie Beaudoin,Marie Beaudoin,21,Undirected,1
18,17,Parker's mom,Parker,21,Undirected,1
17,10,Parker,Sylvie Beaudoin,21,Undirected,1
10,16,Sylvie Beaudoin,The doctor at the walk-in clinic,22,Undirected,1
12,14,Johnny Beaudoin,Walk-in clinic receptionist (19),22,Undirected,1
10,12,Sylvie Beaudoin,Johnny Beaudoin,22,Undirected,1
11,14,Marie Beaudoin,Walk-in clinic receptionist (19),22,Undirected,1
12,15,Johnny Beaudoin,"""a shirtless man"" (20)",22,Undirected,1
11,15,Marie Beaudoin,"""a shirtless man"" (20)",22,Undirected,1
15,16,"""a shirtless man"" (20)",The doctor at the walk-in clinic,22,Undirected,1
10,15,Sylvie Beaudoin,"""a shirtless man"" (20)",22,Undirected,1
14,16,Walk-in clinic receptionist (19),The doctor at the walk-in clinic,22,Undirected,1
14,15,Walk-in clinic receptionist (19),"""a shirtless man"" (20)",22,Undirected,1
12,16,Johnny Beaudoin,The doctor at the walk-in clinic,22,Undirected,1
10,14,Sylvie Beaudoin,Walk-in clinic receptionist (19),22,Undirected,1
11,16,Marie Beaudoin,The doctor at the walk-in clinic,22,Undirected,1
10,11,Sylvie Beaudoin,Marie Beaudoin,22,Undirected,1
11,12,Marie Beaudoin,Johnny Beaudoin,22,Undirected,1
15,16,"""a shirtless man"" (20)",The doctor at the walk-in clinic,23,Undirected,1
10,12,Sylvie Beaudoin,Johnny Beaudoin,23,Undirected,1
11,14,Marie Beaudoin,Walk-in clinic receptionist (19),23,Undirected,1
12,15,Johnny Beaudoin,"""a shirtless man"" (20)",23,Undirected,1
11,15,Marie Beaudoin,"""a shirtless man"" (20)",23,Undirected,1
10,16,Sylvie Beaudoin,The doctor at the walk-in clinic,23,Undirected,1
11,12,Marie Beaudoin,Johnny Beaudoin,23,Undirected,1
12,14,Johnny Beaudoin,Walk-in clinic receptionist (19),23,Undirected,1
14,15,Walk-in clinic receptionist (19),"""a shirtless man"" (20)",23,Undirected,1
10,15,Sylvie Beaudoin,"""a shirtless man"" (20)",23,Undirected,1
10,11,Sylvie Beaudoin,Marie Beaudoin,23,Undirected,1
14,16,Walk-in clinic receptionist (19),The doctor at the walk-in clinic,23,Undirected,1
10,14,Sylvie Beaudoin,Walk-in clinic receptionist (19),23,Undirected,1
12,16,Johnny Beaudoin,The doctor at the walk-in clinic,23,Undirected,1
11,16,Marie Beaudoin,The doctor at the walk-in clinic,23,Undirected,1
10,12,Sylvie Beaudoin,Johnny Beaudoin,24,Undirected,1
10,19,Sylvie Beaudoin,"""grade three classmates"" (24)",24,Undirected,1
10,16,Sylvie Beaudoin,The doctor at the walk-in clinic,24,Undirected,1
11,12,Marie Beaudoin,Johnny Beaudoin,24,Undirected,1
10,20,Sylvie Beaudoin,Mrs. Falls,24,Undirected,1
19,20,"""grade three classmates"" (24)",Mrs. Falls,24,Undirected,1
16,19,The doctor at the walk-in clinic,"""grade three classmates"" (24)",24,Undirected,1
