source,target,Character 1,Character 2,type,weight,startPage,category
3,6,Laura Mitkowski,Jessica (Laura's Mom),Directed,1,9,Exchange
6,3,Jessica (Laura's Mom),Laura Mitkowski,Directed,1,9,Exchange
6,3,Jessica (Laura's Mom),Laura Mitkowski,Directed,1,10,Exchange
3,6,Laura Mitkowski,Jessica (Laura's Mom),Directed,1,10,Exchange
9,8,Mr. Kamal,Mrs. Kamal,Directed,1,11,Exchange
6,3,Jessica (Laura's Mom),Laura Mitkowski,Directed,1,11,Exchange
8,9,Mrs. Kamal,Mr. Kamal,Directed,1,11,Exchange
3,6,Laura Mitkowski,Jessica (Laura's Mom),Directed,1,11,Exchange
41,5,Geraldine McDonough,Hina Hassani,Directed,1,13,Exchange
5,41,Hina Hassani,Geraldine McDonough,Directed,1,13,Exchange
5,41,Hina Hassani,Geraldine McDonough,Directed,1,14,Exchange
41,5,Geraldine McDonough,Hina Hassani,Directed,1,14,Exchange
41,5,Geraldine McDonough,Hina Hassani,Directed,1,15,Exchange
5,41,Hina Hassani,Geraldine McDonough,Directed,1,15,Exchange
11,14,Marie Beaudoin,Walk-in clinic receptionist (19),Directed,1,19,Exchange
14,11,Walk-in clinic receptionist (19),Marie Beaudoin,Directed,1,19,Exchange
10,11,Sylvie Beaudoin,Marie Beaudoin,Directed,1,19,Exchange
11,10,Marie Beaudoin,Sylvie Beaudoin,Directed,1,19,Exchange
10,11,Sylvie Beaudoin,Marie Beaudoin,Directed,1,20,Exchange
11,10,Marie Beaudoin,Sylvie Beaudoin,Directed,1,20,Exchange
14,11,Walk-in clinic receptionist (19),Marie Beaudoin,Directed,1,20,Exchange
14,15,Walk-in clinic receptionist (19),"""a shirtless man"" (20)",Directed,1,20,Exchange
11,14,Marie Beaudoin,Walk-in clinic receptionist (19),Directed,1,20,Exchange
15,14,"""a shirtless man"" (20)",Walk-in clinic receptionist (19),Directed,1,20,Exchange
10,11,Sylvie Beaudoin,Marie Beaudoin,Directed,1,21,Exchange
18,17,Parker's mom,Parker,Directed,1,21,Exchange
17,18,Parker,Parker's mom,Directed,1,21,Exchange
11,10,Marie Beaudoin,Sylvie Beaudoin,Directed,1,21,Exchange
11,16,Marie Beaudoin,The doctor at the walk-in clinic,Directed,1,22,Exchange
14,16,Walk-in clinic receptionist (19),The doctor at the walk-in clinic,Directed,1,22,Exchange
16,11,The doctor at the walk-in clinic,Marie Beaudoin,Directed,1,22,Exchange
16,14,The doctor at the walk-in clinic,Walk-in clinic receptionist (19),Directed,1,22,Exchange
16,11,The doctor at the walk-in clinic,Marie Beaudoin,Directed,1,23,Exchange
14,16,Walk-in clinic receptionist (19),The doctor at the walk-in clinic,Directed,1,23,Exchange
11,16,Marie Beaudoin,The doctor at the walk-in clinic,Directed,1,23,Exchange
16,14,The doctor at the walk-in clinic,Walk-in clinic receptionist (19),Directed,1,23,Exchange
11,16,Marie Beaudoin,The doctor at the walk-in clinic,Directed,1,24,Exchange
16,11,The doctor at the walk-in clinic,Marie Beaudoin,Directed,1,24,Exchange
10,11,Sylvie Beaudoin,Marie Beaudoin,Directed,1,25,Exchange
11,10,Marie Beaudoin,Sylvie Beaudoin,Directed,1,25,Exchange
11,26,Marie Beaudoin,Michelle,Directed,1,27,Exchange
27,26,Jonathon Beaudoin,Michelle,Directed,1,27,Exchange
11,24,Marie Beaudoin,Mr. George,Directed,1,27,Exchange
26,11,Michelle,Marie Beaudoin,Directed,1,27,Exchange
24,11,Mr. George,Marie Beaudoin,Directed,1,27,Exchange
26,27,Michelle,Jonathon Beaudoin,Directed,1,27,Exchange
26,27,Michelle,Jonathon Beaudoin,Directed,1,28,Exchange
26,11,Michelle,Marie Beaudoin,Directed,1,28,Exchange
11,26,Marie Beaudoin,Michelle,Directed,1,28,Exchange
27,26,Jonathon Beaudoin,Michelle,Directed,1,28,Exchange
11,26,Marie Beaudoin,Michelle,Directed,1,29,Exchange
